cfg,nombre,dia,minZ,elev,az,torsion_max,mv,fs_min_criba,theta_fs_min,hay_cero
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,700,4.7742,63.8712,0.0000,33,0.000000e+0,-29,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,720,8.9729,62.1856,0.0000,17,0.000000e+0,-48,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,740,13.1432,60.3097,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,760,17.2453,58.2184,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,780,21.2561,55.8815,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,800,25.1539,53.2637,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,820,28.9146,50.3241,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,840,32.5098,47.0168,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,860,35.9052,43.2920,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,880,39.0602,39.0991,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,900,41.9268,34.3923,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,920,44.4499,29.1395,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,940,46.5693,23.3352,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,960,48.2231,17.0150,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,980,49.3544,10.2679,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1000,49.9185,3.2390,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1020,49.8916,356.1171,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1040,49.2748,349.1064,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1060,48.0942,342.3928,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1080,46.3957,336.1165,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1100,44.2372,330.3613,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1120,41.6806,325.1587,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1140,38.7857,320.5000,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1160,35.6071,316.3514,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1180,32.1920,312.6665,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1200,28.5805,309.3944,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1220,24.8063,306.4858,0.0000,17,0.000000e+0,-55,1
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1240,20.8973,303.8950,0.0000,17,0.000000e+0,-55,1
