cfg,dia,minZ,theta_deg,fs_planos,poa_planta_Wm2
0,21-jun,1040,-55,0.00000000e+0,405.121865
0,21-jun,1040,-54.75,0.00000000e+0,407.947547
0,21-jun,1040,-54.5,0.00000000e+0,410.766441
0,21-jun,1040,-54.25,0.00000000e+0,413.578491
0,21-jun,1040,-54,0.00000000e+0,416.383647
0,21-jun,1040,-53.75,0.00000000e+0,419.181854
0,21-jun,1040,-53.5,0.00000000e+0,421.973060
0,21-jun,1040,-53.25,0.00000000e+0,424.757211
0,21-jun,1040,-53,0.00000000e+0,427.534257
0,21-jun,1040,-52.75,0.00000000e+0,430.304143
0,21-jun,1040,-52.5,0.00000000e+0,433.066819
0,21-jun,1040,-52.25,0.00000000e+0,435.822231
0,21-jun,1040,-52,0.00000000e+0,438.570328
0,21-jun,1040,-51.75,0.00000000e+0,441.311058
0,21-jun,1040,-51.5,0.00000000e+0,444.044369
0,21-jun,1040,-51.25,0.00000000e+0,446.770209
0,21-jun,1040,-51,0.00000000e+0,449.488528
0,21-jun,1040,-50.75,0.00000000e+0,452.199273
0,21-jun,1040,-50.5,0.00000000e+0,454.902395
0,21-jun,1040,-50.25,0.00000000e+0,457.597841
0,21-jun,1040,-50,0.00000000e+0,460.285561
0,21-jun,1040,-49.75,0.00000000e+0,462.965504
0,21-jun,1040,-49.5,0.00000000e+0,465.637620
0,21-jun,1040,-49.25,0.00000000e+0,468.301858
0,21-jun,1040,-49,0.00000000e+0,470.958168
0,21-jun,1040,-48.75,0.00000000e+0,473.606500
0,21-jun,1040,-48.5,0.00000000e+0,476.246804
0,21-jun,1040,-48.25,0.00000000e+0,478.879030
0,21-jun,1040,-48,0.00000000e+0,481.503128
0,21-jun,1040,-47.75,0.00000000e+0,484.119050
0,21-jun,1040,-47.5,0.00000000e+0,486.726745
0,21-jun,1040,-47.25,0.00000000e+0,489.326165
0,21-jun,1040,-47,0.00000000e+0,491.917261
0,21-jun,1040,-46.75,0.00000000e+0,494.499983
0,21-jun,1040,-46.5,0.00000000e+0,497.074283
0,21-jun,1040,-46.25,0.00000000e+0,499.640113
0,21-jun,1040,-46,0.00000000e+0,502.197424
0,21-jun,1040,-45.75,0.00000000e+0,504.746168
0,21-jun,1040,-45.5,0.00000000e+0,507.286296
0,21-jun,1040,-45.25,0.00000000e+0,509.817762
0,21-jun,1040,-45,0.00000000e+0,512.340517
0,21-jun,1040,-44.75,0.00000000e+0,514.854514
0,21-jun,1040,-44.5,0.00000000e+0,517.359705
0,21-jun,1040,-44.25,0.00000000e+0,519.856044
0,21-jun,1040,-44,0.00000000e+0,522.343483
0,21-jun,1040,-43.75,0.00000000e+0,524.821975
0,21-jun,1040,-43.5,0.00000000e+0,527.291474
0,21-jun,1040,-43.25,0.00000000e+0,529.751933
0,21-jun,1040,-43,0.00000000e+0,532.203305
0,21-jun,1040,-42.75,0.00000000e+0,534.645546
0,21-jun,1040,-42.5,0.00000000e+0,537.078608
0,21-jun,1040,-42.25,0.00000000e+0,539.502446
0,21-jun,1040,-42,0.00000000e+0,541.917015
0,21-jun,1040,-41.75,0.00000000e+0,544.322268
0,21-jun,1040,-41.5,0.00000000e+0,546.718161
0,21-jun,1040,-41.25,0.00000000e+0,549.104648
0,21-jun,1040,-41,0.00000000e+0,551.481685
0,21-jun,1040,-40.75,0.00000000e+0,553.849227
0,21-jun,1040,-40.5,0.00000000e+0,556.207229
0,21-jun,1040,-40.25,0.00000000e+0,558.555647
0,21-jun,1040,-40,0.00000000e+0,560.894437
0,21-jun,1040,-39.75,0.00000000e+0,563.223554
0,21-jun,1040,-39.5,0.00000000e+0,565.542956
0,21-jun,1040,-39.25,0.00000000e+0,567.852598
0,21-jun,1040,-39,0.00000000e+0,570.152436
0,21-jun,1040,-38.75,0.00000000e+0,572.442429
0,21-jun,1040,-38.5,0.00000000e+0,574.722533
0,21-jun,1040,-38.25,0.00000000e+0,576.992704
0,21-jun,1040,-38,0.00000000e+0,579.252900
0,21-jun,1040,-37.75,0.00000000e+0,581.503079
0,21-jun,1040,-37.5,0.00000000e+0,583.743199
0,21-jun,1040,-37.25,0.00000000e+0,585.973217
0,21-jun,1040,-37,0.00000000e+0,588.193092
0,21-jun,1040,-36.75,0.00000000e+0,590.402782
0,21-jun,1040,-36.5,0.00000000e+0,592.602245
0,21-jun,1040,-36.25,0.00000000e+0,594.791440
0,21-jun,1040,-36,0.00000000e+0,596.970326
0,21-jun,1040,-35.75,0.00000000e+0,599.138863
0,21-jun,1040,-35.5,0.00000000e+0,601.297009
0,21-jun,1040,-35.25,0.00000000e+0,603.444724
0,21-jun,1040,-35,0.00000000e+0,605.581968
0,21-jun,1040,-34.75,0.00000000e+0,607.708700
0,21-jun,1040,-34.5,0.00000000e+0,609.824882
0,21-jun,1040,-34.25,0.00000000e+0,611.930473
0,21-jun,1040,-34,0.00000000e+0,614.025433
0,21-jun,1040,-33.75,0.00000000e+0,616.109724
0,21-jun,1040,-33.5,0.00000000e+0,618.183307
0,21-jun,1040,-33.25,0.00000000e+0,620.246143
0,21-jun,1040,-33,0.00000000e+0,622.298193
0,21-jun,1040,-32.75,0.00000000e+0,624.339418
0,21-jun,1040,-32.5,0.00000000e+0,626.369781
0,21-jun,1040,-32.25,0.00000000e+0,628.389244
0,21-jun,1040,-32,0.00000000e+0,630.397769
0,21-jun,1040,-31.75,0.00000000e+0,632.395319
0,21-jun,1040,-31.5,0.00000000e+0,634.381855
0,21-jun,1040,-31.25,0.00000000e+0,636.357342
0,21-jun,1040,-31,0.00000000e+0,638.321741
0,21-jun,1040,-30.75,0.00000000e+0,640.275018
0,21-jun,1040,-30.5,0.00000000e+0,642.217134
0,21-jun,1040,-30.25,0.00000000e+0,644.148055
0,21-jun,1040,-30,0.00000000e+0,646.067744
0,21-jun,1040,-29.75,0.00000000e+0,647.976165
0,21-jun,1040,-29.5,0.00000000e+0,649.873282
0,21-jun,1040,-29.25,0.00000000e+0,651.759061
0,21-jun,1040,-29,0.00000000e+0,653.633467
0,21-jun,1040,-28.75,0.00000000e+0,655.496464
0,21-jun,1040,-28.5,0.00000000e+0,657.348019
0,21-jun,1040,-28.25,0.00000000e+0,659.188096
0,21-jun,1040,-28,0.00000000e+0,661.016661
0,21-jun,1040,-27.75,0.00000000e+0,662.833681
0,21-jun,1040,-27.5,0.00000000e+0,664.639123
