cfg,dia,minZ,theta_deg,fs_planos,poa_planta_Wm2
0,21-jun,1040,-55,0.00000000e+0,637.349174
0,21-jun,1040,-54.75,0.00000000e+0,639.824543
0,21-jun,1040,-54.5,0.00000000e+0,642.288714
0,21-jun,1040,-54.25,0.00000000e+0,644.741639
0,21-jun,1040,-54,0.00000000e+0,647.183272
0,21-jun,1040,-53.75,0.00000000e+0,649.613568
0,21-jun,1040,-53.5,0.00000000e+0,652.032480
0,21-jun,1040,-53.25,0.00000000e+0,654.439963
0,21-jun,1040,-53,0.00000000e+0,656.835971
0,21-jun,1040,-52.75,0.00000000e+0,659.220461
0,21-jun,1040,-52.5,0.00000000e+0,661.593386
0,21-jun,1040,-52.25,0.00000000e+0,663.954702
0,21-jun,1040,-52,0.00000000e+0,666.304364
0,21-jun,1040,-51.75,0.00000000e+0,668.642329
0,21-jun,1040,-51.5,0.00000000e+0,670.968552
0,21-jun,1040,-51.25,0.00000000e+0,673.282990
0,21-jun,1040,-51,0.00000000e+0,675.585598
0,21-jun,1040,-50.75,0.00000000e+0,677.876335
0,21-jun,1040,-50.5,0.00000000e+0,680.155156
0,21-jun,1040,-50.25,0.00000000e+0,682.422019
0,21-jun,1040,-50,0.00000000e+0,684.676880
0,21-jun,1040,-49.75,0.00000000e+0,686.919699
0,21-jun,1040,-49.5,0.00000000e+0,689.150432
0,21-jun,1040,-49.25,0.00000000e+0,691.369038
0,21-jun,1040,-49,0.00000000e+0,693.575474
0,21-jun,1040,-48.75,0.00000000e+0,695.769700
0,21-jun,1040,-48.5,0.00000000e+0,697.951674
0,21-jun,1040,-48.25,0.00000000e+0,700.121356
0,21-jun,1040,-48,0.00000000e+0,702.278704
0,21-jun,1040,-47.75,0.00000000e+0,704.423677
0,21-jun,1040,-47.5,0.00000000e+0,706.556236
0,21-jun,1040,-47.25,0.00000000e+0,708.676341
0,21-jun,1040,-47,0.00000000e+0,710.783952
0,21-jun,1040,-46.75,0.00000000e+0,712.879028
0,21-jun,1040,-46.5,0.00000000e+0,714.961532
0,21-jun,1040,-46.25,0.00000000e+0,717.031423
0,21-jun,1040,-46,0.00000000e+0,719.088664
0,21-jun,1040,-45.75,0.00000000e+0,721.133214
0,21-jun,1040,-45.5,0.00000000e+0,723.165037
0,21-jun,1040,-45.25,0.00000000e+0,725.184093
0,21-jun,1040,-45,0.00000000e+0,727.190345
0,21-jun,1040,-44.75,0.00000000e+0,729.183756
0,21-jun,1040,-44.5,0.00000000e+0,731.164288
0,21-jun,1040,-44.25,0.00000000e+0,733.131903
0,21-jun,1040,-44,0.00000000e+0,735.086566
0,21-jun,1040,-43.75,0.00000000e+0,737.028239
0,21-jun,1040,-43.5,0.00000000e+0,738.956886
0,21-jun,1040,-43.25,0.00000000e+0,740.872471
0,21-jun,1040,-43,0.00000000e+0,742.774958
0,21-jun,1040,-42.75,0.00000000e+0,744.664312
0,21-jun,1040,-42.5,0.00000000e+0,746.540496
0,21-jun,1040,-42.25,0.00000000e+0,748.403477
0,21-jun,1040,-42,0.00000000e+0,750.253219
0,21-jun,1040,-41.75,0.00000000e+0,752.089687
0,21-jun,1040,-41.5,0.00000000e+0,753.912848
0,21-jun,1040,-41.25,0.00000000e+0,755.722667
0,21-jun,1040,-41,0.00000000e+0,757.519110
0,21-jun,1040,-40.75,0.00000000e+0,759.302145
0,21-jun,1040,-40.5,0.00000000e+0,761.071736
0,21-jun,1040,-40.25,0.00000000e+0,762.827853
0,21-jun,1040,-40,0.00000000e+0,764.570461
0,21-jun,1040,-39.75,0.00000000e+0,766.299528
0,21-jun,1040,-39.5,0.00000000e+0,768.015023
0,21-jun,1040,-39.25,0.00000000e+0,769.716912
0,21-jun,1040,-39,0.00000000e+0,771.405165
0,21-jun,1040,-38.75,0.00000000e+0,773.079750
0,21-jun,1040,-38.5,0.00000000e+0,774.740635
0,21-jun,1040,-38.25,0.00000000e+0,776.387791
0,21-jun,1040,-38,0.00000000e+0,778.021186
0,21-jun,1040,-37.75,0.00000000e+0,779.640789
0,21-jun,1040,-37.5,0.00000000e+0,781.246572
0,21-jun,1040,-37.25,0.00000000e+0,782.838503
0,21-jun,1040,-37,0.00000000e+0,784.416554
0,21-jun,1040,-36.75,0.00000000e+0,785.980695
0,21-jun,1040,-36.5,0.00000000e+0,787.530897
0,21-jun,1040,-36.25,0.00000000e+0,789.067132
0,21-jun,1040,-36,0.00000000e+0,790.589370
0,21-jun,1040,-35.75,0.00000000e+0,792.097585
0,21-jun,1040,-35.5,0.00000000e+0,793.591747
0,21-jun,1040,-35.25,0.00000000e+0,795.071830
0,21-jun,1040,-35,0.00000000e+0,796.537806
0,21-jun,1040,-34.75,0.00000000e+0,797.989647
0,21-jun,1040,-34.5,0.00000000e+0,799.427328
0,21-jun,1040,-34.25,0.00000000e+0,800.850822
