cfg,nombre,dia,minZ,elev,mv,intervalos_fs0,n_cruces,theta_poa_max,fs_en_theta_max,poa_max_Wm2,n_pares_contraejemplo
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-jun,1040,49.275,33,"-55…55",0,10,0.000000e+0,797.8948,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,900,57.102,33,"-55…-26.75",1,35.25,4.225536e-2,1056.3534,326
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-mar,1040,71.829,33,"-55…55",0,-0.75,0.000000e+0,1075.8673,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1000,83.044,33,"-55…55",0,-1.25,0.000000e+0,1162.5807,0
0,"Arequipa · valle 1 · N-S senoidal 6° · mono · medios ×2 · 8 filas · az -20°",21-dic,1060,75.485,33,"-55…55",0,-15.75,0.000000e+0,1168.2091,0
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,440,29.019,17,"-55…25",1,55,9.310130e-2,729.4110,119
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-jun,560,51.273,17,"-55…55",0,41.5,0.000000e+0,975.0177,0
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-mar,560,33.687,17,"-55…55",0,55,0.000000e+0,901.6675,0
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-mar,900,33.860,17,"-55…55",0,-44.75,0.000000e+0,737.9893,0
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-mar,940,27.476,17,"-55…55",0,-55,0.000000e+0,717.9185,0
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-dic,560,15.099,17,"-45.25…4",2,55,3.641728e-1,429.3570,164
1,"Zaragoza · ondulado 1.2 · N-S constante 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-dic,580,17.279,17,"-55…11.75",1,55,2.325954e-1,508.1255,172
2,"Arequipa · pendiente -6 · N-S constante 3° · quebrado · alineadas ×1 · 8 filas · az 0°",21-jun,840,32.510,17,"-55…55",0,53.25,0.000000e+0,780.5875,0
2,"Arequipa · pendiente -6 · N-S constante 3° · quebrado · alineadas ×1 · 8 filas · az 0°",21-jun,1060,48.094,17,"-55…55",0,-18.75,0.000000e+0,773.7774,0
2,"Arequipa · pendiente -6 · N-S constante 3° · quebrado · alineadas ×1 · 8 filas · az 0°",21-mar,1340,8.156,17,"-29.75…45.75",2,-29.75,0.000000e+0,267.7925,63
2,"Arequipa · pendiente -6 · N-S constante 3° · quebrado · alineadas ×1 · 8 filas · az 0°",21-dic,980,80.929,17,"-55…55",0,6.25,0.000000e+0,1170.6099,0
2,"Arequipa · pendiente -6 · N-S constante 3° · quebrado · alineadas ×1 · 8 filas · az 0°",21-dic,1100,66.799,17,"-55…55",0,-23.75,0.000000e+0,1160.4295,0
3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-jun,940,46.569,33,"-55…55",0,23.5,0.000000e+0,812.3313,0
3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-jun,1160,35.607,33,"44.5…44.75",2,-47,1.530165e-1,775.8400,356
3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-mar,1300,17.657,33,"17.5…17.5",2,-55,6.027623e-1,461.6855,139
3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-dic,1200,44.020,33,"44.75…46.5",2,-47.75,1.789302e-1,1045.3716,364
4,"Arequipa · pendiente -6 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az -20°",21-jun,1240,20.897,17,"-55…55",0,-55,0.000000e+0,507.9483,0
4,"Arequipa · pendiente -6 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az -20°",21-mar,900,57.102,17,"-55…55",0,35.5,0.000000e+0,1108.0589,0
4,"Arequipa · pendiente -6 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az -20°",21-mar,960,68.356,17,"-55…55",0,21.25,0.000000e+0,1091.5111,0
4,"Arequipa · pendiente -6 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az -20°",21-mar,1040,71.829,17,"-55…55",0,-0.5,0.000000e+0,1036.9340,0
4,"Arequipa · pendiente -6 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az -20°",21-mar,1340,8.156,17,"-26.25…39",2,-55,3.605789e-1,223.7093,50
4,"Arequipa · pendiente -6 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az -20°",21-dic,780,36.968,17,"-55…55",0,47,0.000000e+0,978.0966,0
4,"Arequipa · pendiente -6 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az -20°",21-dic,1300,21.234,17,"-55…55",0,-55,0.000000e+0,859.8454,0
5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-jun,320,7.595,28,"-8…-7.5",2,55,4.305284e-1,187.3144,61
5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-jun,760,70.452,28,"-55…55",0,-15.75,0.000000e+0,971.4813,0
5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-mar,840,41.965,28,"45…47",2,-48.75,1.894472e-1,835.0903,367
6,"Arequipa · cresta 3 · N-S constante 0° · mono · bagnarelli ×1 · 10 filas · az 15°",21-jun,880,39.060,14,"-55…55",0,30,0.000000e+0,714.8694,0
6,"Arequipa · cresta 3 · N-S constante 0° · mono · bagnarelli ×1 · 10 filas · az 15°",21-dic,860,55.286,14,"-55…55",0,37.25,0.000000e+0,1147.3959,0
6,"Arequipa · cresta 3 · N-S constante 0° · mono · bagnarelli ×1 · 10 filas · az 15°",21-dic,1200,44.020,14,"-55…55",0,-44.25,0.000000e+0,1037.1863,0
6,"Arequipa · cresta 3 · N-S constante 0° · mono · bagnarelli ×1 · 10 filas · az 15°",21-dic,1220,39.439,14,"-55…55",0,-48.75,0.000000e+0,1000.0677,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-jun,940,46.569,17,"-55…55",0,23.5,0.000000e+0,810.8620,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-jun,1060,48.094,17,"-55…55",0,-18,0.000000e+0,807.3853,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,1040,71.829,17,"-55…55",0,-7.75,0.000000e+0,1087.0016,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,1100,62.855,17,"-55…55",0,-24.5,0.000000e+0,1086.7848,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,700,18.800,17,"-55…55",0,55,0.000000e+0,765.1034,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,740,27.847,17,"-55…55",0,55,0.000000e+0,942.4943,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,780,36.968,17,"-55…55",0,54.25,0.000000e+0,1048.9822,0
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,17,"-5…31.25",2,-25.75,4.994858e-1,225.4622,104
8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,33,"-32.75…-20.25",2,55,2.780238e-1,711.1872,211
