cfg,nombre,dia,minZ,elev,mv,intervalos_fs0,n_cruces,theta_poa_max,fs_en_theta_max,poa_max_Wm2,n_pares_contraejemplo
0,"Arequipa · llano · N-S constante -6° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-jun,1040,49.275,17,"-55…55",0,-10.5,0.000000e+0,868.6208,0
1,"Arequipa · cresta 1 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,860,48.361,17,"-55…55",0,44,0.000000e+0,1059.8134,0
1,"Arequipa · cresta 1 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,880,52.800,17,"-55…55",0,38.5,0.000000e+0,1052.7927,0
1,"Arequipa · cresta 1 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,920,61.205,17,"-55…55",0,27.75,0.000000e+0,1054.7330,0
1,"Arequipa · cresta 1 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,940,65.009,17,"-55…55",0,22,0.000000e+0,1053.0955,0
1,"Arequipa · cresta 1 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,1260,27.141,17,"-55…55",0,-55,0.000000e+0,923.3705,0
1,"Arequipa · cresta 1 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,940,73.210,17,"-55…55",0,16.25,0.000000e+0,1170.1575,0
1,"Arequipa · cresta 1 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1360,7.858,17,"-10…31.75",2,-25.25,3.707454e-1,186.8126,86
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-jun,480,36.473,17,"-55…55",0,55,0.000000e+0,919.1512,0
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-jun,920,45.791,17,"-55…55",0,-46.5,0.000000e+0,951.7069,0
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-jun,980,34.611,17,"-55…55",0,-55,0.000000e+0,903.9524,0
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-mar,500,23.882,17,"-55…30.25",1,53,1.448649e-1,722.7505,98
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-mar,580,36.634,17,"-55…55",0,48.5,0.000000e+0,817.2189,0
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-mar,820,44.115,17,"-55…55",0,-31.5,0.000000e+0,781.2107,0
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-mar,880,36.794,17,"-55…55",0,-48.5,0.000000e+0,818.0989,0
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-dic,680,24.323,17,"-55…55",0,25.5,0.000000e+0,373.6994,0
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-dic,880,15.387,17,"-26…55",1,-55,1.903484e-1,372.8105,115
3,"Arequipa · aleatorio 13 · N-S senoidal 4° · bifila · bagnarelli ×2 · 6 filas · az 0°",21-jun,940,46.569,28,"-55…55",0,23.5,0.000000e+0,810.6828,0
3,"Arequipa · aleatorio 13 · N-S senoidal 4° · bifila · bagnarelli ×2 · 6 filas · az 0°",21-dic,920,68.846,28,"-55…55",0,21.5,0.000000e+0,1156.1036,0
3,"Arequipa · aleatorio 13 · N-S senoidal 4° · bifila · bagnarelli ×2 · 6 filas · az 0°",21-dic,1180,48.603,28,"-55…55",0,-43.25,0.000000e+0,1120.0713,0
4,"Arequipa · pendiente -3 · N-S constante 0° · bifila · tresbolillo ×1 · 10 filas · az 15°",21-mar,860,48.361,17,"-55…55",0,39.25,0.000000e+0,1024.2410,0
4,"Arequipa · pendiente -3 · N-S constante 0° · bifila · tresbolillo ×1 · 10 filas · az 15°",21-mar,940,65.009,17,"-55…55",0,16.25,0.000000e+0,1058.0943,0
4,"Arequipa · pendiente -3 · N-S constante 0° · bifila · tresbolillo ×1 · 10 filas · az 15°",21-mar,1000,72.619,17,"-55…55",0,-1.5,0.000000e+0,1084.1745,0
4,"Arequipa · pendiente -3 · N-S constante 0° · bifila · tresbolillo ×1 · 10 filas · az 15°",21-mar,1180,45.748,17,"-55…55",0,-47.25,0.000000e+0,1100.8453,0
4,"Arequipa · pendiente -3 · N-S constante 0° · bifila · tresbolillo ×1 · 10 filas · az 15°",21-dic,720,23.312,17,"-55…37.75",1,37.75,0.000000e+0,802.9797,68
4,"Arequipa · pendiente -3 · N-S constante 0° · bifila · tresbolillo ×1 · 10 filas · az 15°",21-dic,1260,30.304,17,"-55…55",0,-55,0.000000e+0,900.3924,0
5,"Zaragoza · valle 1 · N-S quebrado 2° · quebrado · alineadas ×1 · 8 filas · az 0°",21-jun,360,14.486,33,"-17.25…-14.5",2,34,3.317999e-1,333.4084,126
5,"Zaragoza · valle 1 · N-S quebrado 2° · quebrado · alineadas ×1 · 8 filas · az 0°",21-mar,460,16.813,33,"-17.75…-16",2,44.5,3.053565e-1,455.7030,134
5,"Zaragoza · valle 1 · N-S quebrado 2° · quebrado · alineadas ×1 · 8 filas · az 0°",21-mar,600,39.364,33,"-55…55",0,43.5,0.000000e+0,810.0163,0
5,"Zaragoza · valle 1 · N-S quebrado 2° · quebrado · alineadas ×1 · 8 filas · az 0°",21-dic,700,24.835,33,"-55…55",0,15,0.000000e+0,360.4774,0
5,"Zaragoza · valle 1 · N-S quebrado 2° · quebrado · alineadas ×1 · 8 filas · az 0°",21-dic,740,24.876,33,"-55…55",0,-13.75,0.000000e+0,359.1826,0
6,"Arequipa · llano · N-S aleatorio 6° · quebrado · medios ×2 · 6 filas · az 0°",21-mar,740,20.411,33,"-20.25…-19.75",2,55,4.792726e-1,498.3394,159
6,"Arequipa · llano · N-S aleatorio 6° · quebrado · medios ×2 · 6 filas · az 0°",21-dic,840,50.710,33,"-52.5…-52",2,41,1.592107e-1,1026.4390,417
7,"Arequipa · valle 3 · N-S rotula 6° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-jun,800,25.154,14,"-53…-1",2,44.75,5.114672e-2,683.5880,215
7,"Arequipa · valle 3 · N-S rotula 6° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-mar,860,48.361,14,"-55…55",0,43,0.000000e+0,1081.5378,0
7,"Arequipa · valle 3 · N-S rotula 6° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-mar,1040,71.829,14,"-55…55",0,-7.75,0.000000e+0,1087.0016,0
7,"Arequipa · valle 3 · N-S rotula 6° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-mar,1260,27.141,14,"13.5…40",2,-55,1.620367e-1,808.0718,213
7,"Arequipa · valle 3 · N-S rotula 6° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-dic,720,23.312,14,"-47…-38.5 -37.75…-9.5",4,53.75,1.943886e-1,738.9457,227
7,"Arequipa · valle 3 · N-S rotula 6° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-dic,1120,62.297,14,"-55…55",0,-28.75,0.000000e+0,1146.9278,0
8,"Arequipa · ondulado 0.6 · N-S aleatorio 4° · quebrado · tresbolillo ×2 · 8 filas · az 15°",21-jun,1160,35.607,33,"37.75…40.25",2,-52.75,1.978085e-1,852.1440,311
