cfg,nombre,dia,minZ,elev,theta_sin_sombra,fs1,poa1,theta_min_abs,fs_min,poa_min,dPOA,theta_peor_fs,fs_peor,poa_peor,energia_instante_Wh
28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,380,2.253,-1.75,0.000000e+0,1.824955,0,7.341735e-1,1.820554,-0.004401,1.5,9.141924e-1,1.956536,1.422742
25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,1080,2.487,4,0.000000e+0,2.305171,0,5.153682e-2,2.605741,0.300570,-3.75,1.032954e-1,4.288647,2.172505
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-dic,980,2.011,6.5,0.000000e+0,1.465958,-2,2.310362e-2,1.780716,0.314758,-6.25,5.516769e-1,2.933690,0.887971
20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,11,0.000000e+0,2.833620,-5,2.068124e-2,5.643902,2.810282,-10.75,4.093076e-1,8.296884,2.146414
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-jun,1140,5.942,12,0.000000e+0,11.158431,0,1.652957e-1,22.494793,11.336363,-11.75,6.656370e-1,54.756615,16.890798
16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-jun,1320,4.396,12.25,0.000000e+0,7.682211,-2.5,1.839117e-2,21.019140,13.336929,-12,5.599031e-1,36.621634,13.130671
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-mar,1360,3.475,20.25,0.000000e+0,5.416606,-13.5,4.741892e-3,21.134459,15.717853,-20,2.705469e-1,26.838407,7.018360
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-mar,400,5.850,-11.5,0.000000e+0,11.298270,1.25,1.206518e-2,27.412954,16.114684,11.25,5.091275e-1,52.198921,16.891120
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-mar,400,5.850,-14,0.000000e+0,11.480997,2.25,6.690034e-3,29.798248,18.317250,13.75,5.798711e-1,53.512573,18.003211
5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-jun,320,7.595,-8,0.000000e+0,15.646689,0,7.230217e-2,39.478197,23.831508,7.75,1.321781e-1,75.476043,18.181410
