politica,lleva_guardia,cfg,nombre,dia,minZ,elev,grupo,theta_publicado,fs_publicada,poa_publicada,theta_sombra0,poa_sombra0,dPOA
mgl,1,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,940,7.757,"[0,1]",-11.5234,1.973729e-3,113.185895,0,111.100738,2.085156
row,0,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,940,7.757,"[0,1]",-11.4143,1.516763e-1,131.374346,6,120.920773,10.453573
astro,0,26,"Zaragoza · llano · N-S aleatorio 6° · quebrado · bagnarelli ×1 · 8 filas · az 0°",21-jun,800,66.059,"[6,7]",-17.5874,1.933732e-4,953.813092,0,941.538966,12.274126
row,0,26,"Zaragoza · llano · N-S aleatorio 6° · quebrado · bagnarelli ×1 · 8 filas · az 0°",21-jun,800,66.059,"[6,7]",-17.5874,1.933732e-4,953.813092,0,941.538966,12.274126
true3d,1,17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1340,8.156,"[0,1]",0.0000,1.315847e-2,110.710253,5,98.379458,12.330795
mgl,1,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,1020,27.173,"[2,3]",-7.7500,1.999271e-3,517.694083,0,492.201866,25.492217
true3d,1,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,360,14.486,"[0,1]",0.0000,1.610782e-2,211.994979,-9.5,183.578604,28.416374
row,0,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,460,16.813,"[2,3]",15.3773,1.501517e-1,457.818583,0,427.229008,30.589575
astro,0,23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,"[2,3]",47.6670,2.259347e-2,419.566296,0,386.048624,33.517673
row,0,23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,"[2,3]",47.6670,2.259347e-2,419.566296,0,386.048624,33.517673
pairwise,1,23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,"[2,3]",47.6670,2.259347e-2,419.566296,0,386.048624,33.517673
true3d,1,23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,"[2,3]",47.6670,2.259347e-2,419.566296,0,386.048624,33.517673
mgl,1,23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,"[2,3]",47.6670,2.259347e-2,419.566296,0,386.048624,33.517673
astro,0,24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-mar,600,39.364,"[0,1]",40.6221,4.624110e-4,805.137477,0,763.566749,41.570728
row,0,24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-mar,600,39.364,"[0,1]",40.6221,4.624110e-4,805.137477,0,763.566749,41.570728
pairwise,1,8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,"[4,5]",-9.5946,4.692750e-2,428.280938,-20.25,382.043945,46.236993
mgl,1,8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,"[4,5]",-9.5946,4.692750e-2,428.280938,-20.25,382.043945,46.236993
astro,0,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,560,51.273,"[2,3]",37.4886,3.907876e-3,957.774487,0,907.695327,50.079160
row,0,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,560,51.273,"[2,3]",37.4886,3.907876e-3,957.774487,0,907.695327,50.079160
pairwise,1,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,"[2,3]",2.0000,1.041532e-2,598.329050,20.5,542.616600,55.712450
mgl,1,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,"[2,3]",2.0000,1.041532e-2,598.329050,20.5,542.616600,55.712450
astro,0,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,920,45.791,"[2,3]",-43.6885,3.071831e-3,947.057041,0,880.752154,66.304886
row,0,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,920,45.791,"[2,3]",-43.6885,3.071831e-3,947.057041,0,880.752154,66.304886
true3d,1,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,"[2,3]",0.0000,1.312715e-2,584.166753,22.25,517.827676,66.339076
pairwise,1,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,"[2,3]",2.0000,1.404264e-1,548.948257,29.25,470.469856,78.478401
mgl,1,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,"[2,3]",2.0000,1.404264e-1,548.948257,29.25,470.469856,78.478401
true3d,1,8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,"[4,5]",0.0000,9.701308e-2,425.292721,-20.25,342.675769,82.616951
true3d,1,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,"[2,3]",0.0000,1.462428e-1,555.008154,29.25,470.469856,84.538298
