cfg,nombre,dia,minZ,elev,mv,theta1_fs0,fs1,theta2,fs2,n_pares
28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,380,2.253,33,-1.75,0.000000e+0,1.5,9.141924e-1,11
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-jun,1140,5.942,33,12,0.000000e+0,-11.75,6.656370e-1,52
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-mar,400,5.850,33,-14,0.000000e+0,13.75,5.798711e-1,47
16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-jun,1320,4.396,33,12.25,0.000000e+0,-12,5.599031e-1,39
14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-dic,980,2.011,33,6.5,0.000000e+0,-6.25,5.516769e-1,18
7,"Arequipa · pendiente 6 · N-S rotula 2° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1340,12.271,17,31.25,0.000000e+0,-31,5.165220e-1,104
19,"Zaragoza · pendiente 6 · N-S constante -3° · quebrado · alineadas ×1 · 10 filas · az -20°",21-dic,900,13.023,17,31.75,0.000000e+0,-31.5,5.156815e-1,105
15,"Zaragoza · cresta 1 · N-S rotula 4° · quebrado · alineadas ×1 · 8 filas · az 15°",21-mar,400,5.850,33,-11.5,0.000000e+0,11.25,5.091275e-1,41
16,"Arequipa · cresta 1 · N-S constante -3° · mono · alineadas ×1 · 10 filas · az 15°",21-mar,680,6.179,17,-20.5,0.000000e+0,20.25,5.019000e-1,58
28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,460,16.813,17,-43.5,0.000000e+0,43.25,4.775081e-1,133
22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-jun,320,7.595,17,-28,0.000000e+0,27.75,4.731560e-1,78
13,"Arequipa · pendiente 10 · N-S rotula 4° · mono · alineadas ×1 · 6 filas · az 0°",21-dic,1300,21.234,17,55,0.000000e+0,-54.75,4.379470e-1,176
