cfg,nombre,dia,minZ,elev,mv,theta1_fs0,fs1,theta2,fs2,n_pares
39,"Arequipa · ondulado 2 · N-S constante -3° · mono · alineadas ×1 · 6 filas · az 0°",21-mar,1260,27.141,17,34,0.000000e+0,-33.75,8.755502e-1,222
23,"Zaragoza · ondulado 1.2 · N-S rotula 6° · mono · alineadas ×1 · 8 filas · az -20°",21-mar,1020,13.411,17,19.25,0.000000e+0,-19,8.131509e-1,108
9,"Zaragoza · cresta 2 · N-S constante 0° · mono · bagnarelli ×2 · 8 filas · az 0°",21-mar,380,2.253,28,-3,0.000000e+0,2.75,8.039425e-1,17
9,"Zaragoza · cresta 2 · N-S constante 0° · mono · bagnarelli ×2 · 8 filas · az 0°",21-jun,1140,5.942,28,9.5,0.000000e+0,-9.25,8.016128e-1,52
28,"Arequipa · valle 3 · N-S constante 0° · quebrado · alineadas ×2 · 8 filas · az 0°",21-dic,660,9.879,17,-16.75,0.000000e+0,16.5,7.284181e-1,84
39,"Arequipa · ondulado 2 · N-S constante -3° · mono · alineadas ×1 · 6 filas · az 0°",21-jun,760,17.245,17,-36.25,0.000000e+0,36,6.571341e-1,172
34,"Zaragoza · pendiente 3 · N-S constante 0° · bifila · medios ×1 · 10 filas · az 0°",21-mar,1060,6.088,17,13.75,0.000000e+0,-13.5,5.924417e-1,47
9,"Zaragoza · cresta 2 · N-S constante 0° · mono · bagnarelli ×2 · 8 filas · az 0°",21-mar,1080,2.487,28,3.5,0.000000e+0,-3.25,5.921739e-1,19
38,"Arequipa · ondulado 0.6 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az 0°",21-jun,1280,12.768,17,25.75,0.000000e+0,-25.5,5.502217e-1,90
39,"Arequipa · ondulado 2 · N-S constante -3° · mono · alineadas ×1 · 6 filas · az 0°",21-dic,1220,39.439,17,55,0.000000e+0,-49.75,4.865483e-1,257
22,"Zaragoza · valle 3 · N-S senoidal 4° · quebrado · tresbolillo ×1 · 10 filas · az 0°",21-mar,920,30.743,33,36,0.000000e+0,-35.75,4.846966e-1,285
37,"Zaragoza · cresta 2 · N-S constante 3° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-jun,360,14.486,14,-40.5,0.000000e+0,40.25,4.578892e-1,114
15,"Arequipa · ondulado 2 · N-S quebrado 3° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-dic,1260,30.304,28,40.25,0.000000e+0,-40,4.486594e-1,257
1,"Arequipa · cresta 1 · N-S constante 6° · mono · alineadas ×1 · 8 filas · az 0°",21-dic,1360,7.858,17,31.75,0.000000e+0,-31.5,4.422131e-1,86
14,"Zaragoza · llano · N-S constante 0° · quebrado · bagnarelli ×1 · 6 filas · az 0°",21-dic,480,4.544,28,-20,0.000000e+0,19.75,4.195113e-1,44
31,"Zaragoza · aleatorio 13 · N-S senoidal 4° · bifila · alineadas ×1 · 10 filas · az -20°",21-mar,1000,17.033,33,18,0.000000e+0,-17.75,4.090913e-1,137
37,"Zaragoza · cresta 2 · N-S constante 3° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-dic,920,10.471,14,52,0.000000e+0,-51.75,3.880230e-1,137
31,"Zaragoza · aleatorio 13 · N-S senoidal 4° · bifila · alineadas ×1 · 10 filas · az -20°",21-mar,980,20.598,33,20.75,0.000000e+0,-20.5,3.737788e-1,164
15,"Arequipa · ondulado 2 · N-S quebrado 3° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-mar,800,34.565,28,-36.75,0.000000e+0,36.5,3.516124e-1,284
6,"Arequipa · llano · N-S aleatorio 6° · quebrado · medios ×2 · 6 filas · az 0°",21-mar,740,20.411,33,-20.25,0.000000e+0,20,3.436638e-1,159
23,"Zaragoza · ondulado 1.2 · N-S rotula 6° · mono · alineadas ×1 · 8 filas · az -20°",21-mar,480,20.386,17,-55,0.000000e+0,54.75,3.404446e-1,166
8,"Arequipa · ondulado 0.6 · N-S aleatorio 4° · quebrado · tresbolillo ×2 · 8 filas · az 15°",21-dic,760,32.400,33,-32.75,0.000000e+0,32.5,3.039204e-1,259
13,"Arequipa · cresta 1 · N-S senoidal 3° · mono · alineadas ×1 · 8 filas · az 0°",21-mar,720,15.660,33,-16,0.000000e+0,15.75,2.715583e-1,127
5,"Zaragoza · valle 1 · N-S quebrado 2° · quebrado · alineadas ×1 · 8 filas · az 0°",21-jun,360,14.486,33,-17.25,0.000000e+0,17,2.641691e-1,126
8,"Arequipa · ondulado 0.6 · N-S aleatorio 4° · quebrado · tresbolillo ×2 · 8 filas · az 15°",21-dic,780,36.968,33,-37,0.000000e+0,36.75,2.564594e-1,295
39,"Arequipa · ondulado 2 · N-S constante -3° · mono · alineadas ×1 · 6 filas · az 0°",21-dic,1200,44.020,17,55,0.000000e+0,-45.25,2.561486e-1,207
36,"Arequipa · llano · N-S quebrado 6° · bifila · medios ×1 · 10 filas · az 0°",21-mar,1280,22.406,33,23,0.000000e+0,-22.75,2.512194e-1,180
34,"Zaragoza · pendiente 3 · N-S constante 0° · bifila · medios ×1 · 10 filas · az 0°",21-mar,440,13.184,17,-55,0.000000e+0,54.75,2.308484e-1,91
32,"Zaragoza · llano · N-S senoidal 3° · quebrado · alineadas ×1 · 6 filas · az 0°",21-mar,460,16.813,33,-17.25,0.000000e+0,17,2.244860e-1,133
20,"Arequipa · llano · N-S aleatorio 4° · mono · alineadas ×1 · 10 filas · az -20°",21-mar,760,25.151,33,-25,0.000000e+0,24.75,2.175298e-1,199
5,"Zaragoza · valle 1 · N-S quebrado 2° · quebrado · alineadas ×1 · 8 filas · az 0°",21-mar,460,16.813,33,-17.75,0.000000e+0,17.5,2.172484e-1,134
18,"Arequipa · pendiente 3 · N-S constante -6° · quebrado · bagnarelli ×1 · 8 filas · az 15°",21-dic,680,14.319,14,-55,0.000000e+0,54.75,2.156559e-1,87
19,"Arequipa · aleatorio 13 · N-S senoidal 2° · bifila · medios ×2 · 8 filas · az 0°",21-dic,680,14.319,33,-15.5,0.000000e+0,15.25,2.127252e-1,118
26,"Zaragoza · pendiente 6 · N-S aleatorio 2° · quebrado · alineadas ×1 · 8 filas · az 15°",21-jun,1020,27.173,33,37.25,0.000000e+0,-37,2.024607e-1,219
29,"Arequipa · llano · N-S constante -6° · mono · tresbolillo ×1 · 8 filas · az 0°",21-mar,680,6.179,17,-22.5,0.000000e+0,22.25,1.947065e-1,50
8,"Arequipa · ondulado 0.6 · N-S aleatorio 4° · quebrado · tresbolillo ×2 · 8 filas · az 15°",21-jun,1160,35.607,33,40.25,0.000000e+0,-40,1.930735e-1,311
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-dic,880,15.387,17,55,0.000000e+0,-54.75,1.897750e-1,115
24,"Zaragoza · aleatorio 13 · N-S rotula 3° · quebrado · medios ×2 · 8 filas · az -20°",21-dic,500,7.402,17,-32.25,0.000000e+0,31.25,1.866100e-1,77
7,"Arequipa · valle 3 · N-S rotula 6° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-dic,720,23.312,14,-47,0.000000e+0,46.75,1.833862e-1,227
20,"Arequipa · llano · N-S aleatorio 4° · mono · alineadas ×1 · 10 filas · az -20°",21-mar,1260,27.141,33,29,0.000000e+0,-28.75,1.793743e-1,230
8,"Arequipa · ondulado 0.6 · N-S aleatorio 4° · quebrado · tresbolillo ×2 · 8 filas · az 15°",21-mar,1200,41.169,33,41.75,0.000000e+0,-41.5,1.792291e-1,328
6,"Arequipa · llano · N-S aleatorio 6° · quebrado · medios ×2 · 6 filas · az 0°",21-dic,840,50.710,33,-52.5,0.000000e+0,37.75,1.593938e-1,417
13,"Arequipa · cresta 1 · N-S senoidal 3° · mono · alineadas ×1 · 8 filas · az 0°",21-jun,780,21.256,33,-44.75,0.000000e+0,44.5,1.587629e-1,202
32,"Zaragoza · llano · N-S senoidal 3° · quebrado · alineadas ×1 · 6 filas · az 0°",21-dic,560,15.099,33,-28,0.000000e+0,27.75,1.525974e-1,188
7,"Arequipa · valle 3 · N-S rotula 6° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-mar,1260,27.141,14,40,0.000000e+0,-39.75,1.514298e-1,213
2,"Zaragoza · aleatorio 7 · N-S rotula 2° · mono · alineadas ×1 · 10 filas · az 0°",21-mar,500,23.882,17,-55,0.000000e+0,54.75,1.493598e-1,98
36,"Arequipa · llano · N-S quebrado 6° · bifila · medios ×1 · 10 filas · az 0°",21-mar,1240,31.852,33,43.5,0.000000e+0,-43.25,1.338619e-1,268
4,"Arequipa · pendiente -3 · N-S constante 0° · bifila · tresbolillo ×1 · 10 filas · az 15°",21-dic,720,23.312,17,-55,0.000000e+0,54.75,1.032035e-1,68
31,"Zaragoza · aleatorio 13 · N-S senoidal 4° · bifila · alineadas ×1 · 10 filas · az -20°",21-jun,460,32.739,33,-53,0.000000e+0,52.75,9.829770e-2,264
35,"Arequipa · cresta 2 · N-S quebrado 3° · mono · tresbolillo ×1 · 8 filas · az 15°",21-dic,1260,30.304,33,55,0.000000e+0,-53.75,9.617830e-2,277
20,"Arequipa · llano · N-S aleatorio 4° · mono · alineadas ×1 · 10 filas · az -20°",21-dic,760,32.400,33,-55,0.000000e+0,53,9.337708e-2,293
24,"Zaragoza · aleatorio 13 · N-S rotula 3° · quebrado · medios ×2 · 8 filas · az -20°",21-mar,940,27.476,17,55,0.000000e+0,-54.75,8.765623e-2,76
26,"Zaragoza · pendiente 6 · N-S aleatorio 2° · quebrado · alineadas ×1 · 8 filas · az 15°",21-jun,980,34.611,33,55,0.000000e+0,-54.5,7.566006e-2,226
32,"Zaragoza · llano · N-S senoidal 3° · quebrado · alineadas ×1 · 6 filas · az 0°",21-mar,920,30.743,33,55,0.000000e+0,-54.25,6.905880e-2,241
7,"Arequipa · valle 3 · N-S rotula 6° · quebrado · bagnarelli ×1 · 10 filas · az 0°",21-jun,800,25.154,14,-53,0.000000e+0,52.75,6.628504e-2,215
