politica,cfg,nombre,dia,minZ,elev,grupo,theta_publicado,fs_planos_publicada,theta_sombra0
astro,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,"[2,3]",-55.0000,2.313608e-1,29.25
row,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,"[2,3]",-55.0000,2.313608e-1,29.25
astro,34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,"[2,3]",-34.2032,1.668804e-1,54.75
row,34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,"[2,3]",-34.2032,1.668804e-1,54.75
row,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,940,7.757,"[0,1]",-11.4143,1.516763e-1,6
row,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,460,16.813,"[2,3]",15.3773,1.501517e-1,0
true3d,34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,"[2,3]",0.0000,1.464070e-1,54.75
true3d,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,"[2,3]",0.0000,1.462428e-1,29.25
pairwise,34,"Zaragoza · llano · N-S quebrado 6° · quebrado · bagnarelli ×1 · 6 filas · az 15°",21-mar,880,36.794,"[2,3]",2.0000,1.438378e-1,54.75
pairwise,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,"[2,3]",2.0000,1.404264e-1,29.25
true3d,8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,"[4,5]",0.0000,9.701308e-2,-20.25
row,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,1020,27.173,"[2,3]",-40.7365,8.304412e-2,14.25
astro,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,"[2,3]",-53.8791,7.200946e-2,36.25
row,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,"[2,3]",-53.8791,7.200946e-2,36.25
pairwise,8,"Arequipa · valle 2 · N-S senoidal 2° · quebrado · alineadas ×1 · 6 filas · az -20°",21-jun,800,25.154,"[4,5]",-9.5946,4.692750e-2,-20.25
astro,23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,"[2,3]",47.6670,2.259347e-2,0
row,23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,"[2,3]",47.6670,2.259347e-2,0
pairwise,23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,"[2,3]",47.6670,2.259347e-2,0
true3d,23,"Zaragoza · aleatorio 7 · N-S rotula 6° · quebrado · tresbolillo ×1 · 8 filas · az 0°",21-dic,620,20.929,"[2,3]",47.6670,2.259347e-2,0
true3d,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,360,14.486,"[0,1]",0.0000,1.610782e-2,-9.5
true3d,17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1340,8.156,"[0,1]",0.0000,1.315847e-2,5
true3d,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,"[2,3]",0.0000,1.312715e-2,22.25
pairwise,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-mar,920,30.743,"[2,3]",2.0000,1.041532e-2,20.5
astro,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,560,51.273,"[2,3]",37.4886,3.907876e-3,0
row,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,560,51.273,"[2,3]",37.4886,3.907876e-3,0
astro,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,920,45.791,"[2,3]",-43.6885,3.071831e-3,0
row,39,"Zaragoza · pendiente -6 · N-S aleatorio 4° · bifila · alineadas ×1 · 8 filas · az 0°",21-jun,920,45.791,"[2,3]",-43.6885,3.071831e-3,0
astro,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,460,32.739,"[0,1]",55.0000,2.972023e-3,0
row,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,460,32.739,"[0,1]",55.0000,2.972023e-3,0
astro,24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-mar,600,39.364,"[0,1]",40.6221,4.624110e-4,0
row,24,"Zaragoza · llano · N-S aleatorio 3° · bifila · tresbolillo ×2 · 10 filas · az 0°",21-mar,600,39.364,"[0,1]",40.6221,4.624110e-4,0
astro,26,"Zaragoza · llano · N-S aleatorio 6° · quebrado · bagnarelli ×1 · 8 filas · az 0°",21-jun,800,66.059,"[6,7]",-17.5874,1.933732e-4,0
row,26,"Zaragoza · llano · N-S aleatorio 6° · quebrado · bagnarelli ×1 · 8 filas · az 0°",21-jun,800,66.059,"[6,7]",-17.5874,1.933732e-4,0
