bloque,cfg,nombre,dia,minZ,elev,unidad_o_pareja,bisection_deg,barrido_fino_deg,delta_deg,cruces
bt3dPairMaxMag,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,460,16.813,pareja 3,20.998753,20.950000,0.04875322,1
bt3dPairMaxMag,25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,1080,2.487,pareja 2,3.948132,3.900000,0.04813230,1
bt3dPairMaxMag,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,1020,27.173,pareja 4,38.247781,38.200000,0.04778133,1
bt3dPairMaxMag,5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-jun,320,7.595,pareja 6,43.146711,43.100000,0.04671132,1
bt3dPairMaxMag,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,360,14.486,pareja 0,22.496627,22.450000,0.04662685,1
bt3dPairMaxMag,37,"Zaragoza · aleatorio 13 · N-S senoidal 3° · bifila · alineadas ×1 · 6 filas · az 0°",21-jun,1020,27.173,pareja 2,41.696544,41.650000,0.04654444,1
bt3dPairMaxMag,14,"Zaragoza · aleatorio 42 · N-S constante 0° · mono · medios ×1 · 6 filas · az 0°",21-jun,1140,5.942,pareja 0,13.946328,13.900000,0.04632835,1
bt3dPairMaxMag,5,"Zaragoza · pendiente 10 · N-S aleatorio 3° · quebrado · bagnarelli ×2 · 10 filas · az -20°",21-jun,320,7.595,pareja 2,42.446143,42.400000,0.04614344,1
bt3dPairMaxMag,3,"Arequipa · cresta 1 · N-S aleatorio 3° · quebrado · alineadas ×2 · 6 filas · az 0°",21-mar,1300,17.657,pareja 1,49.395654,49.350000,0.04565431,1
bt3dPairMaxMag,18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,1300,17.657,pareja 1,49.395654,49.350000,0.04565431,1
