MV,theta_deg,poa_planta_Wm2,fs_planos
8,-55,23.261872,2.85334879e-1
8,-54.75,23.247080,2.84411697e-1
8,-54.5,23.232159,2.83476397e-1
8,-54.25,23.217109,2.82528785e-1
8,-54,23.201930,2.81568663e-1
8,-53.75,23.186623,2.80595826e-1
8,-53.5,23.171188,2.79610068e-1
8,-53.25,23.155626,2.78611175e-1
8,-53,23.139936,2.77598929e-1
8,-52.75,23.124120,2.76573108e-1
8,-52.5,23.108177,2.75533484e-1
8,-52.25,23.092108,2.74479822e-1
8,-52,23.075913,2.73411884e-1
8,-51.75,23.059592,2.72329425e-1
8,-51.5,23.043147,2.71232195e-1
8,-51.25,23.026577,2.70119936e-1
8,-51,23.009882,2.68992385e-1
8,-50.75,22.993063,2.67849273e-1
8,-50.5,22.976121,2.66690325e-1
8,-50.25,22.959055,2.65515256e-1
8,-50,22.941867,2.64323777e-1
8,-49.75,22.924556,2.63115592e-1
8,-49.5,22.907122,2.61890394e-1
8,-49.25,22.889567,2.60647871e-1
8,-49,22.871890,2.59387704e-1
8,-48.75,22.854093,2.58109564e-1
8,-48.5,22.836174,2.56813112e-1
8,-48.25,22.818136,2.55498005e-1
8,-48,22.799977,2.54163886e-1
8,-47.75,22.781699,2.52810391e-1
8,-47.5,22.763302,2.51437147e-1
8,-47.25,22.744786,2.50043769e-1
8,-47,22.726151,2.49314932e-1
8,-46.75,22.707399,2.48597513e-1
8,-46.5,22.688530,2.47869420e-1
8,-46.25,22.669543,2.47130440e-1
8,-46,22.650439,2.46380353e-1
8,-45.75,22.631219,2.45618933e-1
8,-45.5,22.611884,2.44845949e-1
8,-45.25,22.592433,2.44061163e-1
8,-45,22.572866,2.43264329e-1
8,-44.75,22.553186,2.42455195e-1
8,-44.5,22.533391,2.41633503e-1
8,-44.25,22.513482,2.40798986e-1
8,-44,22.493460,2.39951368e-1
8,-43.75,22.473325,2.39090368e-1
8,-43.5,22.453077,2.38215695e-1
8,-43.25,22.432718,2.37327050e-1
8,-43,22.412247,2.36424124e-1
8,-42.75,22.391665,2.35506599e-1
8,-42.5,22.370972,2.34574149e-1
8,-42.25,22.350169,2.33626435e-1
8,-42,22.329256,2.32663111e-1
8,-41.75,22.308233,2.31683818e-1
8,-41.5,22.287102,2.30688185e-1
8,-41.25,22.265863,2.29675833e-1
8,-41,22.244515,2.28646367e-1
8,-40.75,22.223060,2.27599381e-1
8,-40.5,22.201498,2.26534457e-1
8,-40.25,22.179829,2.25451161e-1
8,-40,22.158054,2.24349048e-1
8,-39.75,22.136174,2.23227654e-1
8,-39.5,22.114188,2.22086503e-1
8,-39.25,22.092098,2.20925101e-1
8,-39,22.069903,2.19742940e-1
8,-38.75,22.047605,2.18539492e-1
8,-38.5,22.025204,2.17314211e-1
8,-38.25,22.002700,2.16066533e-1
8,-38,21.980093,2.14795875e-1
8,-37.75,21.957385,2.13501631e-1
8,-37.5,21.934576,2.12183175e-1
8,-37.25,21.911666,2.10839858e-1
8,-37,21.888656,2.09471008e-1
8,-36.75,21.865546,2.08075928e-1
8,-36.5,21.842336,2.06653894e-1
8,-36.25,21.819029,2.05204159e-1
8,-36,21.795622,2.03725942e-1
8,-35.75,21.772119,2.02218437e-1
8,-35.5,21.748518,2.00680805e-1
8,-35.25,21.724820,1.99112176e-1
8,-35,21.701027,1.97511643e-1
8,-34.75,21.677137,1.95878267e-1
8,-34.5,21.653153,1.94211068e-1
8,-34.25,21.629074,1.92509029e-1
8,-34,21.604902,1.90771091e-1
8,-33.75,21.580636,1.88996150e-1
8,-33.5,21.556277,1.87183059e-1
8,-33.25,21.531825,1.85330619e-1
8,-33,21.507282,1.83437584e-1
8,-32.75,21.482648,1.81502653e-1
8,-32.5,21.457923,1.79524467e-1
8,-32.25,21.433108,1.77501610e-1
8,-32,21.408204,1.75432602e-1
8,-31.75,21.383211,1.73315897e-1
8,-31.5,21.358129,1.71149879e-1
8,-31.25,21.332959,1.68932857e-1
8,-31,21.307702,1.66663064e-1
8,-30.75,21.282359,1.64338647e-1
8,-30.5,21.256930,1.61957668e-1
8,-30.25,21.231415,1.59518095e-1
8,-30,21.205815,1.57017795e-1
8,-29.75,21.180131,1.54454534e-1
8,-29.5,21.154363,1.51825964e-1
8,-29.25,21.128512,1.49129620e-1
8,-29,21.102579,1.46362910e-1
8,-28.75,21.076564,1.43523109e-1
8,-28.5,21.050468,1.40607348e-1
8,-28.25,21.024291,1.37612607e-1
8,-28,20.998035,1.34535703e-1
8,-27.75,20.971699,1.32780251e-1
8,-27.5,20.945284,1.31215662e-1
8,-27.25,20.918792,1.29606417e-1
8,-27,20.892222,1.27950616e-1
8,-26.75,20.865575,1.26246245e-1
8,-26.5,20.838852,1.24491175e-1
8,-26.25,20.812054,1.22683149e-1
8,-26,20.785181,1.20819776e-1
8,-25.75,20.758235,1.18898515e-1
8,-25.5,20.731214,1.16916671e-1
8,-25.25,20.704122,1.14871377e-1
8,-25,20.676957,1.14247547e-1
8,-24.75,20.649721,1.14076973e-1
8,-24.5,20.622415,1.13900671e-1
8,-24.25,20.595039,1.13718351e-1
8,-24,20.567593,1.13529704e-1
8,-23.75,20.540080,1.13334401e-1
8,-23.5,20.512499,1.13132085e-1
8,-23.25,20.484851,1.12922378e-1
8,-23,20.457137,1.12704871e-1
8,-22.75,20.429358,1.12479127e-1
8,-22.5,20.401514,1.12244673e-1
8,-22.25,20.373607,1.12001001e-1
8,-22,20.345636,1.11747561e-1
8,-21.75,20.317604,1.11483761e-1
8,-21.5,20.289511,1.11208958e-1
8,-21.25,20.261357,1.10922454e-1
8,-21,20.233143,1.10623493e-1
8,-20.75,20.204871,1.10311251e-1
8,-20.5,20.176542,1.09984830e-1
8,-20.25,20.148155,1.09643249e-1
