bloque,MV_forzado,nb_forzado,politica,kWh_m2_ano
D.3,,0,astro,2743.953568
D.3,,0,global,2707.437200
D.3,,0,row,2706.738766
D.3,,0,bt2d,2707.319394
D.3,,0,pairwise,2298.122295
D.3,,0,true3d,2283.056448
D.3,,0,mgl,2331.191918
D.3,,0,optimal,2743.953568
D.3,,0,optfree,2743.960732
D.3,,1,astro,2478.299363
D.3,,1,global,2570.620781
D.3,,1,row,2584.811694
D.3,,1,bt2d,2564.155081
D.3,,1,pairwise,2287.266214
D.3,,1,true3d,2274.005851
D.3,,1,mgl,2320.240075
D.3,,1,optimal,2612.487169
D.3,,1,optfree,2620.333211
D.3,,2,astro,2631.889450
D.3,,2,global,2643.318425
D.3,,2,row,2648.819648
D.3,,2,bt2d,2640.761877
D.3,,2,pairwise,2293.500710
D.3,,2,true3d,2278.764164
D.3,,2,mgl,2326.523077
D.3,,2,optimal,2666.488925
D.3,,2,optfree,2668.368917
