bloque,MV_forzado,nb_forzado,politica,kWh_m2_ano
D.3,,3,astro,2673.146014
D.3,,3,global,2667.371313
D.3,,3,row,2670.069373
D.3,,3,bt2d,2666.050748
D.3,,3,pairwise,2295.266091
D.3,,3,true3d,2280.344850
D.3,,3,mgl,2328.304626
D.3,,3,optimal,2686.019263
D.3,,3,optfree,2686.729622
D.3,,6,astro,2710.536776
D.3,,6,global,2690.493715
D.3,,6,row,2690.830912
D.3,,6,bt2d,2689.954272
D.3,,6,pairwise,2296.772184
D.3,,6,true3d,2281.880669
D.3,,6,mgl,2329.826888
D.3,,6,optimal,2711.781188
D.3,,6,optfree,2711.785101
