theta_deg,fs_planos_pct,fs_publicada_pct,candidatos_por_fila,emisores_por_fila
21.75,22.671236,22.671823,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.76,22.674311,22.674899,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.77,22.677385,22.677973,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.78,22.680456,22.681045,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.79,22.683525,22.684114,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.8,22.686592,22.687182,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.81,22.689657,22.690247,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.82,22.692720,22.693311,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.83,22.695780,22.696372,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.84,22.698839,22.699431,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.85,22.701896,22.702488,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.86,22.704950,22.705543,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.87,22.708002,22.708596,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.88,22.711053,22.711647,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.89,22.714101,22.714695,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.9,22.717147,22.717742,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.91,22.720191,22.720787,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.92,21.802739,22.723829,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.93,21.809786,22.726870,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.94,21.816828,22.729908,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.95,21.823866,22.732944,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.96,21.830899,22.735979,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.97,21.837928,22.739011,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.98,21.844952,22.742041,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
21.99,21.851972,22.745069,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
22,21.858987,22.748095,5 4 3 2 1 0,[1 2 3 4 5] [2 3 4 5] [3 4 5] [4 5] [5] []
