theta_deg,j,v_m,fraccion,ala,centro_exacto
21.91,0,-31.382303,0.00000000,0,0
21.91,1,-29.420909,0.00000000,0,0
21.91,2,-27.459515,0.00000000,0,0
21.91,3,-25.498121,0.00000000,0,0
21.91,4,-23.536727,0.00000000,0,0
21.91,5,-21.575333,0.00000000,0,0
21.91,6,-19.613939,0.00000000,0,0
21.91,7,-17.652545,0.00000000,0,0
21.91,8,-15.691152,0.00000000,0,0
21.91,9,-13.729758,0.00000000,0,0
21.91,10,-11.768364,0.00000000,0,0
21.91,11,-9.806970,0.00000000,0,0
21.91,12,-7.845576,0.00000000,0,0
21.91,13,-5.884182,0.00000000,0,0
21.91,14,-3.922788,0.00000000,0,0
21.91,15,-1.961394,0.00000000,0,0
21.91,16,0.000000,0.00000000,1,1
21.91,17,1.961394,0.00000000,1,0
21.91,18,3.922788,0.00000000,1,0
21.91,19,5.884182,0.00000000,1,0
21.91,20,7.845576,0.08681625,1,0
21.91,21,9.806970,0.22443289,1,0
21.91,22,11.768364,0.36204952,1,0
21.91,23,13.729758,0.49966616,1,0
21.91,24,15.691152,0.63728279,1,0
21.91,25,17.652545,0.77489943,1,0
21.91,26,19.613939,0.91251606,1,0
21.91,27,21.575333,1.00000000,1,0
21.91,28,23.536727,1.00000000,1,0
21.91,29,25.498121,1.00000000,1,0
21.91,30,27.459515,1.00000000,1,0
21.91,31,29.420909,0.00000000,1,0
21.91,32,31.382303,0.00000000,1,0
21.92,0,-31.382303,0.00000000,0,0
21.92,1,-29.420909,0.00000000,0,0
21.92,2,-27.459515,0.00000000,0,0
21.92,3,-25.498121,0.00000000,0,0
21.92,4,-23.536727,0.00000000,0,0
21.92,5,-21.575333,0.00000000,0,0
21.92,6,-19.613939,0.00000000,0,0
21.92,7,-17.652545,0.00000000,0,0
21.92,8,-15.691152,0.00000000,0,0
21.92,9,-13.729758,0.00000000,0,0
21.92,10,-11.768364,0.00000000,0,0
21.92,11,-9.806970,0.00000000,0,0
21.92,12,-7.845576,0.00000000,0,0
21.92,13,-5.884182,0.00000000,0,0
21.92,14,-3.922788,0.00000000,0,0
21.92,15,-1.961394,0.00000000,0,0
21.92,16,0.000000,0.00000000,1,1
21.92,17,1.961394,0.00000000,1,0
21.92,18,3.922788,0.00000000,1,0
21.92,19,5.884182,0.00000000,1,0
21.92,20,7.845576,0.08707804,1,0
21.92,21,9.806970,0.22465522,1,0
21.92,22,11.768364,0.36223239,1,0
21.92,23,13.729758,0.49980957,1,0
21.92,24,15.691152,0.63738674,1,0
21.92,25,17.652545,0.77496391,1,0
21.92,26,19.613939,0.91254109,1,0
21.92,27,21.575333,1.00000000,1,0
21.92,28,23.536727,1.00000000,1,0
21.92,29,25.498121,1.00000000,1,0
21.92,30,27.459515,0.53715021,1,0
21.92,31,29.420909,0.00000000,1,0
21.92,32,31.382303,0.00000000,1,0
