caso,politica,convencion_signo,dtheta_max_deg,dtheta_mediana_deg,dpoa_max_Wm2,dpoa_mediana_Wm2,n_filas_instante
A,astro,pos,0.000000,0.000000,22.181759,5.440062,30
A,global,pos,0.000000,0.000000,6.476189,5.440062,30
A,row,pos,0.000000,0.000000,6.476189,5.440062,30
A,pairwise,pos,0.000000,0.000000,6.476189,5.440062,30
A,true3d,pos,0.000000,0.000000,6.476189,5.440062,30
A,mgl,pos,0.000000,0.000000,6.476189,5.440062,30
A,optimal,pos,0.000000,0.000000,6.476189,5.440062,30
B,astro,pos,0.796251,0.000000,161.169833,24.834823,30
B,global,pos,0.837392,0.075327,161.169833,9.641486,30
B,row,pos,7.895349,0.522640,161.169833,7.757980,30
B,pairwise,pos,65.000000,0.748611,428.283221,197.138578,30
B,true3d,pos,57.000000,14.972285,373.772578,172.537191,30
B,mgl,pos,65.000000,0.748611,428.283221,197.138578,30
B,optimal,pos,16.826191,0.463180,161.169833,61.472875,30
