caso,politica,n,dtheta_max_CON,dtheta_max_SIN,dtheta_med_CON,dtheta_med_SIN,dpoa_max_CON,dpoa_max_SIN
A,astro,30,0.000000,0.000000,0.000000,0.000000,22.181758,22.181758
A,global,30,0.000000,0.000000,0.000000,0.000000,6.476188,6.476188
A,row,30,0.000000,0.000000,0.000000,0.000000,6.476188,6.476188
A,pairwise,30,0.000000,0.000000,0.000000,0.000000,6.476188,6.476188
A,true3d,30,0.000000,0.000000,0.000000,0.000000,6.476188,6.476188
A,mgl,30,0.000000,0.000000,0.000000,0.000000,6.476188,6.476188
A,optimal,30,0.000000,0.000000,0.000000,0.000000,6.476188,6.476188
B,astro,30,0.796251,0.796251,0.000000,0.000000,161.169833,161.169833
B,global,30,0.837392,0.837392,0.075327,0.075327,161.169833,161.169833
B,row,30,7.895349,7.895349,0.526203,0.526203,161.169833,161.169833
B,pairwise,30,65.000000,65.000000,0.752818,0.752818,428.283221,428.283221
B,true3d,30,57.000000,55.000000,16.799549,16.799549,373.772578,373.772578
B,mgl,30,65.000000,65.000000,0.752818,0.752818,428.283221,428.283221
B,optimal,30,16.826191,16.826191,0.465986,0.465986,161.169833,161.169833
