caso,hora,elev,azimut,torsion,politica,fila,theta_JS,theta_PY,dtheta_con_signo,dPOA,se_movio_fila,se_movio_politica
B,18:30,32.7454,273.5565,7.4367,pairwise,0,10.000000,-55.000000,65.000000,-428.283221,0,0
B,18:30,32.7454,273.5565,7.4367,pairwise,1,10.000000,-55.000000,65.000000,-428.283221,0,0
B,18:30,32.7454,273.5565,7.4367,pairwise,3,10.000000,-55.000000,65.000000,-428.283221,0,0
B,18:30,32.7454,273.5565,7.4367,pairwise,4,10.000000,-55.000000,65.000000,-428.283221,0,0
B,18:30,32.7454,273.5565,7.4367,mgl,0,10.000000,-55.000000,65.000000,-428.283221,0,0
B,18:30,32.7454,273.5565,7.4367,mgl,1,10.000000,-55.000000,65.000000,-428.283221,0,0
B,18:30,32.7454,273.5565,7.4367,mgl,3,10.000000,-55.000000,65.000000,-428.283221,0,0
B,18:30,32.7454,273.5565,7.4367,mgl,4,10.000000,-55.000000,65.000000,-428.283221,0,0
B,09:00,25.3226,80.2731,7.4367,pairwise,0,-2.000000,55.000000,-57.000000,-286.388691,0,1
B,09:00,25.3226,80.2731,7.4367,pairwise,1,-2.000000,55.000000,-57.000000,-286.388691,0,1
B,09:00,25.3226,80.2731,7.4367,pairwise,4,-2.000000,55.000000,-57.000000,-286.388691,0,1
B,09:00,25.3226,80.2731,7.4367,true3d,0,-2.000000,55.000000,-57.000000,-286.388691,1,1
B,09:00,25.3226,80.2731,7.4367,true3d,1,-2.000000,55.000000,-57.000000,-286.388691,1,1
B,09:00,25.3226,80.2731,7.4367,true3d,4,-2.000000,55.000000,-57.000000,-286.388691,1,1
B,09:00,25.3226,80.2731,7.4367,mgl,0,-2.000000,55.000000,-57.000000,-286.388691,0,1
B,09:00,25.3226,80.2731,7.4367,mgl,1,-2.000000,55.000000,-57.000000,-286.388691,0,1
B,09:00,25.3226,80.2731,7.4367,mgl,4,-2.000000,55.000000,-57.000000,-286.388691,0,1
B,18:30,32.7454,273.5565,7.4367,true3d,0,0.000000,-55.000000,55.000000,-373.772578,0,1
