
RAMA LINEA · evitables (AOI < 90°) → evitables dentro de rangoHaz
  solape     sol    evitables  en rango      %  mesas  mediana/p90/máx (mm) de los que siguen evitables en rango
  SOLAPA     <1°         2327       392   16.8    281  2384/2384/2384
  SOLAPA     1–3°        5333      1324   24.8    524  2384/2384/2384
  SOLAPA     3–6°         877       765   87.2    233  444/2384/2384
  SOLAPA     6–10°       1236      1236  100.0    165  465/1024/2384
  SOLAPA     ≥10°        3394      3394  100.0    254  161/680/1480
  NO SOLAPA  <1°          927        98   10.6     94  2384/2384/2384
  NO SOLAPA  1–3°        2025       267   13.2    186  2358/2384/2384
  NO SOLAPA  3–6°         379       352   92.9    142  475/1640/2384
  NO SOLAPA  6–10°        611       611  100.0    116  552/1085/2384
  NO SOLAPA  ≥10°        1586      1586  100.0    199  331/750/1389

RAMA MESA · evitables (AOI < 90°) → evitables dentro de rangoHaz
  solape     sol    evitables  en rango      %  mesas  mediana/p90/máx (mm) de los que siguen evitables en rango
  SOLAPA     <1°         1772       249   14.1    192  2384/2384/2384
  SOLAPA     1–3°        4204      1228   29.2    471  1940/2384/2384
  SOLAPA     3–6°        1318      1199   91.0    320  63/1481/2384
  SOLAPA     6–10°       1589      1589  100.0    257  34/94/2384
  SOLAPA     ≥10°        6699      6699  100.0    363  23/70/201
  NO SOLAPA  <1°          951       266   28.0    194  2384/2384/2384
  NO SOLAPA  1–3°        2020       734   36.3    343  2384/2384/2384
  NO SOLAPA  3–6°         537       503   93.7    158  158/854/2384
  NO SOLAPA  6–10°        704       704  100.0    148  63/281/902
  NO SOLAPA  ≥10°        2447      2447  100.0    229  34/140/609
