PELDAÑO · mayor tabla D^(w+1) del grafo MORAL · w = cota superior de la envolvente · D = θ de la rejilla de 0,1° en el rango del BT3D
d* = dominio por unidad para que la mayor tabla quepa en 10^8 celdas (presupuesto DECLARADO, no medido)

AYORA
  elevación  inst   w problema p50 [inf,sup]   w sup máx   D p50   log10 tabla p50 / máx    d* (p50 / peor)
  0.5-3°      14         [26, 28]              43     549         80.0 / 120.9       1.9 / 1.5
  3-5°         9         [11, 20]              29     571         58.1 / 82.9        2.4 / 1.8
  5-10°       25          [5, 13]              22     572         38.9 / 63.7        3.7 / 2.2
  10-15°      26           [4, 5]               9     575         16.7 / 27.8       21.5 / 6.3
  15-20°      28           [4, 5]               5     575         16.7 / 16.7       21.5 / 21.5
  20-30°      75           [1, 1]               5     484          5.5 / 16.7     10000.0 / 21.5
  30-45°      31           [0, 1]               1     568          5.6 / 5.6      10000.0 / 10000.0
  45-91°      80           [1, 1]               1     282          5.0 / 5.4      10000.0 / 10000.0

FAYON
  elevación  inst   w problema p50 [inf,sup]   w sup máx   D p50   log10 tabla p50 / máx    d* (p50 / peor)
  0.5-3°      13           [5, 8]              19     571         24.5 / 56.2        7.7 / 2.5
  3-5°        10           [7, 9]              18     571         27.4 / 53.5        6.3 / 2.6
  5-10°       26           [4, 6]              14     571         20.1 / 41.8       13.9 / 3.4
  10-15°      27           [2, 3]              14     571         11.5 / 42.0      100.0 / 3.4
  15-20°      32           [1, 2]              13     571          8.3 / 39.5      464.2 / 3.7
  20-30°      67           [0, 1]               7     403          5.3 / 22.8     10000.0 / 10.0
  30-45°      32           [0, 1]               3     583          5.6 / 11.5     10000.0 / 100.0
  45-91°      80           [0, 1]               1     317          5.1 / 5.6      10000.0 / 10000.0
