tracker;puntos;ext_x;ext_y;ids
TR-07_1-049;9;7.0;1575.7;914 915 943 944 945 946 983 985 14412
TR-07_1-117;44;0.5;1082.1;7164 7165 7166 7167 7168 7169 7170 7171 13921 13922 13923 13930 14215 14216 14217 14218 14219 14220 14221 14222 16674 16701 16702 16703 16704 16705 16706 16707 17214 17224 17225 17232 17233 17234 17247 17248 17249 17250 17263 17264 17265 17266 17273 18273
TR-08_1-090;10;6.3;609.3;11669 11671 11672 11673 11674 11675 11676 11678 12977 13001
TR-08_1-098;9;6.3;609.3;11797 11800 11801 11802 11803 11804 11806 12575 15824
TR-08_1-043;10;6.5;590.5;12499 15747 16872 16873 16874 16875 16876 16877 16878 16879
TR-08_1-091;9;6.3;533.6;11679 11680 11681 11682 11683 11684 11685 11688 13027
TR-07_1-064;12;6.6;532.6;1200 1201 1203 1204 1205 1206 1207 1208 11915 11916 11917 11918
TR-03_2-020;12;8.7;524.8;924 925 926 996 16541 16542 16558 16559 16562 16563 16565 16566
TR-08_1-070;13;6.3;477.3;11807 11808 11809 11810 11811 11812 11813 11814 11815 11816 11817 11818 15855
TR-08_1-053;9;6.3;455.6;12779 16720 16721 16722 16723 16724 16725 16726 16727
TR-08_1-048;10;6.2;438.3;12615 12617 16811 16813 16814 16815 16816 16817 16818 16819
TR-07_1-075;9;6.5;435.9;739 740 759 760 806 807 808 809 16568
TR-07_2-009;10;6.4;400.4;11805 12574 12576 12577 12578 12579 12580 12581 12582 16840
TR-07_2-010;9;6.4;400.4;12583 12584 12585 12586 12587 12588 12589 12591 16830
TR-08_1-050;8;6.4;386.0;12667 16780 16781 16782 16783 16784 16785 16787
TR-08_1-013;16;6.3;385.9;10930 10931 10932 10933 10938 10939 10940 10941 11555 11559 11560 11561 11562 11567 11568 11569
TR-07_2-013;8;6.3;385.4;12670 12672 12673 12674 12676 12677 12678 16775
TR-08_1-022;9;7.8;379.5;11734 16919 16921 16923 16924 16925 16926 16927 16928
TR-08_1-078;8;6.3;372.4;11875 11876 11878 11879 11880 11881 11882 12775
TR-08_1-044;9;6.4;355.4;12529 16864 16865 16866 16867 16868 16869 16870 16871
TR-08_1-069;12;7.6;340.8;11791 11792 11793 11794 11795 11796 11798 11799 16892 16893 16894 16895
TR-08_1-096;9;6.3;335.7;11765 11768 11769 11770 11771 11772 11773 11774 12511
TR-07_1-006;12;6.8;318.0;12799 12800 12801 12802 12803 12804 12806 12807 16708 16709 16710 16711
TR-07_1-041;20;6.3;309.8;13398 13399 13401 13402 13403 13404 13405 13406 18119 18120 18121 18122 18123 18124 18125 18126 18127 18128 18129 18283
TR-01_1-018;16;7.2;306.9;355 356 360 361 362 363 368 371 6016 6017 6018 6019 6020 6021 6022 6023
