planta;unidades;montaje;vano_declarado;separacion_medida_m;estado;veredicto;falta;detalle
ayora;754;SingleAxisTrackerMount;6;12,00;EVALUADA;APTA;;cobertura 100.0 %
bagnarelli;17;SingleAxisTrackerMount;;12,02;SIN LEVANTAMIENTO;;levantamiento as-built de apoyos (cota por extremo de fila);
benante;730;SingleAxisTrackerMount;;10,48;SIN LEVANTAMIENTO;;levantamiento as-built de apoyos (cota por extremo de fila);
dicayagua;5493;FixedMount;8.8;20,37;NO APLICA;;nada: montaje FixedMount, sin seguimiento no hay backtracking que corregir;tiene relieve propio (curvas de nivel), pero no le sirve a esto
elburgo;215;SingleAxisTrackerMount;6;12,00;SIN LEVANTAMIENTO;;levantamiento as-built de apoyos (cota por extremo de fila);
fayon;24;SingleAxisTrackerMount;6;12,00;SIN LEVANTAMIENTO;;levantamiento as-built de apoyos (cota por extremo de fila);
panbianco;1476;SingleAxisTrackerMount;;10,48;SIN LEVANTAMIENTO;;levantamiento as-built de apoyos (cota por extremo de fila);
paramo;396;SingleAxisTrackerMount;;7,00;SIN LEVANTAMIENTO;;levantamiento as-built de apoyos (cota por extremo de fila);
polvorin;119;SingleAxisTrackerMount;;9,00;SIN LEVANTAMIENTO;;levantamiento as-built de apoyos (cota por extremo de fila);
sanjose;2289;SingleAxisTrackerMount;6.198;12,40;EVALUADA;APTA;;cobertura 95.3 %
tunez;19;SingleAxisTrackerMount;;12,50;SIN LEVANTAMIENTO;;levantamiento as-built de apoyos (cota por extremo de fila);
