origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_030,TCU_SUNNER_ID_031,,,,,12.0,0,filas,TK 030-07,TK 031-07,30,31,39.114519,-1.171811,39.114517,-1.171673,65.5,65.5
TCU_SUNNER_ID_048,TCU_SUNNER_ID_050,,,,,12.0,2,filas,TK 048-07,TK 050-07,48,50,39.114578,-1.169589,39.114575,-1.16945,65.5,43.0
TCU_SUNNER_ID_040,TCU_SUNNER_ID_041,,,,,21.9,2,filas,TK 040-07,TK 041-07,40,41,39.114497,-1.170424,39.11466,-1.170281,64.7,42.0
TCU_SUNNER_ID_054,TCU_SUNNER_ID_058,,,,,24.0,5,filas,TK 054-07,TK 058-07,54,58,39.114571,-1.169173,39.114567,-1.168895,63.8,34.8
TCU_SUNNER_ID_042,TCU_SUNNER_ID_044,,,,,28.3,2,diagonal,TK 042-07,TK 044-07,42,44,39.114235,-1.170292,39.114002,-1.170159,62.0,40.5
TCU_SUNNER_ID_002,TCU_SUNNER_ID_005,,,,,29.8,1,diagonal,TK 002-07,TK 005-07,2,5,39.115939,-1.170664,39.115691,-1.170532,59.7,57.7
TCU_SUNNER_ID_042,TCU_SUNNER_ID_046,,,,,35.1,6,diagonal,TK 042-07,TK 046-07,42,46,39.114235,-1.170292,39.114,-1.17002,46.9,28.3
TCU_SUNNER_ID_034,TCU_SUNNER_ID_037,,,,,36.0,5,filas,TK 034-07,TK 037-07,34,37,39.114593,-1.171254,39.114586,-1.170838,58.9,31.0
TCU_SUNNER_ID_002,TCU_SUNNER_ID_007,,,,,36.3,4,diagonal,TK 002-07,TK 007-07,2,7,39.115939,-1.170664,39.115689,-1.170393,51.1,23.6
TCU_SUNNER_ID_039,TCU_SUNNER_ID_042,,,,,37.6,5,diagonal,TK 039-07,TK 042-07,39,42,39.114499,-1.170563,39.114235,-1.170292,47.1,18.4
