node_id,lat,lon,etiqueta,ncu,gw
TCU_SUNNER_ID_001,39.122373,-1.148505,TK 001-01,1,1
TCU_SUNNER_ID_002,39.121698,-1.148523,TK 002-01,1,1
TCU_SUNNER_ID_003,39.121023,-1.14854,TK 003-01,1,1
TCU_SUNNER_ID_004,39.12237,-1.148366,TK 004-01,1,1
TCU_SUNNER_ID_005,39.121696,-1.148384,TK 005-01,1,1
TCU_SUNNER_ID_006,39.121021,-1.148402,TK 006-01,1,1
TCU_SUNNER_ID_007,39.122203,-1.148232,TK 007-01,1,1
TCU_SUNNER_ID_008,39.121528,-1.14825,TK 008-01,1,1
TCU_SUNNER_ID_009,39.120852,-1.148267,TK 009-01,1,1
TCU_SUNNER_ID_010,39.1222,-1.148093,TK 010-01,1,1
TCU_SUNNER_ID_011,39.121526,-1.148111,TK 011-01,1,1
TCU_SUNNER_ID_012,39.12085,-1.148129,TK 012-01,1,1
TCU_SUNNER_ID_013,39.122198,-1.147954,TK 013-01,1,1
TCU_SUNNER_ID_014,39.121524,-1.147972,TK 014-01,1,1
TCU_SUNNER_ID_015,39.120848,-1.14799,TK 015-01,1,1
TCU_SUNNER_ID_016,39.122196,-1.147816,TK 016-01,1,1
TCU_SUNNER_ID_017,39.121521,-1.147833,TK 017-01,1,1
TCU_SUNNER_ID_018,39.120846,-1.147851,TK 018-01,1,1
TCU_SUNNER_ID_019,39.122193,-1.147677,TK 019-01,1,1
TCU_SUNNER_ID_020,39.121518,-1.147695,TK 020-01,1,1
TCU_SUNNER_ID_021,39.120844,-1.147712,TK 021-01,1,1
TCU_SUNNER_ID_022,39.122191,-1.147538,TK 022-01,1,1
TCU_SUNNER_ID_023,39.121517,-1.147556,TK 023-01,1,1
TCU_SUNNER_ID_024,39.120841,-1.147574,TK 024-01,1,1
TCU_SUNNER_ID_025,39.122189,-1.147399,TK 025-01,1,1
TCU_SUNNER_ID_026,39.121515,-1.147417,TK 026-01,1,1
TCU_SUNNER_ID_027,39.120839,-1.147435,TK 027-01,1,1
TCU_SUNNER_ID_028,39.122369,-1.147256,TK 028-01,1,1
TCU_SUNNER_ID_029,39.121777,-1.147271,TK 029-01,1,1
TCU_SUNNER_ID_030,39.120606,-1.147302,TK 030-01,1,1
TCU_SUNNER_ID_031,39.122367,-1.147117,TK 031-01,1,1
TCU_SUNNER_ID_032,39.121775,-1.147133,TK 032-01,1,1
TCU_SUNNER_ID_033,39.120603,-1.147163,TK 033-01,1,1
TCU_SUNNER_ID_034,39.122365,-1.146978,TK 034-01,1,1
TCU_SUNNER_ID_035,39.121773,-1.146994,TK 035-01,1,1
TCU_SUNNER_ID_036,39.122362,-1.14684,TK 036-01,1,1
TCU_SUNNER_ID_037,39.121771,-1.146855,TK 037-01,1,1
TCU_SUNNER_ID_038,39.122013,-1.14671,TK 038-01,1,1
TCU_SUNNER_ID_039,39.121337,-1.146728,TK 039-01,1,1
TCU_SUNNER_ID_040,39.12201,-1.146571,TK 040-01,1,1
TCU_SUNNER_ID_041,39.121335,-1.146589,TK 041-01,1,1
TCU_SUNNER_ID_042,39.12201,-1.146433,TK 042-01,1,1
TCU_SUNNER_ID_043,39.121334,-1.14645,TK 043-01,1,1
TCU_SUNNER_ID_044,39.120658,-1.146468,TK 044-01,1,1
TCU_SUNNER_ID_045,39.122006,-1.146294,TK 045-01,1,1
TCU_SUNNER_ID_046,39.12133,-1.146312,TK 046-01,1,1
TCU_SUNNER_ID_047,39.120656,-1.146329,TK 047-01,1,1
TCU_SUNNER_ID_048,39.122003,-1.146155,TK 048-01,1,1
TCU_SUNNER_ID_049,39.121328,-1.146173,TK 049-01,1,1
TCU_SUNNER_ID_050,39.120654,-1.14619,TK 050-01,1,1
TCU_SUNNER_ID_051,39.122001,-1.146016,TK 051-01,1,1
TCU_SUNNER_ID_052,39.121326,-1.146034,TK 052-01,1,1
TCU_SUNNER_ID_053,39.120651,-1.146052,TK 053-01,1,1
TCU_SUNNER_ID_054,39.121998,-1.145878,TK 054-01,1,1
TCU_SUNNER_ID_055,39.121324,-1.145895,TK 055-01,1,1
TCU_SUNNER_ID_056,39.120649,-1.145913,TK 056-01,1,1
TCU_SUNNER_ID_057,39.12183,-1.145743,TK 057-01,1,1
TCU_SUNNER_ID_058,39.121155,-1.145761,TK 058-01,1,1
TCU_SUNNER_ID_059,39.120563,-1.145776,TK 059-01,1,1
TCU_SUNNER_ID_060,39.121828,-1.145604,TK 060-01,1,1
TCU_SUNNER_ID_061,39.121153,-1.145622,TK 061-01,1,1
TCU_SUNNER_ID_062,39.120561,-1.145638,TK 062-01,1,1
TCU_SUNNER_ID_063,39.120863,-1.145491,TK 063-01,1,1
TCU_SUNNER_ID_001,39.121958,-1.152264,TK 001-02,2,1
TCU_SUNNER_ID_002,39.121284,-1.152281,TK 002-02,2,1
TCU_SUNNER_ID_003,39.121956,-1.152125,TK 003-02,2,1
TCU_SUNNER_ID_004,39.121282,-1.152143,TK 004-02,2,1
TCU_SUNNER_ID_005,39.121954,-1.151986,TK 005-02,2,1
TCU_SUNNER_ID_006,39.121279,-1.152004,TK 006-02,2,1
TCU_SUNNER_ID_007,39.121952,-1.151847,TK 007-02,2,1
TCU_SUNNER_ID_008,39.121277,-1.151865,TK 008-02,2,1
TCU_SUNNER_ID_009,39.12195,-1.151709,TK 009-02,2,1
TCU_SUNNER_ID_010,39.121275,-1.151726,TK 010-02,2,1
TCU_SUNNER_ID_011,39.121947,-1.15157,TK 011-02,2,1
TCU_SUNNER_ID_012,39.121273,-1.151588,TK 012-02,2,1
TCU_SUNNER_ID_013,39.121599,-1.15144,TK 013-02,2,1
TCU_SUNNER_ID_014,39.12109,-1.151454,TK 014-02,2,1
TCU_SUNNER_ID_015,39.121599,-1.151301,TK 015-02,2,1
TCU_SUNNER_ID_016,39.121089,-1.151315,TK 016-02,2,1
TCU_SUNNER_ID_017,39.121399,-1.151168,TK 017-02,2,1
TCU_SUNNER_ID_018,39.12089,-1.151181,TK 018-02,2,1
TCU_SUNNER_ID_019,39.120805,-1.151045,TK 019-02,2,1
TCU_SUNNER_ID_020,39.120802,-1.150906,TK 020-02,2,1
TCU_SUNNER_ID_021,39.1208,-1.150767,TK 021-02,2,1
TCU_SUNNER_ID_022,39.120798,-1.150628,TK 022-02,2,1
TCU_SUNNER_ID_023,39.122265,-1.151006,TK 023-02,2,1
