node_id,lat,lon,etiqueta,rol,ncu,gw
TCU_SUNNER_ID_001,39.121615,-1.157131,TK 001-03,TCU,3,1
TCU_SUNNER_ID_002,39.121695,-1.15699,TK 002-03,TCU,3,1
TCU_SUNNER_ID_003,39.121776,-1.156849,TK 003-03,TCU,3,1
TCU_SUNNER_ID_004,39.122283,-1.156697,TK 004-03,TCU,3,1
TCU_SUNNER_ID_005,39.121774,-1.15671,TK 005-03,TCU,3,1
TCU_SUNNER_ID_006,39.12228,-1.156558,TK 006-03,TCU,3,1
TCU_SUNNER_ID_007,39.121689,-1.156574,TK 007-03,TCU,3,1
TCU_SUNNER_ID_008,39.122444,-1.156415,TK 008-03,TCU,3,1
TCU_SUNNER_ID_009,39.121769,-1.156433,TK 009-03,TCU,3,1
TCU_SUNNER_ID_010,39.122865,-1.156265,TK 010-03,TCU,3,1
TCU_SUNNER_ID_011,39.122355,-1.156279,TK 011-03,TCU,3,1
TCU_SUNNER_ID_012,39.121679,-1.156296,TK 012-03,TCU,3,1
TCU_SUNNER_ID_013,39.12286,-1.156127,TK 013-03,TCU,3,1
TCU_SUNNER_ID_014,39.122352,-1.15614,TK 014-03,TCU,3,1
TCU_SUNNER_ID_015,39.121677,-1.156158,TK 015-03,TCU,3,1
TCU_SUNNER_ID_016,39.122858,-1.155988,TK 016-03,TCU,3,1
TCU_SUNNER_ID_017,39.12235,-1.156001,TK 017-03,TCU,3,1
TCU_SUNNER_ID_018,39.121675,-1.156019,TK 018-03,TCU,3,1
TCU_SUNNER_ID_019,39.122348,-1.155862,TK 019-03,TCU,3,1
TCU_SUNNER_ID_020,39.121672,-1.15588,TK 020-03,TCU,3,1
TCU_SUNNER_ID_021,39.122346,-1.155724,TK 021-03,TCU,3,1
TCU_SUNNER_ID_022,39.12167,-1.155741,TK 022-03,TCU,3,1
TCU_SUNNER_ID_023,39.122343,-1.155585,TK 023-03,TCU,3,1
TCU_SUNNER_ID_024,39.121668,-1.155603,TK 024-03,TCU,3,1
TCU_SUNNER_ID_025,39.122341,-1.155446,TK 025-03,TCU,3,1
TCU_SUNNER_ID_026,39.121666,-1.155464,TK 026-03,TCU,3,1
TCU_SUNNER_ID_027,39.122339,-1.155307,TK 027-03,TCU,3,1
TCU_SUNNER_ID_028,39.121664,-1.155325,TK 028-03,TCU,3,1
TCU_SUNNER_ID_029,39.122337,-1.155169,TK 029-03,TCU,3,1
TCU_SUNNER_ID_030,39.121661,-1.155186,TK 030-03,TCU,3,1
TCU_SUNNER_ID_031,39.122335,-1.15503,TK 031-03,TCU,3,1
TCU_SUNNER_ID_032,39.121659,-1.155048,TK 032-03,TCU,3,1
TCU_SUNNER_ID_033,39.122332,-1.154891,TK 033-03,TCU,3,1
TCU_SUNNER_ID_034,39.121657,-1.154909,TK 034-03,TCU,3,1
TCU_SUNNER_ID_035,39.122164,-1.154757,TK 035-03,TCU,3,1
TCU_SUNNER_ID_036,39.121572,-1.154772,TK 036-03,TCU,3,1
TCU_SUNNER_ID_037,39.122161,-1.154618,TK 037-03,TCU,3,1
TCU_SUNNER_ID_038,39.12157,-1.154634,TK 038-03,TCU,3,1
TCU_SUNNER_ID_039,39.122159,-1.154479,TK 039-03,TCU,3,1
TCU_SUNNER_ID_040,39.121568,-1.154495,TK 040-03,TCU,3,1
TCU_SUNNER_ID_041,39.122157,-1.154341,TK 041-03,TCU,3,1
TCU_SUNNER_ID_042,39.121648,-1.154354,TK 042-03,TCU,3,1
TCU_SUNNER_ID_043,39.122035,-1.154205,TK 043-03,TCU,3,1
TCU_SUNNER_ID_044,39.122033,-1.154066,TK 044-03,TCU,3,1
TCU_SUNNER_ID_045,39.122031,-1.153927,TK 045-03,TCU,3,1
TCU_SUNNER_ID_046,39.122028,-1.153789,TK 046-03,TCU,3,1
TCU_SUNNER_ID_047,39.122025,-1.15365,TK 047-03,TCU,3,1
TCU_SUNNER_ID_048,39.121351,-1.153668,TK 048-03,TCU,3,1
TCU_SUNNER_ID_049,39.122023,-1.153511,TK 049-03,TCU,3,1
TCU_SUNNER_ID_050,39.121349,-1.153529,TK 050-03,TCU,3,1
TCU_SUNNER_ID_051,39.122021,-1.153372,TK 051-03,TCU,3,1
TCU_SUNNER_ID_052,39.121346,-1.15339,TK 052-03,TCU,3,1
TCU_SUNNER_ID_053,39.122019,-1.153234,TK 053-03,TCU,3,1
TCU_SUNNER_ID_054,39.121344,-1.153251,TK 054-03,TCU,3,1
TCU_SUNNER_ID_055,39.122017,-1.153095,TK 055-03,TCU,3,1
TCU_SUNNER_ID_056,39.121342,-1.153113,TK 056-03,TCU,3,1
TCU_SUNNER_ID_057,39.122014,-1.152956,TK 057-03,TCU,3,1
TCU_SUNNER_ID_058,39.12134,-1.152974,TK 058-03,TCU,3,1
TCU_SUNNER_ID_059,39.121967,-1.152819,TK 059-03,TCU,3,1
TCU_SUNNER_ID_060,39.121293,-1.152836,TK 060-03,TCU,3,1
TCU_SUNNER_ID_061,39.121965,-1.15268,TK 061-03,TCU,3,1
TCU_SUNNER_ID_062,39.12129,-1.152698,TK 062-03,TCU,3,1
TCU_SUNNER_ID_063,39.121963,-1.152541,TK 063-03,TCU,3,1
TCU_SUNNER_ID_064,39.121288,-1.152559,TK 064-03,TCU,3,1
TCU_SUNNER_ID_065,39.121961,-1.152402,TK 065-03,TCU,3,1
TCU_SUNNER_ID_066,39.121286,-1.15242,TK 066-03,TCU,3,1
