node_id,lat,lon,etiqueta,rol,enlace,ncu,gw
TCU_SUNNER_ID_001,39.118876,-1.155985,TK 027-05,TCU,radio,7,1
TCU_SUNNER_ID_002,39.118956,-1.155844,TK 028-05,TCU,radio,7,1
TCU_SUNNER_ID_003,39.119037,-1.155704,TK 029-05,TCU,radio,7,1
TCU_SUNNER_ID_004,39.119035,-1.155565,TK 030-05,TCU,radio,7,1
TCU_SUNNER_ID_005,39.119032,-1.155426,TK 031-05,TCU,radio,7,1
TCU_SUNNER_ID_006,39.119551,-1.155274,TK 032-05,TCU,radio,7,1
TCU_SUNNER_ID_007,39.118959,-1.155289,TK 033-05,TCU,radio,7,1
TCU_SUNNER_ID_008,39.119549,-1.155135,TK 034-05,TCU,radio,7,1
TCU_SUNNER_ID_009,39.118957,-1.15515,TK 035-05,TCU,radio,7,1
TCU_SUNNER_ID_010,39.119629,-1.154994,TK 036-05,TCU,radio,7,1
TCU_SUNNER_ID_011,39.118955,-1.155012,TK 037-05,TCU,radio,7,1
TCU_SUNNER_ID_012,39.119816,-1.15485,TK 038-05,TCU,radio,7,1
TCU_SUNNER_ID_013,39.119391,-1.154862,TK 039-05,TCU,radio,7,1
TCU_SUNNER_ID_014,39.118842,-1.154876,TK 040-05,TCU,radio,7,1
TCU_SUNNER_ID_015,39.119814,-1.154712,TK 041-05,TCU,radio,7,1
TCU_SUNNER_ID_016,39.119389,-1.154723,TK 042-05,TCU,radio,7,1
TCU_SUNNER_ID_017,39.119812,-1.154573,TK 043-05,TCU,radio,7,1
TCU_SUNNER_ID_018,39.119387,-1.154584,TK 044-05,TCU,radio,7,1
TCU_SUNNER_ID_019,39.11981,-1.154434,TK 045-05,TCU,radio,7,1
TCU_SUNNER_ID_020,39.119218,-1.15445,TK 046-05,TCU,radio,7,1
TCU_SUNNER_ID_021,39.119807,-1.154295,TK 047-05,TCU,radio,7,1
TCU_SUNNER_ID_022,39.119216,-1.154311,TK 048-05,TCU,radio,7,1
TCU_SUNNER_ID_023,39.119805,-1.154157,TK 049-05,TCU,radio,7,1
TCU_SUNNER_ID_024,39.119213,-1.154172,TK 050-05,TCU,radio,7,1
TCU_SUNNER_ID_025,39.119213,-1.154033,TK 051-05,TCU,radio,7,1
