node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,39.120001,-1.168381,TK 001-06,TCU,radio,8,1,1
TCU_SUNNER_ID_002,39.119999,-1.168242,TK 002-06,TCU,radio,8,1,2
TCU_SUNNER_ID_003,39.120393,-1.168093,TK 003-06,TCU,radio,8,1,3
TCU_SUNNER_ID_004,39.119717,-1.168111,TK 004-06,TCU,radio,8,1,4
TCU_SUNNER_ID_005,39.121065,-1.167937,TK 005-06,TCU,radio,8,1,5
TCU_SUNNER_ID_006,39.120391,-1.167955,TK 006-06,TCU,radio,8,1,6
TCU_SUNNER_ID_007,39.119715,-1.167972,TK 007-06,TCU,radio,8,1,7
TCU_SUNNER_ID_008,39.121063,-1.167798,TK 008-06,TCU,radio,8,1,8
TCU_SUNNER_ID_009,39.120388,-1.167816,TK 009-06,TCU,radio,8,1,9
TCU_SUNNER_ID_010,39.119713,-1.167833,TK 010-06,TCU,radio,8,1,10
TCU_SUNNER_ID_011,39.121062,-1.16766,TK 011-06,TCU,radio,8,1,11
TCU_SUNNER_ID_012,39.119711,-1.167695,TK 012-06,TCU,radio,8,1,12
TCU_SUNNER_ID_013,39.121059,-1.167521,TK 013-06,TCU,radio,8,1,13
TCU_SUNNER_ID_014,39.119708,-1.167556,TK 014-06,TCU,radio,8,1,14
TCU_SUNNER_ID_015,39.121057,-1.167382,TK 015-06,TCU,radio,8,1,15
TCU_SUNNER_ID_016,39.121133,-1.167241,TK 016-06,TCU,radio,8,1,16
TCU_SUNNER_ID_017,39.120459,-1.167259,TK 017-06,TCU,radio,8,1,17
TCU_SUNNER_ID_018,39.121131,-1.167103,TK 018-06,TCU,radio,8,1,18
TCU_SUNNER_ID_019,39.120457,-1.16712,TK 019-06,TCU,radio,8,1,19
TCU_SUNNER_ID_020,39.121129,-1.166964,TK 020-06,TCU,radio,8,1,20
TCU_SUNNER_ID_021,39.120455,-1.166981,TK 021-06,TCU,radio,8,1,21
TCU_SUNNER_ID_022,39.120452,-1.166843,TK 022-06,TCU,radio,8,1,22
TCU_SUNNER_ID_023,39.118377,-1.168631,TK 023-06,TCU,radio,8,1,23
TCU_SUNNER_ID_024,39.118887,-1.168479,TK 024-06,TCU,radio,8,1,24
TCU_SUNNER_ID_025,39.118212,-1.168497,TK 025-06,TCU,radio,8,1,25
TCU_SUNNER_ID_026,39.118885,-1.168341,TK 026-06,TCU,radio,8,1,26
TCU_SUNNER_ID_027,39.11821,-1.168358,TK 027-06,TCU,radio,8,1,27
TCU_SUNNER_ID_028,39.118883,-1.168202,TK 028-06,TCU,radio,8,1,28
TCU_SUNNER_ID_029,39.118208,-1.168219,TK 029-06,TCU,radio,8,1,29
TCU_SUNNER_ID_030,39.11888,-1.168063,TK 030-06,TCU,radio,8,1,30
TCU_SUNNER_ID_031,39.118206,-1.168081,TK 031-06,TCU,radio,8,1,31
TCU_SUNNER_ID_032,39.118877,-1.167855,TK 032-06,TCU,radio,8,1,32
TCU_SUNNER_ID_033,39.118202,-1.167872,TK 033-06,TCU,radio,8,1,33
TCU_SUNNER_ID_034,39.118875,-1.167716,TK 034-06,TCU,radio,8,1,34
TCU_SUNNER_ID_035,39.1182,-1.167734,TK 035-06,TCU,radio,8,1,35
TCU_SUNNER_ID_036,39.118873,-1.167578,TK 036-06,TCU,radio,8,1,36
TCU_SUNNER_ID_037,39.118198,-1.167595,TK 037-06,TCU,radio,8,1,37
TCU_SUNNER_ID_038,39.118871,-1.167439,TK 038-06,TCU,radio,8,1,38
TCU_SUNNER_ID_039,39.118196,-1.167456,TK 039-06,TCU,radio,8,1,39
TCU_SUNNER_ID_040,39.118868,-1.1673,TK 040-06,TCU,radio,8,1,40
TCU_SUNNER_ID_041,39.118194,-1.167318,TK 041-06,TCU,radio,8,1,41
TCU_SUNNER_ID_042,39.118866,-1.167161,TK 042-06,TCU,radio,8,1,42
TCU_SUNNER_ID_043,39.118192,-1.167179,TK 043-06,TCU,radio,8,1,43
TCU_SUNNER_ID_044,39.118189,-1.16704,TK 044-06,TCU,radio,8,1,44
HSU_04,39.119336,-1.166715,HSU 4 (US),HSU,radio,8,1,230
