node_id,lat,lon,etiqueta,ncu,gw
TCU_SUNNER_ID_001,39.107384,-1.173245,TK 025-09,13,1
TCU_SUNNER_ID_002,39.107298,-1.173108,TK 026-09,13,1
TCU_SUNNER_ID_003,39.107296,-1.172969,TK 027-09,13,1
TCU_SUNNER_ID_004,39.107211,-1.172833,TK 028-09,13,1
TCU_SUNNER_ID_005,39.107292,-1.172692,TK 029-09,13,1
TCU_SUNNER_ID_006,39.106867,-1.172703,TK 030-09,13,1
TCU_SUNNER_ID_007,39.107207,-1.172555,TK 031-09,13,1
TCU_SUNNER_ID_008,39.106698,-1.172568,TK 032-09,13,1
TCU_SUNNER_ID_009,39.107288,-1.172414,TK 033-09,13,1
TCU_SUNNER_ID_010,39.106696,-1.17243,TK 034-09,13,1
TCU_SUNNER_ID_011,39.107203,-1.172278,TK 035-09,13,1
TCU_SUNNER_ID_012,39.106528,-1.172295,TK 036-09,13,1
TCU_SUNNER_ID_013,39.1072,-1.172139,TK 037-09,13,1
TCU_SUNNER_ID_014,39.106526,-1.172157,TK 038-09,13,1
TCU_SUNNER_ID_015,39.107631,-1.171989,TK 039-09,13,1
TCU_SUNNER_ID_016,39.107039,-1.172005,TK 040-09,13,1
TCU_SUNNER_ID_017,39.106364,-1.172022,TK 041-09,13,1
TCU_SUNNER_ID_018,39.107545,-1.171853,TK 042-09,13,1
TCU_SUNNER_ID_019,39.106871,-1.17187,TK 043-09,13,1
TCU_SUNNER_ID_020,39.106195,-1.171888,TK 044-09,13,1
TCU_SUNNER_ID_021,39.107626,-1.171712,TK 045-09,13,1
TCU_SUNNER_ID_022,39.107034,-1.171727,TK 046-09,13,1
TCU_SUNNER_ID_023,39.10636,-1.171745,TK 047-09,13,1
TCU_SUNNER_ID_024,39.105851,-1.171758,TK 048-09,13,1
TCU_SUNNER_ID_025,39.107624,-1.171573,TK 049-09,13,1
TCU_SUNNER_ID_026,39.107032,-1.171588,TK 050-09,13,1
TCU_SUNNER_ID_027,39.106358,-1.171606,TK 051-09,13,1
TCU_SUNNER_ID_028,39.105849,-1.171619,TK 052-09,13,1
TCU_SUNNER_ID_029,39.107539,-1.171437,TK 053-09,13,1
TCU_SUNNER_ID_030,39.106864,-1.171454,TK 054-09,13,1
TCU_SUNNER_ID_031,39.106189,-1.171471,TK 055-09,13,1
TCU_SUNNER_ID_032,39.10785,-1.17129,TK 056-09,13,1
TCU_SUNNER_ID_033,39.107258,-1.171305,TK 057-09,13,1
TCU_SUNNER_ID_034,39.106584,-1.171322,TK 058-09,13,1
TCU_SUNNER_ID_035,39.106075,-1.171336,TK 059-09,13,1
TCU_SUNNER_ID_036,39.107765,-1.171153,TK 060-09,13,1
TCU_SUNNER_ID_037,39.107091,-1.171171,TK 061-09,13,1
TCU_SUNNER_ID_038,39.106415,-1.171188,TK 062-09,13,1
TCU_SUNNER_ID_039,39.107846,-1.171012,TK 063-09,13,1
TCU_SUNNER_ID_040,39.107254,-1.171028,TK 064-09,13,1
TCU_SUNNER_ID_041,39.10658,-1.171045,TK 065-09,13,1
TCU_SUNNER_ID_042,39.107844,-1.170874,TK 066-09,13,1
TCU_SUNNER_ID_043,39.107252,-1.170889,TK 067-09,13,1
TCU_SUNNER_ID_044,39.106577,-1.170906,TK 068-09,13,1
TCU_SUNNER_ID_045,39.107957,-1.170732,TK 069-09,13,1
TCU_SUNNER_ID_046,39.107365,-1.170747,TK 070-09,13,1
TCU_SUNNER_ID_047,39.10669,-1.170765,TK 071-09,13,1
TCU_SUNNER_ID_048,39.107871,-1.170595,TK 072-09,13,1
TCU_SUNNER_ID_049,39.107196,-1.170613,TK 073-09,13,1
TCU_SUNNER_ID_050,39.106687,-1.170626,TK 074-09,13,1
TCU_SUNNER_ID_051,39.107952,-1.170454,TK 075-09,13,1
TCU_SUNNER_ID_052,39.107361,-1.17047,TK 076-09,13,1
TCU_SUNNER_ID_053,39.106852,-1.170483,TK 077-09,13,1
TCU_SUNNER_ID_054,39.10795,-1.170316,TK 078-09,13,1
TCU_SUNNER_ID_055,39.107359,-1.170331,TK 079-09,13,1
TCU_SUNNER_ID_056,39.10685,-1.170344,TK 080-09,13,1
TCU_SUNNER_ID_057,39.107864,-1.170179,TK 081-09,13,1
TCU_SUNNER_ID_058,39.10719,-1.170197,TK 082-09,13,1
TCU_SUNNER_ID_059,39.10785,-1.170041,TK 083-09,13,1
TCU_SUNNER_ID_060,39.107259,-1.170056,TK 084-09,13,1
TCU_SUNNER_ID_061,39.107765,-1.169904,TK 085-09,13,1
TCU_SUNNER_ID_062,39.107257,-1.169917,TK 086-09,13,1
TCU_SUNNER_ID_063,39.107763,-1.169765,TK 087-09,13,1
TCU_SUNNER_ID_064,39.107254,-1.169779,TK 088-09,13,1
TCU_SUNNER_ID_065,39.107844,-1.169625,TK 089-09,13,1
TCU_SUNNER_ID_066,39.107418,-1.169636,TK 090-09,13,1
TCU_SUNNER_ID_067,39.107759,-1.169488,TK 091-09,13,1
TCU_SUNNER_ID_068,39.10784,-1.169347,TK 092-09,13,1
TCU_SUNNER_ID_069,39.10792,-1.169206,TK 093-09,13,1
TCU_SUNNER_ID_070,39.107918,-1.169068,TK 094-09,13,1
TCU_SUNNER_ID_071,39.107916,-1.168929,TK 095-09,13,1
TCU_SUNNER_ID_072,39.107914,-1.16879,TK 096-09,13,1
