tipo,nombre,lat,lon
NCU,NCU 1,39.120594,-1.146895
NCU,NCU 2,39.120788,-1.150354
NCU,NCU 3,39.121189,-1.154401
NCU,NCU 4.1,39.118562,-1.153264
NCU,NCU 4.2,39.118163,-1.154458
NCU,NCU 5.1,39.119648,-1.155963
NCU,NCU 5.2,39.119544,-1.15541
NCU,NCU 6.1,39.119252,-1.167741
NCU,NCU 6.2,39.117871,-1.16875
NCU,NCU 7.1,39.11308,-1.16978
NCU,NCU 7.2,39.11478,-1.169481
NCU,NCU 8,39.11061,-1.169691
NCU,NCU 9.1,39.107918,-1.1716
NCU,NCU 9.2,39.109258,-1.17337
NCU,NCU 10,39.123863,-1.169992
NCU,NCU 11,39.129091,-1.169263
