origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_004,TCU_SUNNER_ID_007,,,,,12.0,1,filas,TK004,TK007,4,7,41.515614,15.267402,41.515613,15.267546,65.5,51.6
TCU_SUNNER_ID_008,TCU_SUNNER_ID_011,,,,,12.0,2,filas,TK008,TK011,8,11,41.515146,15.267271,41.515145,15.267415,65.5,44.1
TCU_SUNNER_ID_013,TCU_SUNNER_ID_016,,,,,12.0,1,filas,TK013,TK016,13,16,41.515613,15.267834,41.515612,15.267978,65.5,54.5
TCU_SUNNER_ID_005,TCU_SUNNER_ID_008,,,,,12.0,0,filas,TK005,TK008,5,8,41.515146,15.267127,41.515146,15.267271,65.5,65.5
TCU_SUNNER_ID_001,TCU_SUNNER_ID_004,,,,,20.8,0,eje,TK001,TK004,1,4,41.5158,15.267367,41.515614,15.267402,65.1,65.1
TCU_SUNNER_ID_002,TCU_SUNNER_ID_005,,,,,20.9,0,eje,TK002,TK005,2,5,41.515332,15.267092,41.515146,15.267127,65.1,65.1
TCU_SUNNER_ID_004,TCU_SUNNER_ID_010,,,,,24.0,4,filas,TK004,TK010,4,10,41.515614,15.267402,41.515613,15.26769,63.8,35.3
TCU_SUNNER_ID_011,TCU_SUNNER_ID_017,,,,,24.0,4,filas,TK011,TK017,11,17,41.515145,15.267415,41.515145,15.267703,63.8,36.1
TCU_SUNNER_ID_003,TCU_SUNNER_ID_009,,,,,24.0,4,filas,TK003,TK009,3,9,41.515963,15.267607,41.515962,15.267895,63.8,38.8
TCU_SUNNER_ID_001,TCU_SUNNER_ID_003,,,,,27.0,4,filas,TK001,TK003,1,3,41.5158,15.267367,41.515963,15.267607,62.6,36.4
TCU_SUNNER_ID_001,TCU_SUNNER_ID_010,,,,,34.0,5,filas,TK001,TK010,1,10,41.5158,15.267367,41.515613,15.26769,59.7,34.4
TCU_SUNNER_ID_006,TCU_SUNNER_ID_010,,,,,39.1,1,eje,TK006,TK010,6,10,41.515962,15.267751,41.515613,15.26769,57.8,48.5
