origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_080,TCU_SUNNER_ID_205,,,,,10.5,2,filas,TK0208,TK0705,80,205,37.376941,14.907591,37.376941,14.907472,65.1,44.9
TCU_SUNNER_ID_080,TCU_SUNNER_ID_081,,,,,10.5,1,filas,TK0208,TK0209,80,81,37.376941,14.907591,37.376941,14.907709,65.1,53.8
TCU_SUNNER_ID_101,TCU_SUNNER_ID_103,,,,,21.0,6,filas,TK0490,TK0492,101,103,37.375745,14.902765,37.375746,14.903001,65.1,36.9
TCU_SUNNER_ID_157,TCU_SUNNER_ID_158,,,,,28.8,2,diagonal,TK0546,TK0547,157,158,37.376239,14.902172,37.375997,14.902291,61.8,44.6
TCU_SUNNER_ID_165,TCU_SUNNER_ID_169,,,,,29.1,3,diagonal,TK0554,TK0558,165,169,37.377058,14.902408,37.377303,14.902289,61.7,35.4
TCU_SUNNER_ID_071,TCU_SUNNER_ID_074,,,,,31.4,8,filas,TK0199,TK0202,71,74,37.37694,14.906407,37.37694,14.906762,60.7,33.8
TCU_SUNNER_ID_154,TCU_SUNNER_ID_161,,,,,33.4,6,diagonal,TK0543,TK0550,154,161,37.375753,14.90241,37.375988,14.902646,59.9,30.9
TCU_SUNNER_ID_024,TCU_SUNNER_ID_082,,,,,35.6,3,diagonal,TK0036,TK0210,24,82,37.376681,14.908064,37.376941,14.907827,59.1,35.2
TCU_SUNNER_ID_178,TCU_SUNNER_ID_195,,,,,41.3,6,diagonal,TK0567,TK0664,178,195,37.377103,14.901698,37.377424,14.90146,57.0,31.1
TCU_SUNNER_ID_004,TCU_SUNNER_ID_008,,,,,41.9,17,filas,TK0008,TK0012,4,8,37.376077,14.905343,37.376078,14.905816,56.8,25.0
TCU_SUNNER_ID_048,TCU_SUNNER_ID_063,,,,,52.4,26,filas,TK0176,TK0191,48,63,37.376966,14.905105,37.376965,14.904513,53.5,25.0
TCU_SUNNER_ID_073,TCU_SUNNER_ID_084,,,,,54.0,0,eje,TK0201,TK0212,73,84,37.37694,14.906644,37.377427,14.906643,53.0,53.0
