node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,37.380127,14.905487,TK0229,TCU,radio,1,1,1
TCU_SUNNER_ID_002,37.379474,14.905488,TK0230,TCU,radio,1,1,2
TCU_SUNNER_ID_003,37.380127,14.905369,TK0231,TCU,radio,1,1,3
TCU_SUNNER_ID_004,37.379474,14.90537,TK0232,TCU,radio,1,1,4
TCU_SUNNER_ID_005,37.380126,14.905251,TK0233,TCU,radio,1,1,5
TCU_SUNNER_ID_006,37.379474,14.905252,TK0234,TCU,radio,1,1,6
TCU_SUNNER_ID_007,37.380126,14.905132,TK0235,TCU,radio,1,1,7
TCU_SUNNER_ID_008,37.379474,14.905133,TK0236,TCU,radio,1,1,8
TCU_SUNNER_ID_009,37.380126,14.905014,TK0237,TCU,radio,1,1,9
TCU_SUNNER_ID_010,37.379474,14.905015,TK0238,TCU,radio,1,1,10
TCU_SUNNER_ID_011,37.380126,14.904896,TK0239,TCU,radio,1,1,11
TCU_SUNNER_ID_012,37.379473,14.904896,TK0240,TCU,radio,1,1,12
TCU_SUNNER_ID_013,37.379474,14.905607,TK0241,TCU,radio,1,1,13
TCU_SUNNER_ID_014,37.380126,14.904777,TK0242,TCU,radio,1,1,14
TCU_SUNNER_ID_015,37.379473,14.904778,TK0243,TCU,radio,1,1,15
TCU_SUNNER_ID_016,37.380126,14.904659,TK0244,TCU,radio,1,1,16
TCU_SUNNER_ID_017,37.379473,14.90466,TK0245,TCU,radio,1,1,17
TCU_SUNNER_ID_018,37.380126,14.90454,TK0246,TCU,radio,1,1,18
TCU_SUNNER_ID_019,37.379473,14.904541,TK0247,TCU,radio,1,1,19
TCU_SUNNER_ID_020,37.380126,14.904422,TK0248,TCU,radio,1,1,20
TCU_SUNNER_ID_021,37.379473,14.904423,TK0249,TCU,radio,1,1,21
TCU_SUNNER_ID_022,37.380126,14.904304,TK0250,TCU,radio,1,1,22
TCU_SUNNER_ID_023,37.379473,14.904305,TK0251,TCU,radio,1,1,23
TCU_SUNNER_ID_024,37.380126,14.904185,TK0252,TCU,radio,1,1,24
TCU_SUNNER_ID_025,37.379473,14.904186,TK0253,TCU,radio,1,1,25
TCU_SUNNER_ID_026,37.380125,14.904067,TK0254,TCU,radio,1,1,26
