node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,37.376088,14.897485,TK0460,TCU,radio,4,4,1
TCU_SUNNER_ID_002,37.376575,14.897485,TK0461,TCU,radio,4,4,2
TCU_SUNNER_ID_003,37.376019,14.897604,TK0462,TCU,radio,4,4,3
TCU_SUNNER_ID_004,37.376506,14.897603,TK0463,TCU,radio,4,4,4
TCU_SUNNER_ID_005,37.376205,14.897367,TK0464,TCU,radio,4,4,5
TCU_SUNNER_ID_006,37.376322,14.897248,TK0465,TCU,radio,4,4,6
TCU_SUNNER_ID_007,37.376379,14.89713,TK0466,TCU,radio,4,4,7
TCU_SUNNER_ID_008,37.376067,14.897722,TK0467,TCU,radio,4,4,8
TCU_SUNNER_ID_009,37.376412,14.897011,TK0468,TCU,radio,4,4,9
TCU_SUNNER_ID_010,37.376463,14.896893,TK0469,TCU,radio,4,4,10
TCU_SUNNER_ID_011,37.375001,14.898385,TK0470,TCU,radio,4,4,11
TCU_SUNNER_ID_012,37.374902,14.898503,TK0471,TCU,radio,4,4,12
TCU_SUNNER_ID_013,37.37513,14.898266,TK0472,TCU,radio,4,4,13
TCU_SUNNER_ID_014,37.374752,14.898622,TK0473,TCU,radio,4,4,14
TCU_SUNNER_ID_015,37.374564,14.898741,TK0474,TCU,radio,4,4,15
TCU_SUNNER_ID_016,37.37438,14.898859,TK0475,TCU,radio,4,4,16
TCU_SUNNER_ID_017,37.374222,14.898978,TK0476,TCU,radio,4,4,17
TCU_SUNNER_ID_018,37.374065,14.899096,TK0477,TCU,radio,4,4,18
TCU_SUNNER_ID_019,37.375234,14.898148,TK0478,TCU,radio,4,4,19
TCU_SUNNER_ID_020,37.375273,14.898029,TK0479,TCU,radio,4,4,20
TCU_SUNNER_ID_021,37.376988,14.899617,TK0598,TCU,radio,4,4,21
TCU_SUNNER_ID_022,37.377019,14.899735,TK0599,TCU,radio,4,4,22
TCU_SUNNER_ID_023,37.377051,14.899853,TK0600,TCU,radio,4,4,23
TCU_SUNNER_ID_024,37.377082,14.899972,TK0601,TCU,radio,4,4,24
TCU_SUNNER_ID_025,37.37689,14.89938,TK0602,TCU,radio,4,4,25
TCU_SUNNER_ID_026,37.376956,14.899498,TK0603,TCU,radio,4,4,26
TCU_SUNNER_ID_027,37.377146,14.900208,TK0604,TCU,radio,4,4,27
TCU_SUNNER_ID_028,37.377177,14.900327,TK0605,TCU,radio,4,4,28
TCU_SUNNER_ID_029,37.377209,14.900445,TK0606,TCU,radio,4,4,29
TCU_SUNNER_ID_030,37.377241,14.900563,TK0607,TCU,radio,4,4,30
TCU_SUNNER_ID_031,37.377114,14.90009,TK0608,TCU,radio,4,4,31
TCU_SUNNER_ID_032,37.376907,14.899262,TK0609,TCU,radio,4,4,32
TCU_SUNNER_ID_033,37.376795,14.899025,TK0610,TCU,radio,4,4,33
TCU_SUNNER_ID_034,37.376663,14.899144,TK0611,TCU,radio,4,4,34
TCU_SUNNER_ID_035,37.376237,14.899381,TK0612,TCU,radio,4,4,35
TCU_SUNNER_ID_036,37.376254,14.899263,TK0613,TCU,radio,4,4,36
TCU_SUNNER_ID_037,37.37601,14.899145,TK0614,TCU,radio,4,4,37
TCU_SUNNER_ID_038,37.376142,14.899026,TK0615,TCU,radio,4,4,38
TCU_SUNNER_ID_039,37.376626,14.898907,TK0616,TCU,radio,4,4,39
TCU_SUNNER_ID_040,37.376778,14.898788,TK0617,TCU,radio,4,4,40
TCU_SUNNER_ID_041,37.377152,14.901274,TK0618,TCU,radio,4,4,41
TCU_SUNNER_ID_042,37.37574,14.899382,TK0619,TCU,radio,4,4,42
TCU_SUNNER_ID_043,37.375757,14.899263,TK0620,TCU,radio,4,4,43
TCU_SUNNER_ID_044,37.376129,14.898908,TK0621,TCU,radio,4,4,44
TCU_SUNNER_ID_045,37.37628,14.898789,TK0622,TCU,radio,4,4,45
TCU_SUNNER_ID_046,37.376631,14.89867,TK0623,TCU,radio,4,4,46
TCU_SUNNER_ID_047,37.376627,14.898552,TK0624,TCU,radio,4,4,47
TCU_SUNNER_ID_048,37.377107,14.900682,TK0645,TCU,radio,4,4,48
TCU_SUNNER_ID_049,37.377138,14.9008,TK0646,TCU,radio,4,4,49
TCU_SUNNER_ID_050,37.37717,14.900919,TK0647,TCU,radio,4,4,50
TCU_SUNNER_ID_051,37.377202,14.901037,TK0648,TCU,radio,4,4,51
TCU_SUNNER_ID_052,37.377233,14.901155,TK0649,TCU,radio,4,4,52
TCU_SUNNER_ID_053,37.373688,14.89935,TK0700,TCU,radio,4,4,53
TCU_SUNNER_ID_054,37.373637,14.899469,TK0712,TCU,radio,4,4,54
TCU_SUNNER_ID_055,37.375899,14.897841,TK0713,TCU,radio,4,4,55
HSU_04,37.376567,14.89671,HSU 04-03,HSU,radio,4,4,
