node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,37.376077,14.904988,TK0005,TCU,radio,2,2,1
TCU_SUNNER_ID_002,37.376077,14.905106,TK0006,TCU,radio,2,2,2
TCU_SUNNER_ID_003,37.376077,14.905224,TK0007,TCU,radio,2,2,3
TCU_SUNNER_ID_004,37.376077,14.905343,TK0008,TCU,radio,2,2,4
TCU_SUNNER_ID_005,37.376077,14.905461,TK0009,TCU,radio,2,2,5
TCU_SUNNER_ID_006,37.376077,14.905579,TK0010,TCU,radio,2,2,6
TCU_SUNNER_ID_007,37.376077,14.905698,TK0011,TCU,radio,2,2,7
TCU_SUNNER_ID_008,37.376078,14.905816,TK0012,TCU,radio,2,2,8
TCU_SUNNER_ID_009,37.376078,14.905935,TK0013,TCU,radio,2,2,9
TCU_SUNNER_ID_010,37.376078,14.906053,TK0014,TCU,radio,2,2,10
TCU_SUNNER_ID_011,37.376078,14.906171,TK0015,TCU,radio,2,2,11
TCU_SUNNER_ID_012,37.376078,14.90629,TK0016,TCU,radio,2,2,12
TCU_SUNNER_ID_013,37.376078,14.906408,TK0017,TCU,radio,2,2,13
TCU_SUNNER_ID_014,37.376078,14.906526,TK0018,TCU,radio,2,2,14
TCU_SUNNER_ID_015,37.376078,14.906645,TK0019,TCU,radio,2,2,15
TCU_SUNNER_ID_016,37.376078,14.906763,TK0020,TCU,radio,2,2,16
TCU_SUNNER_ID_017,37.376232,14.904869,TK0021,TCU,radio,2,2,17
TCU_SUNNER_ID_018,37.376232,14.904751,TK0022,TCU,radio,2,2,18
TCU_SUNNER_ID_019,37.376078,14.906882,TK0023,TCU,radio,2,2,19
TCU_SUNNER_ID_020,37.376078,14.907,TK0024,TCU,radio,2,2,20
TCU_SUNNER_ID_021,37.37616,14.907118,TK0025,TCU,radio,2,2,21
TCU_SUNNER_ID_022,37.37616,14.907237,TK0026,TCU,radio,2,2,22
TCU_SUNNER_ID_023,37.37616,14.907355,TK0027,TCU,radio,2,2,23
TCU_SUNNER_ID_024,37.376681,14.908064,TK0036,TCU,radio,2,2,24
TCU_SUNNER_ID_025,37.375425,14.90558,TK0037,TCU,radio,2,2,25
TCU_SUNNER_ID_026,37.375425,14.905699,TK0038,TCU,radio,2,2,26
TCU_SUNNER_ID_027,37.375425,14.905817,TK0039,TCU,radio,2,2,27
TCU_SUNNER_ID_028,37.375425,14.905935,TK0040,TCU,radio,2,2,28
TCU_SUNNER_ID_029,37.374928,14.905936,TK0059,TCU,radio,2,2,29
TCU_SUNNER_ID_030,37.374928,14.905818,TK0060,TCU,radio,2,2,30
TCU_SUNNER_ID_031,37.374927,14.905699,TK0061,TCU,radio,2,2,31
TCU_SUNNER_ID_032,37.375424,14.905344,TK0074,TCU,radio,2,2,32
TCU_SUNNER_ID_033,37.375425,14.905462,TK0075,TCU,radio,2,2,33
TCU_SUNNER_ID_034,37.374927,14.905581,TK0076,TCU,radio,2,2,34
TCU_SUNNER_ID_035,37.37558,14.905225,TK0077,TCU,radio,2,2,35
TCU_SUNNER_ID_036,37.37558,14.905107,TK0078,TCU,radio,2,2,36
