origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_015,TCU_SUNNER_ID_013,,,,,12.0,0,filas,15,13,15,13,41.576182,-0.799586,41.576185,-0.799729,65.5,65.5
TCU_SUNNER_ID_052,TCU_SUNNER_ID_056,,,,,12.0,0,filas,52,56,52,56,41.576143,-0.797572,41.57614,-0.797428,65.5,65.5
TCU_SUNNER_ID_082,TCU_SUNNER_ID_090,,,,,24.0,1,filas,82,90,82,90,41.574954,-0.796605,41.574949,-0.796317,63.8,54.2
TCU_SUNNER_ID_045,TCU_SUNNER_ID_051,,,,,24.0,1,filas,45,51,45,51,41.574982,-0.798043,41.574976,-0.797755,63.8,54.2
TCU_SUNNER_ID_028,TCU_SUNNER_ID_037,,,,,36.0,2,filas,28,37,28,37,41.576165,-0.798723,41.576157,-0.798291,58.9,42.0
NCU 2,TCU_SUNNER_ID_045,,,,,41.7,0,eje,NCU 2,45,,45,,,41.574982,-0.798043,50.6,50.6
NCU 2,TCU_SUNNER_ID_042,,,,,44.9,1,diagonal,NCU 2,42,,42,,,41.574984,-0.798187,51.7,44.9
NCU 2,TCU_SUNNER_ID_059,,,,,45.5,3,filas,NCU 2,59,,59,,,41.574454,-0.797485,46.6,20.8
TCU_SUNNER_ID_087,TCU_SUNNER_ID_104,,,,,48.0,3,filas,87,104,87,104,41.57429,-0.796483,41.574279,-0.795908,54.8,31.7
TCU_SUNNER_ID_040,TCU_SUNNER_ID_056,,,,,60.0,4,filas,40,56,40,56,41.576154,-0.798147,41.57614,-0.797428,45.7,28.2
TCU_SUNNER_ID_077,TCU_SUNNER_ID_076,,,,,65.0,0,eje,77,76,77,76,41.575542,-0.796729,41.576127,-0.796709,50.1,50.1
TCU_SUNNER_ID_025,TCU_SUNNER_ID_026,,,,,65.0,0,eje,25,26,25,26,41.576168,-0.798866,41.575583,-0.798886,50.1,50.1
TCU_SUNNER_ID_102,TCU_SUNNER_ID_103,,,,,65.0,0,eje,102,103,102,103,41.575525,-0.795866,41.57494,-0.795886,50.1,50.1
TCU_SUNNER_ID_038,TCU_SUNNER_ID_039,,,,,65.0,0,eje,38,39,38,39,41.575572,-0.798311,41.574987,-0.798331,50.1,50.1
TCU_SUNNER_ID_035,TCU_SUNNER_ID_039,,,,,66.1,0,diagonal,35,39,35,39,41.575575,-0.798455,41.574987,-0.798331,49.8,49.8
TCU_SUNNER_ID_053,TCU_SUNNER_ID_035,,,,,72.0,5,filas,53,35,53,35,41.575558,-0.797592,41.575575,-0.798455,39.1,25.3
TCU_SUNNER_ID_105,TCU_SUNNER_ID_091,,,,,74.3,2,diagonal,105,91,105,91,41.573694,-0.795928,41.574287,-0.79634,45.0,32.5
