node_id,lat,lon,etiqueta,rol,ncu,gw
TCU_SUNNER_ID_001,41.576873,-0.802009,1.1.1,TCU,1,1
TCU_SUNNER_ID_002,41.57687,-0.801865,1.1.2,TCU,1,1
TCU_SUNNER_ID_003,41.576868,-0.801721,1.1.3,TCU,1,1
TCU_SUNNER_ID_004,41.576865,-0.801578,1.1.4,TCU,1,1
TCU_SUNNER_ID_005,41.577303,-0.801419,1.1.5,TCU,1,1
TCU_SUNNER_ID_006,41.576862,-0.801434,1.1.6,TCU,1,1
TCU_SUNNER_ID_007,41.5773,-0.801275,1.2.1,TCU,1,1
TCU_SUNNER_ID_008,41.576859,-0.80129,1.2.2,TCU,1,1
TCU_SUNNER_ID_009,41.577441,-0.801126,1.2.3,TCU,1,1
TCU_SUNNER_ID_010,41.576857,-0.801146,1.2.4,TCU,1,1
TCU_SUNNER_ID_011,41.577439,-0.800982,1.2.5,TCU,1,1
TCU_SUNNER_ID_012,41.576854,-0.801002,1.2.6,TCU,1,1
TCU_SUNNER_ID_013,41.577436,-0.800838,1.3.1,TCU,1,1
TCU_SUNNER_ID_014,41.576851,-0.800858,1.3.2,TCU,1,1
TCU_SUNNER_ID_015,41.577433,-0.800695,1.3.3,TCU,1,1
TCU_SUNNER_ID_016,41.576848,-0.800714,1.3.4,TCU,1,1
TCU_SUNNER_ID_017,41.57743,-0.800551,1.3.5,TCU,1,1
TCU_SUNNER_ID_018,41.576846,-0.800571,1.3.6,TCU,1,1
TCU_SUNNER_ID_019,41.577428,-0.800407,1.4.1,TCU,1,1
TCU_SUNNER_ID_020,41.576843,-0.800427,1.4.2,TCU,1,1
TCU_SUNNER_ID_021,41.577425,-0.800263,1.4.3,TCU,1,1
TCU_SUNNER_ID_022,41.57684,-0.800283,1.4.4,TCU,1,1
TCU_SUNNER_ID_023,41.577422,-0.800119,1.4.5,TCU,1,1
TCU_SUNNER_ID_024,41.576837,-0.800139,1.4.6,TCU,1,1
TCU_SUNNER_ID_025,41.577419,-0.799975,1.5.1,TCU,1,1
TCU_SUNNER_ID_026,41.576835,-0.799995,1.5.2,TCU,1,1
TCU_SUNNER_ID_027,41.577417,-0.799832,1.5.3,TCU,1,1
TCU_SUNNER_ID_028,41.576832,-0.799851,1.5.4,TCU,1,1
TCU_SUNNER_ID_029,41.577414,-0.799688,1.5.5,TCU,1,1
TCU_SUNNER_ID_030,41.576829,-0.799708,1.5.6,TCU,1,1
TCU_SUNNER_ID_031,41.577411,-0.799544,1.6.1,TCU,1,1
TCU_SUNNER_ID_032,41.576826,-0.799564,1.6.2,TCU,1,1
TCU_SUNNER_ID_033,41.577408,-0.7994,1.6.3,TCU,1,1
TCU_SUNNER_ID_034,41.576824,-0.79942,1.6.4,TCU,1,1
TCU_SUNNER_ID_035,41.577406,-0.799256,1.6.5,TCU,1,1
TCU_SUNNER_ID_036,41.576821,-0.799276,1.6.6,TCU,1,1
TCU_SUNNER_ID_037,41.577403,-0.799112,1.7.1,TCU,1,1
TCU_SUNNER_ID_038,41.576818,-0.799132,1.7.2,TCU,1,1
TCU_SUNNER_ID_039,41.577985,-0.798949,1.7.3,TCU,1,1
TCU_SUNNER_ID_040,41.5774,-0.798969,1.7.4,TCU,1,1
TCU_SUNNER_ID_041,41.576815,-0.798988,1.7.5,TCU,1,1
TCU_SUNNER_ID_042,41.577982,-0.798805,1.8.1,TCU,1,1
TCU_SUNNER_ID_043,41.577397,-0.798825,1.8.2,TCU,1,1
TCU_SUNNER_ID_044,41.576812,-0.798845,1.8.3,TCU,1,1
TCU_SUNNER_ID_045,41.57798,-0.798661,1.8.4,TCU,1,1
TCU_SUNNER_ID_046,41.577395,-0.798681,1.8.5,TCU,1,1
TCU_SUNNER_ID_047,41.57681,-0.798701,1.8.6,TCU,1,1
TCU_SUNNER_ID_048,41.577977,-0.798517,1.9.1,TCU,1,1
TCU_SUNNER_ID_049,41.577392,-0.798537,1.9.2,TCU,1,1
TCU_SUNNER_ID_050,41.576807,-0.798557,1.9.3,TCU,1,1
TCU_SUNNER_ID_051,41.577974,-0.798373,1.9.4,TCU,1,1
TCU_SUNNER_ID_052,41.577389,-0.798393,1.9.5,TCU,1,1
TCU_SUNNER_ID_053,41.576804,-0.798413,1.9.6,TCU,1,1
TCU_SUNNER_ID_054,41.577971,-0.798229,1.10.1,TCU,1,1
TCU_SUNNER_ID_055,41.577386,-0.798249,1.10.2,TCU,1,1
TCU_SUNNER_ID_056,41.576946,-0.798264,1.10.3,TCU,1,1
HSU_01,41.57864,-0.798845,HSU1,HSU,1,1
HSU_03,41.576396,-0.801515,HSU 3,HSU,1,1
TCU_SUNNER_ID_001,41.576359,-0.801307,2.1.1,TCU,2,1
TCU_SUNNER_ID_002,41.576356,-0.801163,2.1.2,TCU,2,1
TCU_SUNNER_ID_003,41.576209,-0.801024,2.1.3,TCU,2,1
TCU_SUNNER_ID_004,41.576207,-0.80088,2.1.4,TCU,2,1
TCU_SUNNER_ID_005,41.576204,-0.800736,2.1.5,TCU,2,1
TCU_SUNNER_ID_006,41.576201,-0.800593,2.1.6,TCU,2,1
TCU_SUNNER_ID_007,41.576198,-0.800449,2.1.7,TCU,2,1
TCU_SUNNER_ID_008,41.576196,-0.800305,2.2.1,TCU,2,1
TCU_SUNNER_ID_009,41.576193,-0.800161,2.2.2,TCU,2,1
TCU_SUNNER_ID_010,41.57619,-0.800017,2.2.3,TCU,2,1
TCU_SUNNER_ID_011,41.576187,-0.799873,2.2.4,TCU,2,1
TCU_SUNNER_ID_012,41.575602,-0.799893,2.2.5,TCU,2,1
TCU_SUNNER_ID_013,41.576185,-0.799729,2.3.1,TCU,2,1
TCU_SUNNER_ID_014,41.5756,-0.799749,2.3.2,TCU,2,1
TCU_SUNNER_ID_015,41.576182,-0.799586,2.3.3,TCU,2,1
TCU_SUNNER_ID_016,41.575597,-0.799605,2.3.4,TCU,2,1
TCU_SUNNER_ID_017,41.576179,-0.799442,2.3.5,TCU,2,1
TCU_SUNNER_ID_018,41.575594,-0.799462,2.3.6,TCU,2,1
TCU_SUNNER_ID_019,41.576176,-0.799298,2.4.1,TCU,2,1
TCU_SUNNER_ID_020,41.575591,-0.799318,2.4.2,TCU,2,1
TCU_SUNNER_ID_021,41.576174,-0.799154,2.4.3,TCU,2,1
TCU_SUNNER_ID_022,41.575589,-0.799174,2.4.4,TCU,2,1
TCU_SUNNER_ID_023,41.576171,-0.79901,2.4.5,TCU,2,1
TCU_SUNNER_ID_024,41.575586,-0.79903,2.4.6,TCU,2,1
TCU_SUNNER_ID_025,41.576168,-0.798866,2.5.1,TCU,2,1
TCU_SUNNER_ID_026,41.575583,-0.798886,2.5.2,TCU,2,1
TCU_SUNNER_ID_027,41.575142,-0.798901,2.5.3,TCU,2,1
TCU_SUNNER_ID_028,41.576165,-0.798723,2.5.4,TCU,2,1
TCU_SUNNER_ID_029,41.57558,-0.798742,2.5.5,TCU,2,1
TCU_SUNNER_ID_030,41.575139,-0.798757,2.5.6,TCU,2,1
TCU_SUNNER_ID_031,41.576163,-0.798579,2.6.1,TCU,2,1
TCU_SUNNER_ID_032,41.575578,-0.798599,2.6.2,TCU,2,1
TCU_SUNNER_ID_033,41.574993,-0.798618,2.6.3,TCU,2,1
TCU_SUNNER_ID_034,41.57616,-0.798435,2.6.4,TCU,2,1
TCU_SUNNER_ID_035,41.575575,-0.798455,2.6.5,TCU,2,1
TCU_SUNNER_ID_036,41.57499,-0.798475,2.6.6,TCU,2,1
TCU_SUNNER_ID_037,41.576157,-0.798291,2.7.1,TCU,2,1
TCU_SUNNER_ID_038,41.575572,-0.798311,2.7.2,TCU,2,1
TCU_SUNNER_ID_039,41.574987,-0.798331,2.7.3,TCU,2,1
TCU_SUNNER_ID_040,41.576154,-0.798147,2.7.4,TCU,2,1
TCU_SUNNER_ID_041,41.575569,-0.798167,2.7.5,TCU,2,1
TCU_SUNNER_ID_042,41.574984,-0.798187,2.7.6,TCU,2,1
TCU_SUNNER_ID_043,41.576152,-0.798003,2.8.1,TCU,2,1
TCU_SUNNER_ID_044,41.575567,-0.798023,2.8.2,TCU,2,1
TCU_SUNNER_ID_045,41.574982,-0.798043,2.8.3,TCU,2,1
