node_id,lat,lon,etiqueta,rol,ncu,gw
TCU_SUNNER_ID_057,41.577969,-0.798086,1.10.4,TCU,1,2
TCU_SUNNER_ID_058,41.577384,-0.798105,1.10.5,TCU,1,2
TCU_SUNNER_ID_059,41.576943,-0.79812,1.10.6,TCU,1,2
TCU_SUNNER_ID_060,41.577966,-0.797942,1.11.1,TCU,1,2
TCU_SUNNER_ID_061,41.577381,-0.797962,1.11.2,TCU,1,2
TCU_SUNNER_ID_062,41.576796,-0.797981,1.11.3,TCU,1,2
TCU_SUNNER_ID_063,41.577963,-0.797798,1.11.4,TCU,1,2
TCU_SUNNER_ID_064,41.577378,-0.797818,1.11.5,TCU,1,2
TCU_SUNNER_ID_065,41.576793,-0.797838,1.11.6,TCU,1,2
TCU_SUNNER_ID_066,41.57796,-0.797654,1.12.1,TCU,1,2
TCU_SUNNER_ID_067,41.577375,-0.797674,1.12.2,TCU,1,2
TCU_SUNNER_ID_068,41.57679,-0.797694,1.12.3,TCU,1,2
TCU_SUNNER_ID_069,41.577958,-0.79751,1.12.4,TCU,1,2
TCU_SUNNER_ID_070,41.577373,-0.79753,1.12.5,TCU,1,2
TCU_SUNNER_ID_071,41.576788,-0.79755,1.12.6,TCU,1,2
TCU_SUNNER_ID_072,41.577955,-0.797366,1.13.1,TCU,1,2
TCU_SUNNER_ID_073,41.57737,-0.797386,1.13.2,TCU,1,2
TCU_SUNNER_ID_074,41.576785,-0.797406,1.13.3,TCU,1,2
TCU_SUNNER_ID_075,41.577952,-0.797223,1.13.4,TCU,1,2
TCU_SUNNER_ID_076,41.577367,-0.797242,1.13.5,TCU,1,2
TCU_SUNNER_ID_077,41.576782,-0.797262,1.13.6,TCU,1,2
TCU_SUNNER_ID_078,41.577949,-0.797079,1.14.1,TCU,1,2
TCU_SUNNER_ID_079,41.577364,-0.797099,1.14.2,TCU,1,2
TCU_SUNNER_ID_080,41.576779,-0.797118,1.14.3,TCU,1,2
TCU_SUNNER_ID_081,41.577947,-0.796935,1.14.4,TCU,1,2
TCU_SUNNER_ID_082,41.577362,-0.796955,1.14.5,TCU,1,2
TCU_SUNNER_ID_083,41.576777,-0.796975,1.14.6,TCU,1,2
TCU_SUNNER_ID_084,41.577944,-0.796791,1.15.1,TCU,1,2
TCU_SUNNER_ID_085,41.577359,-0.796811,1.15.2,TCU,1,2
TCU_SUNNER_ID_086,41.576774,-0.796831,1.15.3,TCU,1,2
TCU_SUNNER_ID_087,41.577941,-0.796647,1.15.4,TCU,1,2
TCU_SUNNER_ID_088,41.577356,-0.796667,1.15.5,TCU,1,2
TCU_SUNNER_ID_089,41.576771,-0.796687,1.15.6,TCU,1,2
TCU_SUNNER_ID_090,41.577794,-0.796508,1.16.1,TCU,1,2
TCU_SUNNER_ID_091,41.577353,-0.796523,1.16.2,TCU,1,2
TCU_SUNNER_ID_092,41.576768,-0.796543,1.16.3,TCU,1,2
TCU_SUNNER_ID_093,41.577791,-0.796364,1.16.4,TCU,1,2
TCU_SUNNER_ID_094,41.577351,-0.796379,1.16.5,TCU,1,2
TCU_SUNNER_ID_095,41.576766,-0.796399,1.16.6,TCU,1,2
TCU_SUNNER_ID_096,41.577789,-0.796221,1.17.1,TCU,1,2
TCU_SUNNER_ID_097,41.577348,-0.796236,1.17.2,TCU,1,2
TCU_SUNNER_ID_098,41.576763,-0.796255,1.17.3,TCU,1,2
TCU_SUNNER_ID_099,41.577786,-0.796077,1.17.4,TCU,1,2
TCU_SUNNER_ID_100,41.577345,-0.796092,1.17.5,TCU,1,2
TCU_SUNNER_ID_101,41.57676,-0.796112,1.17.6,TCU,1,2
TCU_SUNNER_ID_102,41.577783,-0.795933,1.18.1,TCU,1,2
TCU_SUNNER_ID_103,41.577342,-0.795948,1.18.2,TCU,1,2
TCU_SUNNER_ID_104,41.576757,-0.795968,1.18.3,TCU,1,2
TCU_SUNNER_ID_105,41.57778,-0.795789,1.18.4,TCU,1,2
TCU_SUNNER_ID_106,41.577337,-0.79566,1.18.5,TCU,1,2
TCU_SUNNER_ID_107,41.57734,-0.795804,1.18.5,TCU,1,2
TCU_SUNNER_ID_108,41.576755,-0.795824,1.18.6,TCU,1,2
HSU_02,41.577596,-0.795232,HSU 2,HSU,1,2
