origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_023,TCU_SUNNER_ID_024,,,,,12.0,0,filas,TK023,TK024,23,24,41.226874,0.324904,41.226874,0.325047,65.5,65.5
TCU_SUNNER_ID_005,TCU_SUNNER_ID_007,,,,,12.5,0,filas,TK005,TK007,5,7,41.226764,0.323477,41.226735,0.323621,65.7,65.7
TCU_SUNNER_ID_014,TCU_SUNNER_ID_016,,,,,12.9,0,filas,TK014,TK016,14,16,41.227071,0.32418,41.227032,0.324325,65.9,65.9
NCU 1,TCU_SUNNER_ID_021,,,,,13.0,0,filas,NCU 1,TK021,,21,,,41.226462,0.324635,65.9,65.9
TCU_SUNNER_ID_001,TCU_SUNNER_ID_003,,,,,18.4,0,filas,TK001,TK003,1,3,41.227048,0.323185,41.226924,0.32333,65.9,65.9
TCU_SUNNER_ID_022,TCU_SUNNER_ID_024,,,,,24.6,1,filas,TK022,TK024,22,24,41.226916,0.324759,41.226874,0.325047,63.6,54.0
TCU_SUNNER_ID_005,TCU_SUNNER_ID_009,,,,,25.7,1,filas,TK005,TK009,5,9,41.226764,0.323477,41.226688,0.323766,63.1,53.7
TCU_SUNNER_ID_016,TCU_SUNNER_ID_020,,,,,25.8,1,filas,TK016,TK020,16,20,41.227032,0.324325,41.226953,0.324614,63.1,53.6
TCU_SUNNER_ID_009,TCU_SUNNER_ID_013,,,,,27.3,1,filas,TK009,TK013,9,13,41.226688,0.323766,41.226577,0.324056,62.5,53.1
TCU_SUNNER_ID_002,TCU_SUNNER_ID_006,,,,,35.4,1,diagonal,TK002,TK006,2,6,41.227401,0.32331,41.227172,0.323603,59.2,50.2
TCU_SUNNER_ID_003,TCU_SUNNER_ID_006,,,,,35.8,1,diagonal,TK003,TK006,3,6,41.226924,0.32333,41.227172,0.323603,59.0,50.0
TCU_SUNNER_ID_003,TCU_SUNNER_ID_004,,,,,35.9,0,diagonal,TK003,TK004,3,4,41.226924,0.32333,41.227232,0.323457,59.0,59.0
TCU_SUNNER_ID_004,TCU_SUNNER_ID_010,,,,,37.3,2,filas,TK004,TK010,4,10,41.227232,0.323457,41.227156,0.32389,58.5,41.6
NCU 1,TCU_SUNNER_ID_023,,,,,38.6,1,diagonal,NCU 1,TK023,,23,,,41.226874,0.324904,51.4,47.5
TCU_SUNNER_ID_001,TCU_SUNNER_ID_005,,,,,39.9,1,diagonal,TK001,TK005,1,5,41.227048,0.323185,41.226764,0.323477,57.5,48.7
TCU_SUNNER_ID_007,TCU_SUNNER_ID_013,,,,,40.5,2,filas,TK007,TK013,7,13,41.226735,0.323621,41.226577,0.324056,57.3,40.6
NCU 1,TCU_SUNNER_ID_022,,,,,40.6,0,eje,NCU 1,TK022,,22,,,41.226916,0.324759,50.6,50.6
TCU_SUNNER_ID_001,TCU_SUNNER_ID_002,,,,,40.7,0,diagonal,TK001,TK002,1,2,41.227048,0.323185,41.227401,0.32331,57.2,57.2
TCU_SUNNER_ID_006,TCU_SUNNER_ID_007,,,,,48.5,0,eje,TK006,TK007,6,7,41.227172,0.323603,41.226735,0.323621,54.6,54.6
TCU_SUNNER_ID_006,TCU_SUNNER_ID_014,,,,,49.7,3,filas,TK006,TK014,6,14,41.227172,0.323603,41.227071,0.32418,54.3,31.3
TCU_SUNNER_ID_004,TCU_SUNNER_ID_012,,,,,50.5,3,filas,TK004,TK012,4,12,41.227232,0.323457,41.227101,0.324034,54.0,31.0
TCU_SUNNER_ID_011,TCU_SUNNER_ID_012,,,,,51.1,0,diagonal,TK011,TK012,11,12,41.226651,0.323911,41.227101,0.324034,53.8,53.8
TCU_SUNNER_ID_008,TCU_SUNNER_ID_009,,,,,51.6,0,eje,TK008,TK009,8,9,41.227152,0.323747,41.226688,0.323766,53.7,53.7
TCU_SUNNER_ID_010,TCU_SUNNER_ID_018,,,,,51.8,3,filas,TK010,TK018,10,18,41.227156,0.32389,41.226993,0.32447,53.6,30.7
TCU_SUNNER_ID_004,TCU_SUNNER_ID_005,,,,,52.0,0,eje,TK004,TK005,4,5,41.227232,0.323457,41.226764,0.323477,53.6,53.6
TCU_SUNNER_ID_005,TCU_SUNNER_ID_013,,,,,52.8,3,filas,TK005,TK013,5,13,41.226764,0.323477,41.226577,0.324056,53.3,30.4
TCU_SUNNER_ID_002,TCU_SUNNER_ID_003,,,,,53.1,0,eje,TK002,TK003,2,3,41.227401,0.32331,41.226924,0.32333,53.2,53.2
TCU_SUNNER_ID_019,TCU_SUNNER_ID_020,,,,,53.7,0,diagonal,TK019,TK020,19,20,41.226479,0.324491,41.226953,0.324614,53.1,53.1
TCU_SUNNER_ID_020,TCU_SUNNER_ID_021,,,,,54.6,0,eje,TK020,TK021,20,21,41.226953,0.324614,41.226462,0.324635,52.8,52.8
TCU_SUNNER_ID_013,TCU_SUNNER_ID_014,,,,,55.8,0,diagonal,TK013,TK014,13,14,41.226577,0.324056,41.227071,0.32418,52.5,52.5
TCU_SUNNER_ID_010,TCU_SUNNER_ID_011,,,,,56.1,0,eje,TK010,TK011,10,11,41.227156,0.32389,41.226651,0.323911,52.4,52.4
TCU_SUNNER_ID_018,TCU_SUNNER_ID_019,,,,,57.1,0,eje,TK018,TK019,18,19,41.226993,0.32447,41.226479,0.324491,52.1,52.1
TCU_SUNNER_ID_014,TCU_SUNNER_ID_015,,,,,57.2,0,eje,TK014,TK015,14,15,41.227071,0.32418,41.226556,0.324201,52.1,52.1
TCU_SUNNER_ID_016,TCU_SUNNER_ID_017,,,,,57.3,0,eje,TK016,TK017,16,17,41.227032,0.324325,41.226517,0.324346,52.1,52.1
TCU_SUNNER_ID_005,TCU_SUNNER_ID_012,,,,,59.9,3,diagonal,TK005,TK012,5,12,41.226764,0.323477,41.227101,0.324034,47.9,28.8
TCU_SUNNER_ID_003,TCU_SUNNER_ID_012,,,,,62.3,4,filas,TK003,TK012,3,12,41.226924,0.32333,41.227101,0.324034,44.9,27.7
TCU_SUNNER_ID_014,TCU_SUNNER_ID_017,,,,,63.1,0,diagonal,TK014,TK017,14,17,41.227071,0.32418,41.226517,0.324346,50.5,50.5
TCU_SUNNER_ID_004,TCU_SUNNER_ID_014,,,,,63.2,4,filas,TK004,TK014,4,14,41.227232,0.323457,41.227071,0.32418,44.4,27.5
TCU_SUNNER_ID_010,TCU_SUNNER_ID_020,,,,,64.8,4,filas,TK010,TK020,10,20,41.227156,0.32389,41.226953,0.324614,43.9,27.2
TCU_SUNNER_ID_009,TCU_SUNNER_ID_018,,,,,68.0,4,diagonal,TK009,TK018,9,18,41.226688,0.323766,41.226993,0.32447,42.7,26.5
TCU_SUNNER_ID_010,TCU_SUNNER_ID_015,,,,,71.6,1,diagonal,TK010,TK015,10,15,41.227156,0.32389,41.226556,0.324201,48.0,40.4
TCU_SUNNER_ID_003,TCU_SUNNER_ID_014,,,,,73.2,5,filas,TK003,TK014,3,14,41.226924,0.32333,41.227071,0.32418,38.7,25.1
TCU_SUNNER_ID_004,TCU_SUNNER_ID_016,,,,,76.1,5,filas,TK004,TK016,4,16,41.227232,0.323457,41.227032,0.324325,37.7,24.5
TCU_SUNNER_ID_011,TCU_SUNNER_ID_022,,,,,77.0,5,diagonal,TK011,TK022,11,22,41.226651,0.323911,41.226916,0.324759,37.4,24.4
TCU_SUNNER_ID_012,TCU_SUNNER_ID_019,,,,,79.0,2,diagonal,TK012,TK019,12,19,41.227101,0.324034,41.226479,0.324491,43.7,31.6
TCU_SUNNER_ID_007,TCU_SUNNER_ID_021,,,,,90.3,6,diagonal,TK007,TK021,7,21,41.226735,0.323621,41.226462,0.324635,31.8,21.8
TCU_SUNNER_ID_001,TCU_SUNNER_ID_016,,,,,95.6,7,filas,TK001,TK016,1,16,41.227048,0.323185,41.227032,0.324325,28.4,20.6
TCU_SUNNER_ID_006,TCU_SUNNER_ID_017,,,,,95.8,4,diagonal,TK006,TK017,6,17,41.227172,0.323603,41.226517,0.324346,34.6,21.7
TCU_SUNNER_ID_003,TCU_SUNNER_ID_018,,,,,95.9,7,filas,TK003,TK018,3,18,41.226924,0.32333,41.226993,0.32447,28.3,20.6
TCU_SUNNER_ID_004,TCU_SUNNER_ID_015,,,,,97.6,4,diagonal,TK004,TK015,4,15,41.227232,0.323457,41.226556,0.324201,34.1,21.4
TCU_SUNNER_ID_009,TCU_SUNNER_ID_023,,,,,97.6,7,filas,TK009,TK023,9,23,41.226688,0.323766,41.226874,0.324904,27.9,20.4
TCU_SUNNER_ID_011,TCU_SUNNER_ID_024,,,,,98.5,7,filas,TK011,TK024,11,24,41.226651,0.323911,41.226874,0.325047,27.7,20.2
TCU_SUNNER_ID_004,TCU_SUNNER_ID_020,,,,,101.9,7,diagonal,TK004,TK020,4,20,41.227232,0.323457,41.226953,0.324614,26.9,19.7
TCU_SUNNER_ID_006,TCU_SUNNER_ID_019,,,,,107.1,5,diagonal,TK006,TK019,6,19,41.227172,0.323603,41.226479,0.324491,29.1,19.7
TCU_SUNNER_ID_001,TCU_SUNNER_ID_018,,,,,107.9,8,filas,TK001,TK018,1,18,41.227048,0.323185,41.226993,0.32447,24.9,18.6
