node_id,lat,lon,etiqueta,rol,enlace,ncu,gw
TCU_SUNNER_ID_001,41.227048,0.323185,TK001,TCU,radio,1,1
TCU_SUNNER_ID_002,41.227401,0.32331,TK002,TCU,radio,1,1
TCU_SUNNER_ID_003,41.226924,0.32333,TK003,TCU,radio,1,1
TCU_SUNNER_ID_004,41.227232,0.323457,TK004,TCU,radio,1,1
TCU_SUNNER_ID_005,41.226764,0.323477,TK005,TCU,radio,1,1
TCU_SUNNER_ID_006,41.227172,0.323603,TK006,TCU,radio,1,1
TCU_SUNNER_ID_007,41.226735,0.323621,TK007,TCU,radio,1,1
TCU_SUNNER_ID_008,41.227152,0.323747,TK008,TCU,radio,1,1
TCU_SUNNER_ID_009,41.226688,0.323766,TK009,TCU,radio,1,1
TCU_SUNNER_ID_010,41.227156,0.32389,TK010,TCU,radio,1,1
TCU_SUNNER_ID_011,41.226651,0.323911,TK011,TCU,radio,1,1
TCU_SUNNER_ID_012,41.227101,0.324034,TK012,TCU,radio,1,1
TCU_SUNNER_ID_013,41.226577,0.324056,TK013,TCU,radio,1,1
TCU_SUNNER_ID_014,41.227071,0.32418,TK014,TCU,radio,1,1
TCU_SUNNER_ID_015,41.226556,0.324201,TK015,TCU,radio,1,1
TCU_SUNNER_ID_016,41.227032,0.324325,TK016,TCU,radio,1,1
TCU_SUNNER_ID_017,41.226517,0.324346,TK017,TCU,radio,1,1
TCU_SUNNER_ID_018,41.226993,0.32447,TK018,TCU,radio,1,1
TCU_SUNNER_ID_019,41.226479,0.324491,TK019,TCU,radio,1,1
TCU_SUNNER_ID_020,41.226953,0.324614,TK020,TCU,radio,1,1
TCU_SUNNER_ID_021,41.226462,0.324635,TK021,TCU,radio,1,1
TCU_SUNNER_ID_022,41.226916,0.324759,TK022,TCU,radio,1,1
TCU_SUNNER_ID_023,41.226874,0.324904,TK023,TCU,radio,1,1
TCU_SUNNER_ID_024,41.226874,0.325047,TK024,TCU,radio,1,1
HSU_01,41.226496,0.324746,HSU1,HSU,cable,1,1
