origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_002,TCU_SUNNER_ID_003,,,,,10.5,4,filas,TK0272,TK0273,2,3,37.367546,14.884483,37.367546,14.884601,65.1,33.5
TCU_SUNNER_ID_061,TCU_SUNNER_ID_062,,,,,10.5,5,filas,TK0331,TK0332,61,62,37.366896,14.887916,37.366896,14.888034,65.1,31.3
TCU_SUNNER_ID_080,TCU_SUNNER_ID_098,,,,,11.1,0,eje,TK0404,TK1048,80,98,37.36975,14.888743,37.36965,14.888753,65.1,65.1
TCU_SUNNER_ID_101,TCU_SUNNER_ID_103,,,,,21.0,11,filas,TK1078,TK1080,101,103,37.368196,14.886622,37.368196,14.886385,65.1,35.6
TCU_SUNNER_ID_081,TCU_SUNNER_ID_098,,,,,27.4,5,diagonal,TK0405,TK1048,81,98,37.369419,14.888862,37.36965,14.888753,62.4,38.9
TCU_SUNNER_ID_015,TCU_SUNNER_ID_018,,,,,31.4,15,filas,TK0285,TK0288,15,18,37.367547,14.886021,37.367548,14.886376,60.7,27.1
TCU_SUNNER_ID_002,TCU_SUNNER_ID_117,,,,,33.1,0,eje,TK0272,TK1113,2,117,37.367546,14.884483,37.367248,14.884493,60.1,60.1
TCU_SUNNER_ID_069,TCU_SUNNER_ID_094,,,,,35.1,0,eje,TK0339,TK0974,69,94,37.366897,14.888863,37.367214,14.888872,59.3,59.3
TCU_SUNNER_ID_073,TCU_SUNNER_ID_095,,,,,36.4,4,diagonal,TK0343,TK0975,73,95,37.366244,14.888627,37.366561,14.888518,58.8,35.8
TCU_SUNNER_ID_061,TCU_SUNNER_ID_120,,,,,37.3,0,eje,TK0331,TK1116,61,120,37.366896,14.887916,37.36656,14.887926,58.5,58.5
TCU_SUNNER_ID_055,TCU_SUNNER_ID_056,,,,,38.3,5,diagonal,TK0325,TK0326,55,56,37.366896,14.887206,37.366564,14.887325,58.1,35.1
TCU_SUNNER_ID_006,TCU_SUNNER_ID_114,,,,,38.5,3,diagonal,TK0276,TK1110,6,114,37.367584,14.884956,37.367248,14.884848,58.0,35.5
TCU_SUNNER_ID_012,TCU_SUNNER_ID_111,,,,,40.5,6,diagonal,TK0282,TK1088,12,111,37.367878,14.885666,37.368195,14.885438,57.3,32.2
TCU_SUNNER_ID_088,TCU_SUNNER_ID_096,,,,,41.1,23,filas,TK0413,TK0993,88,96,37.368766,14.888863,37.368761,14.888399,57.1,28.9
TCU_SUNNER_ID_089,TCU_SUNNER_ID_096,,,,,51.6,30,filas,TK0414,TK0993,89,96,37.368744,14.888982,37.368761,14.888399,53.7,25.6
TCU_SUNNER_ID_087,TCU_SUNNER_ID_098,,,,,61.3,0,eje,TK0412,TK1048,87,98,37.369098,14.888744,37.36965,14.888753,51.0,51.0
TCU_SUNNER_ID_018,TCU_SUNNER_ID_024,,,,,62.9,32,filas,TK0288,TK0294,18,24,37.367548,14.886376,37.367548,14.887086,31.2,16.9
TCU_SUNNER_ID_022,TCU_SUNNER_ID_139,,,,,63.4,30,diagonal,TK0292,TK1429,22,139,37.367548,14.88685,37.36787,14.887441,30.7,17.8
TCU_SUNNER_ID_066,TCU_SUNNER_ID_072,,,,,72.4,0,eje,TK0336,TK0342,66,72,37.366897,14.888508,37.366244,14.888509,48.4,48.4
TCU_SUNNER_ID_018,TCU_SUNNER_ID_030,,,,,72.4,0,eje,TK0288,TK0300,18,30,37.367548,14.886376,37.366895,14.886377,48.4,48.4
TCU_SUNNER_ID_043,TCU_SUNNER_ID_061,,,,,72.4,0,eje,TK0313,TK0331,43,61,37.367549,14.887915,37.366896,14.887916,48.4,48.4
TCU_SUNNER_ID_036,TCU_SUNNER_ID_061,,,,,73.4,44,filas,TK0306,TK0331,36,61,37.366896,14.887087,37.366896,14.887916,26.1,19.8
TCU_SUNNER_ID_098,TCU_SUNNER_ID_134,,,,,73.4,29,diagonal,TK1048,TK1409,98,134,37.36965,14.888753,37.370113,14.888161,28.6,19.9
TCU_SUNNER_ID_129,TCU_SUNNER_ID_130,,,,,81.2,19,diagonal,TK1403,TK1404,129,130,37.369397,14.888981,37.370071,14.888624,26.4,22.2
TCU_SUNNER_ID_073,TCU_SUNNER_ID_122,,,,,90.1,48,diagonal,TK0343,TK1118,73,122,37.366244,14.888627,37.36656,14.887689,22.8,16.6
TCU_SUNNER_ID_084,TCU_SUNNER_ID_128,,,,,93.5,56,filas,TK0409,TK1377,84,128,37.368812,14.88839,37.36882,14.887334,21.4,16.0
TCU_SUNNER_ID_089,TCU_SUNNER_ID_092,,,,,99.7,0,eje,TK0414,TK0972,89,92,37.368744,14.888982,37.367846,14.888989,43.1,43.1
TCU_SUNNER_ID_019,TCU_SUNNER_ID_041,,,,,104.8,58,filas,TK0289,TK0311,19,41,37.367548,14.886495,37.367549,14.887678,19.4,8.3
TCU_SUNNER_ID_043,TCU_SUNNER_ID_120,,,,,109.7,0,eje,TK0313,TK1116,43,120,37.367549,14.887915,37.36656,14.887926,41.5,41.5
TCU_SUNNER_ID_029,TCU_SUNNER_ID_057,,,,,111.1,58,diagonal,TK0299,TK0327,29,57,37.366895,14.886259,37.366564,14.887443,18.5,7.8
TCU_SUNNER_ID_001,TCU_SUNNER_ID_013,,,,,125.8,55,filas,TK0271,TK0283,1,13,37.367546,14.884364,37.367547,14.885785,15.6,5.7
TCU_SUNNER_ID_082,TCU_SUNNER_ID_092,,,,,130.3,45,diagonal,TK0407,TK0972,82,92,37.368812,14.888153,37.367846,14.888989,15.2,6.0
TCU_SUNNER_ID_047,TCU_SUNNER_ID_084,,,,,140.1,0,eje,TK0317,TK0409,47,84,37.367549,14.888388,37.368812,14.88839,37.4,37.4
TCU_SUNNER_ID_033,TCU_SUNNER_ID_100,,,,,144.3,0,eje,TK0303,TK1077,33,100,37.366895,14.886732,37.368196,14.88674,36.9,36.9
TCU_SUNNER_ID_051,TCU_SUNNER_ID_074,,,,,145.2,6,diagonal,TK0321,TK0344,51,74,37.36755,14.888862,37.366244,14.888745,25.1,14.2
TCU_SUNNER_ID_019,TCU_SUNNER_ID_045,,,,,146.7,84,filas,TK0289,TK0315,19,45,37.367548,14.886495,37.367549,14.888152,11.5,2.2
TCU_SUNNER_ID_088,TCU_SUNNER_ID_139,,,,,160.5,75,diagonal,TK0413,TK1429,88,139,37.368766,14.888863,37.36787,14.887441,10.0,3.1
TCU_SUNNER_ID_053,TCU_SUNNER_ID_090,,,,,161.1,0,eje,TK0323,TK0415,53,90,37.36755,14.889098,37.369002,14.8891,35.1,35.1
TCU_SUNNER_ID_001,TCU_SUNNER_ID_017,,,,,167.7,76,filas,TK0271,TK0287,1,17,37.367546,14.884364,37.367547,14.886258,9.6,0.9
TCU_SUNNER_ID_026,TCU_SUNNER_ID_061,,,,,178.2,99,filas,TK0296,TK0331,26,61,37.366894,14.885904,37.366896,14.887916,8.1,-0.7
TCU_SUNNER_ID_056,TCU_SUNNER_ID_099,,,,,185.7,20,diagonal,TK0326,TK1076,56,99,37.366564,14.887325,37.368196,14.886858,9.6,9.5
TCU_SUNNER_ID_027,TCU_SUNNER_ID_064,,,,,199.1,112,filas,TK0297,TK0334,27,64,37.366895,14.886022,37.366897,14.888271,6.0,-2.4
TCU_SUNNER_ID_070,TCU_SUNNER_ID_089,,,,,204.9,0,eje,TK0340,TK0414,70,89,37.366897,14.888981,37.368744,14.888982,31.0,31.0
TCU_SUNNER_ID_061,TCU_SUNNER_ID_126,,,,,212.5,0,eje,TK0331,TK1231,61,126,37.366896,14.887916,37.368812,14.887916,30.4,30.4
TCU_SUNNER_ID_044,TCU_SUNNER_ID_137,,,,,212.6,116,diagonal,TK0314,TK1427,44,137,37.367549,14.888033,37.367226,14.885667,4.9,-3.5
TCU_SUNNER_ID_038,TCU_SUNNER_ID_115,,,,,229.7,107,filas,TK0308,TK1111,38,115,37.367217,14.887324,37.367248,14.884729,3.2,0.6
TCU_SUNNER_ID_052,TCU_SUNNER_ID_127,,,,,233.0,0,eje,TK0322,TK1375,52,127,37.36755,14.88898,37.36965,14.88899,28.8,28.8
TCU_SUNNER_ID_069,TCU_SUNNER_ID_090,,,,,234.5,11,diagonal,TK0339,TK0415,69,90,37.366897,14.888863,37.369002,14.8891,3.9,5.5
TCU_SUNNER_ID_083,TCU_SUNNER_ID_111,,,,,260.0,135,diagonal,TK0408,TK1088,83,111,37.368812,14.888271,37.368195,14.885438,0.8,-0.9
TCU_SUNNER_ID_039,TCU_SUNNER_ID_117,,,,,261.2,128,filas,TK0309,TK1113,39,117,37.367217,14.887442,37.367248,14.884493,0.7,-1.9
TCU_SUNNER_ID_005,TCU_SUNNER_ID_043,,,,,272.5,139,filas,TK0275,TK0313,5,43,37.367584,14.884838,37.367549,14.887915,-0.1,-7.9
TCU_SUNNER_ID_070,TCU_SUNNER_ID_129,,,,,277.3,0,eje,TK0340,TK1403,70,129,37.366897,14.888981,37.369397,14.888981,25.8,25.8
TCU_SUNNER_ID_114,TCU_SUNNER_ID_128,,,,,280.9,105,diagonal,TK1110,TK1377,114,128,37.367248,14.884848,37.36882,14.887334,-0.7,-2.3
TCU_SUNNER_ID_045,TCU_SUNNER_ID_134,,,,,284.4,0,eje,TK0315,TK1409,45,134,37.367549,14.888152,37.370113,14.888161,25.4,25.4
TCU_SUNNER_ID_012,TCU_SUNNER_ID_092,,,,,294.3,169,filas,TK0282,TK0972,12,92,37.367878,14.885666,37.367846,14.888989,-2.0,-11.4
TCU_SUNNER_ID_030,TCU_SUNNER_ID_088,,,,,302.6,128,diagonal,TK0300,TK0413,30,88,37.366895,14.886377,37.368766,14.888863,-2.0,-7.2
TCU_SUNNER_ID_068,TCU_SUNNER_ID_098,,,,,305.4,0,eje,TK0338,TK1048,68,98,37.366897,14.888744,37.36965,14.888753,24.2,24.2
TCU_SUNNER_ID_097,TCU_SUNNER_ID_120,,,,,321.7,0,eje,TK1047,TK1116,97,120,37.36946,14.887925,37.36656,14.887926,23.3,23.3
TCU_SUNNER_ID_007,TCU_SUNNER_ID_050,,,,,324.9,172,filas,TK0277,TK0320,7,50,37.367584,14.885074,37.36755,14.888743,-3.7,-5.7
TCU_SUNNER_ID_093,TCU_SUNNER_ID_111,,,,,327.2,182,diagonal,TK0973,TK1088,93,111,37.367846,14.889108,37.368195,14.885438,-3.8,-8.0
TCU_SUNNER_ID_007,TCU_SUNNER_ID_077,,,,,360.1,154,diagonal,TK0277,TK0401,7,77,37.367584,14.885074,37.369465,14.888389,-5.3,-5.8
TCU_SUNNER_ID_001,TCU_SUNNER_ID_048,,,,,366.8,190,filas,TK0271,TK0318,1,48,37.367546,14.884364,37.36755,14.888507,-5.9,-12.7
TCU_SUNNER_ID_001,TCU_SUNNER_ID_049,,,,,377.3,197,filas,TK0271,TK0319,1,49,37.367546,14.884364,37.36755,14.888625,-6.4,-13.4
TCU_SUNNER_ID_005,TCU_SUNNER_ID_077,,,,,377.4,164,diagonal,TK0275,TK0401,5,77,37.367584,14.884838,37.369465,14.888389,-6.3,-11.9
TCU_SUNNER_ID_074,TCU_SUNNER_ID_098,,,,,377.8,0,eje,TK0344,TK1048,74,98,37.366244,14.888745,37.36965,14.888753,20.5,20.5
TCU_SUNNER_ID_002,TCU_SUNNER_ID_051,,,,,387.8,205,filas,TK0272,TK0321,2,51,37.367546,14.884483,37.36755,14.888862,-7.0,-14.2
TCU_SUNNER_ID_074,TCU_SUNNER_ID_080,,,,,389.0,0,eje,TK0344,TK0404,74,80,37.366244,14.888745,37.36975,14.888743,20.0,20.0
TCU_SUNNER_ID_068,TCU_SUNNER_ID_075,,,,,389.0,0,eje,TK0338,TK0394,68,75,37.366897,14.888744,37.370403,14.888742,20.0,20.0
TCU_SUNNER_ID_094,TCU_SUNNER_ID_131,,,,,389.4,0,eje,TK0974,TK1405,94,131,37.367214,14.888872,37.370724,14.88886,20.0,20.0
TCU_SUNNER_ID_004,TCU_SUNNER_ID_054,,,,,398.3,212,filas,TK0274,TK0324,4,54,37.367584,14.884719,37.36755,14.889217,-7.4,-14.8
TCU_SUNNER_ID_009,TCU_SUNNER_ID_127,,,,,398.3,181,diagonal,TK0279,TK1375,9,127,37.367585,14.885311,37.36965,14.88899,-7.4,-8.9
TCU_SUNNER_ID_028,TCU_SUNNER_ID_076,,,,,426.9,139,diagonal,TK0298,TK0395,28,76,37.366895,14.886141,37.370072,14.888861,-8.8,-11.9
