node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,37.378198,14.894859,TK0001,TCU,radio,1,1,1
TCU_SUNNER_ID_002,37.378199,14.894978,TK0002,TCU,radio,1,1,2
TCU_SUNNER_ID_003,37.378199,14.895096,TK0003,TCU,radio,1,1,3
TCU_SUNNER_ID_004,37.378199,14.895214,TK0004,TCU,radio,1,1,4
TCU_SUNNER_ID_005,37.378199,14.895333,TK0005,TCU,radio,1,1,5
TCU_SUNNER_ID_006,37.378405,14.895451,TK0006,TCU,radio,1,1,6
TCU_SUNNER_ID_007,37.378405,14.895569,TK0007,TCU,radio,1,1,7
TCU_SUNNER_ID_008,37.378405,14.895687,TK0008,TCU,radio,1,1,8
TCU_SUNNER_ID_009,37.378405,14.895806,TK0009,TCU,radio,1,1,9
TCU_SUNNER_ID_010,37.378004,14.894386,TK0010,TCU,radio,1,1,10
TCU_SUNNER_ID_011,37.378004,14.894504,TK0011,TCU,radio,1,1,11
TCU_SUNNER_ID_012,37.377672,14.894623,TK0012,TCU,radio,1,1,12
TCU_SUNNER_ID_013,37.377546,14.89486,TK0013,TCU,radio,1,1,13
TCU_SUNNER_ID_014,37.377546,14.894978,TK0014,TCU,radio,1,1,14
TCU_SUNNER_ID_015,37.377546,14.895097,TK0015,TCU,radio,1,1,15
TCU_SUNNER_ID_016,37.377546,14.895215,TK0016,TCU,radio,1,1,16
TCU_SUNNER_ID_017,37.377546,14.895334,TK0017,TCU,radio,1,1,17
TCU_SUNNER_ID_018,37.377752,14.895452,TK0018,TCU,radio,1,1,18
TCU_SUNNER_ID_019,37.377752,14.89557,TK0019,TCU,radio,1,1,19
TCU_SUNNER_ID_020,37.377752,14.895688,TK0020,TCU,radio,1,1,20
TCU_SUNNER_ID_021,37.377752,14.895807,TK0021,TCU,radio,1,1,21
TCU_SUNNER_ID_022,37.377099,14.895453,TK0022,TCU,radio,1,1,22
TCU_SUNNER_ID_023,37.377099,14.895571,TK0023,TCU,radio,1,1,23
TCU_SUNNER_ID_024,37.377099,14.895689,TK0024,TCU,radio,1,1,24
TCU_SUNNER_ID_025,37.377099,14.895808,TK0025,TCU,radio,1,1,25
TCU_SUNNER_ID_026,37.376447,14.895809,TK0026,TCU,radio,1,1,26
TCU_SUNNER_ID_027,37.376763,14.895344,TK0027,TCU,radio,1,1,27
TCU_SUNNER_ID_028,37.37721,14.894989,TK0028,TCU,radio,1,1,28
TCU_SUNNER_ID_029,37.37721,14.89487,TK0029,TCU,radio,1,1,29
TCU_SUNNER_ID_030,37.37832,14.894277,TK0030,TCU,radio,1,1,30
TCU_SUNNER_ID_031,37.378237,14.893922,TK0031,TCU,radio,1,1,31
TCU_SUNNER_ID_032,37.376936,14.891524,TK0420,TCU,radio,1,1,32
TCU_SUNNER_ID_033,37.376936,14.891642,TK0421,TCU,radio,1,1,33
TCU_SUNNER_ID_034,37.376936,14.89176,TK0422,TCU,radio,1,1,34
TCU_SUNNER_ID_035,37.376937,14.891879,TK0423,TCU,radio,1,1,35
TCU_SUNNER_ID_036,37.3766,14.891998,TK0424,TCU,radio,1,1,36
TCU_SUNNER_ID_037,37.376937,14.892471,TK0425,TCU,radio,1,1,37
TCU_SUNNER_ID_038,37.376937,14.892589,TK0426,TCU,radio,1,1,38
TCU_SUNNER_ID_039,37.376937,14.892707,TK0427,TCU,radio,1,1,39
TCU_SUNNER_ID_040,37.376937,14.892826,TK0428,TCU,radio,1,1,40
TCU_SUNNER_ID_041,37.376937,14.892944,TK0429,TCU,radio,1,1,41
TCU_SUNNER_ID_042,37.376261,14.891288,TK0438,TCU,radio,1,1,42
TCU_SUNNER_ID_043,37.376284,14.891525,TK0439,TCU,radio,1,1,43
TCU_SUNNER_ID_044,37.376284,14.891643,TK0440,TCU,radio,1,1,44
TCU_SUNNER_ID_045,37.376284,14.891761,TK0441,TCU,radio,1,1,45
TCU_SUNNER_ID_046,37.376284,14.89188,TK0442,TCU,radio,1,1,46
TCU_SUNNER_ID_047,37.375948,14.891999,TK0443,TCU,radio,1,1,47
TCU_SUNNER_ID_048,37.376284,14.892472,TK0444,TCU,radio,1,1,48
TCU_SUNNER_ID_049,37.376284,14.89259,TK0445,TCU,radio,1,1,49
TCU_SUNNER_ID_050,37.376285,14.892708,TK0446,TCU,radio,1,1,50
TCU_SUNNER_ID_051,37.376285,14.892827,TK0447,TCU,radio,1,1,51
TCU_SUNNER_ID_052,37.376285,14.892945,TK0448,TCU,radio,1,1,52
TCU_SUNNER_ID_053,37.375627,14.892591,TK0449,TCU,radio,1,1,53
TCU_SUNNER_ID_054,37.375627,14.892709,TK0450,TCU,radio,1,1,54
TCU_SUNNER_ID_055,37.375627,14.892828,TK0451,TCU,radio,1,1,55
TCU_SUNNER_ID_056,37.375628,14.892946,TK0452,TCU,radio,1,1,56
TCU_SUNNER_ID_057,37.376846,14.893202,TK0453,TCU,radio,1,1,57
TCU_SUNNER_ID_058,37.37697,14.893793,TK0454,TCU,radio,1,1,58
TCU_SUNNER_ID_059,37.37697,14.893912,TK0455,TCU,radio,1,1,59
TCU_SUNNER_ID_060,37.37697,14.89403,TK0456,TCU,radio,1,1,60
TCU_SUNNER_ID_061,37.376971,14.894149,TK0457,TCU,radio,1,1,61
TCU_SUNNER_ID_062,37.376971,14.894267,TK0458,TCU,radio,1,1,62
TCU_SUNNER_ID_063,37.376193,14.893203,TK0459,TCU,radio,1,1,63
TCU_SUNNER_ID_064,37.376193,14.893321,TK0460,TCU,radio,1,1,64
TCU_SUNNER_ID_065,37.376193,14.893439,TK0461,TCU,radio,1,1,65
TCU_SUNNER_ID_066,37.376193,14.893558,TK0462,TCU,radio,1,1,66
TCU_SUNNER_ID_067,37.376193,14.893676,TK0463,TCU,radio,1,1,67
TCU_SUNNER_ID_068,37.376318,14.893794,TK0464,TCU,radio,1,1,68
TCU_SUNNER_ID_069,37.376318,14.893913,TK0465,TCU,radio,1,1,69
TCU_SUNNER_ID_070,37.376318,14.894031,TK0466,TCU,radio,1,1,70
TCU_SUNNER_ID_071,37.376318,14.894149,TK0467,TCU,radio,1,1,71
TCU_SUNNER_ID_072,37.376318,14.894268,TK0468,TCU,radio,1,1,72
TCU_SUNNER_ID_073,37.37665,14.894386,TK0469,TCU,radio,1,1,73
TCU_SUNNER_ID_074,37.37554,14.893204,TK0470,TCU,radio,1,1,74
TCU_SUNNER_ID_075,37.37554,14.893322,TK0471,TCU,radio,1,1,75
TCU_SUNNER_ID_076,37.37554,14.89344,TK0472,TCU,radio,1,1,76
TCU_SUNNER_ID_077,37.375541,14.893559,TK0473,TCU,radio,1,1,77
TCU_SUNNER_ID_078,37.375541,14.893677,TK0474,TCU,radio,1,1,78
TCU_SUNNER_ID_079,37.375665,14.893795,TK0475,TCU,radio,1,1,79
TCU_SUNNER_ID_080,37.375665,14.893914,TK0476,TCU,radio,1,1,80
TCU_SUNNER_ID_081,37.375665,14.894032,TK0477,TCU,radio,1,1,81
TCU_SUNNER_ID_082,37.375665,14.89415,TK0478,TCU,radio,1,1,82
TCU_SUNNER_ID_083,37.375665,14.894269,TK0479,TCU,radio,1,1,83
TCU_SUNNER_ID_084,37.375997,14.894387,TK0480,TCU,radio,1,1,84
TCU_SUNNER_ID_085,37.375344,14.894506,TK0481,TCU,radio,1,1,85
TCU_SUNNER_ID_086,37.375345,14.894624,TK0482,TCU,radio,1,1,86
TCU_SUNNER_ID_087,37.375666,14.894742,TK0483,TCU,radio,1,1,87
TCU_SUNNER_ID_088,37.375666,14.894861,TK0484,TCU,radio,1,1,88
TCU_SUNNER_ID_089,37.375666,14.894979,TK0485,TCU,radio,1,1,89
TCU_SUNNER_ID_090,37.375666,14.895097,TK0486,TCU,radio,1,1,90
TCU_SUNNER_ID_091,37.375666,14.895216,TK0487,TCU,radio,1,1,91
TCU_SUNNER_ID_092,37.375666,14.895334,TK0488,TCU,radio,1,1,92
TCU_SUNNER_ID_093,37.375013,14.894743,TK0489,TCU,radio,1,1,93
TCU_SUNNER_ID_094,37.375013,14.894862,TK0490,TCU,radio,1,1,94
TCU_SUNNER_ID_095,37.375013,14.89498,TK0491,TCU,radio,1,1,95
TCU_SUNNER_ID_096,37.375013,14.895098,TK0492,TCU,radio,1,1,96
TCU_SUNNER_ID_097,37.375013,14.895217,TK0493,TCU,radio,1,1,97
TCU_SUNNER_ID_098,37.375014,14.895335,TK0494,TCU,radio,1,1,98
TCU_SUNNER_ID_099,37.375169,14.895453,TK0495,TCU,radio,1,1,99
TCU_SUNNER_ID_100,37.375329,14.89345,TK1031,TCU,radio,1,1,100
TCU_SUNNER_ID_101,37.375329,14.893569,TK1032,TCU,radio,1,1,101
TCU_SUNNER_ID_102,37.375329,14.893687,TK1033,TCU,radio,1,1,102
TCU_SUNNER_ID_103,37.375329,14.893805,TK1034,TCU,radio,1,1,103
TCU_SUNNER_ID_104,37.375329,14.893924,TK1035,TCU,radio,1,1,104
TCU_SUNNER_ID_105,37.377742,14.892381,TK1142,TCU,radio,1,1,105
TCU_SUNNER_ID_106,37.377742,14.8925,TK1143,TCU,radio,1,1,106
TCU_SUNNER_ID_107,37.377742,14.892618,TK1144,TCU,radio,1,1,107
TCU_SUNNER_ID_108,37.377742,14.892736,TK1145,TCU,radio,1,1,108
TCU_SUNNER_ID_109,37.377742,14.892855,TK1146,TCU,radio,1,1,109
TCU_SUNNER_ID_110,37.377742,14.892973,TK1147,TCU,radio,1,1,110
TCU_SUNNER_ID_111,37.377742,14.893091,TK1148,TCU,radio,1,1,111
TCU_SUNNER_ID_112,37.375943,14.891535,TK1149,TCU,radio,1,1,112
TCU_SUNNER_ID_113,37.375943,14.891416,TK1150,TCU,radio,1,1,113
TCU_SUNNER_ID_114,37.375943,14.891298,TK1151,TCU,radio,1,1,114
TCU_SUNNER_ID_115,37.375943,14.89118,TK1152,TCU,radio,1,1,115
TCU_SUNNER_ID_116,37.376314,14.894751,TK1203,TCU,radio,1,1,116
TCU_SUNNER_ID_117,37.375817,14.895107,TK1353,TCU,radio,1,1,117
TCU_SUNNER_ID_118,37.376314,14.894514,TK1354,TCU,radio,1,1,118
TCU_SUNNER_ID_119,37.376314,14.894396,TK1355,TCU,radio,1,1,119
TCU_SUNNER_ID_120,37.376763,14.895226,TK1356,TCU,radio,1,1,120
TCU_SUNNER_ID_121,37.376314,14.894633,TK1411,TCU,radio,1,1,121
TCU_SUNNER_ID_122,37.376841,14.892975,TK1412,TCU,radio,1,1,122
TCU_SUNNER_ID_123,37.376841,14.893093,TK1413,TCU,radio,1,1,123
TCU_SUNNER_ID_124,37.376841,14.893211,TK1414,TCU,radio,1,1,124
TCU_SUNNER_ID_125,37.376841,14.89333,TK1415,TCU,radio,1,1,125
TCU_SUNNER_ID_126,37.375944,14.892127,TK1416,TCU,radio,1,1,126
TCU_SUNNER_ID_127,37.376601,14.892353,TK1417,TCU,radio,1,1,127
TCU_SUNNER_ID_128,37.375948,14.892354,TK1418,TCU,radio,1,1,128
TCU_SUNNER_ID_129,37.376601,14.892234,TK1419,TCU,radio,1,1,129
TCU_SUNNER_ID_130,37.375948,14.892235,TK1420,TCU,radio,1,1,130
TCU_SUNNER_ID_131,37.376601,14.892116,TK1421,TCU,radio,1,1,131
TCU_SUNNER_ID_132,37.375948,14.892117,TK1422,TCU,radio,1,1,132
TCU_SUNNER_ID_133,37.376647,14.891406,TK1423,TCU,radio,1,1,133
