node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,37.370758,14.883619,TK0145,TCU,radio,5,5,1
TCU_SUNNER_ID_002,37.370762,14.883737,TK0146,TCU,radio,5,5,2
TCU_SUNNER_ID_003,37.370762,14.883856,TK0147,TCU,radio,5,5,3
TCU_SUNNER_ID_004,37.370762,14.883974,TK0148,TCU,radio,5,5,4
TCU_SUNNER_ID_005,37.370762,14.884092,TK0149,TCU,radio,5,5,5
TCU_SUNNER_ID_006,37.370762,14.884211,TK0150,TCU,radio,5,5,6
TCU_SUNNER_ID_007,37.370762,14.884329,TK0151,TCU,radio,5,5,7
TCU_SUNNER_ID_008,37.370762,14.884447,TK0152,TCU,radio,5,5,8
TCU_SUNNER_ID_009,37.370763,14.884566,TK0153,TCU,radio,5,5,9
TCU_SUNNER_ID_010,37.369468,14.882084,TK0154,TCU,radio,5,5,10
TCU_SUNNER_ID_011,37.369468,14.882202,TK0155,TCU,radio,5,5,11
TCU_SUNNER_ID_012,37.369633,14.88232,TK0156,TCU,radio,5,5,12
TCU_SUNNER_ID_013,37.369633,14.882438,TK0157,TCU,radio,5,5,13
TCU_SUNNER_ID_014,37.369633,14.882557,TK0158,TCU,radio,5,5,14
TCU_SUNNER_ID_015,37.369633,14.882675,TK0159,TCU,radio,5,5,15
TCU_SUNNER_ID_016,37.369634,14.882794,TK0160,TCU,radio,5,5,16
TCU_SUNNER_ID_017,37.369634,14.882912,TK0161,TCU,radio,5,5,17
TCU_SUNNER_ID_018,37.369634,14.88303,TK0162,TCU,radio,5,5,18
TCU_SUNNER_ID_019,37.369634,14.883149,TK0163,TCU,radio,5,5,19
TCU_SUNNER_ID_020,37.369634,14.883267,TK0164,TCU,radio,5,5,20
TCU_SUNNER_ID_021,37.369634,14.883385,TK0165,TCU,radio,5,5,21
TCU_SUNNER_ID_022,37.369634,14.883504,TK0166,TCU,radio,5,5,22
