origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_095,TCU_SUNNER_ID_101,,,,,14.0,3,filas,TK095,TK101,95,101,42.3212,-5.60035,42.321204,-5.600181,66.3,39.2
TCU_SUNNER_ID_070,TCU_SUNNER_ID_076,,,,,14.0,2,filas,TK070,TK076,70,76,42.319417,-5.599597,42.320064,-5.600898,66.3,48.4
TCU_SUNNER_ID_026,TCU_SUNNER_ID_032,,,,,21.0,8,filas,TK026,TK032,26,32,42.31936,-5.602143,42.319365,-5.601889,65.0,36.7
TCU_SUNNER_ID_111,TCU_SUNNER_ID_117,,,,,21.0,5,filas,TK111,TK117,111,117,42.32065,-5.599818,42.320656,-5.599564,65.0,37.8
TCU_SUNNER_ID_061,TCU_SUNNER_ID_073,,,,,28.0,7,filas,TK061,TK073,61,73,42.3194,-5.600361,42.320062,-5.600983,62.2,32.9
TCU_SUNNER_ID_032,TCU_SUNNER_ID_044,,,,,35.0,14,filas,TK032,TK044,32,44,42.319365,-5.601889,42.319377,-5.60138,59.3,30.9
TCU_SUNNER_ID_044,TCU_SUNNER_ID_058,,,,,40.3,12,filas,TK044,TK058,44,58,42.319377,-5.60138,42.319394,-5.600616,57.4,27.3
NCU 3,TCU_SUNNER_ID_053,,,,,44.2,1,eje,NCU 3,TK053,,53,,,42.31884,-5.600945,50.1,40.3
NCU 3,TCU_SUNNER_ID_055,,,,,45.1,3,diagonal,NCU 3,TK055,,55,,,42.319388,-5.60087,51.8,32.1
TCU_SUNNER_ID_004,TCU_SUNNER_ID_018,,,,,49.0,14,filas,TK004,TK018,4,18,42.319336,-5.603162,42.319352,-5.602483,54.5,26.4
TCU_SUNNER_ID_021,TCU_SUNNER_ID_037,,,,,56.0,23,filas,TK021,TK037,21,37,42.318809,-5.602303,42.318824,-5.601624,52.4,20.2
TCU_SUNNER_ID_089,TCU_SUNNER_ID_090,,,,,62.4,0,eje,TK089,TK090,89,90,42.321196,-5.60052,42.320635,-5.600497,50.7,50.7
TCU_SUNNER_ID_029,TCU_SUNNER_ID_030,,,,,62.4,0,eje,TK029,TK030,29,30,42.318816,-5.601963,42.319363,-5.601974,50.7,50.7
TCU_SUNNER_ID_040,TCU_SUNNER_ID_042,,,,,62.8,2,eje,TK040,TK042,40,42,42.319373,-5.601549,42.319375,-5.601464,50.6,33.6
TCU_SUNNER_ID_069,TCU_SUNNER_ID_071,,,,,62.8,1,eje,TK069,TK071,69,71,42.319415,-5.599682,42.319419,-5.599513,50.6,41.5
TCU_SUNNER_ID_092,TCU_SUNNER_ID_096,,,,,62.8,1,eje,TK092,TK096,92,96,42.321198,-5.600435,42.320639,-5.600327,50.4,42.4
TCU_SUNNER_ID_040,TCU_SUNNER_ID_063,,,,,63.0,20,filas,TK040,TK063,40,63,42.319373,-5.601549,42.319404,-5.600191,32.4,18.3
TCU_SUNNER_ID_024,TCU_SUNNER_ID_029,,,,,65.3,7,diagonal,TK024,TK029,24,29,42.319358,-5.602228,42.318816,-5.601963,36.3,25.2
