node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_080,42.322382,-5.597802,TK080,TCU,radio,1,2,80
TCU_SUNNER_ID_081,42.321821,-5.597779,TK081,TCU,radio,1,2,81
TCU_SUNNER_ID_082,42.322384,-5.597717,TK082,TCU,radio,1,2,82
TCU_SUNNER_ID_083,42.321822,-5.597694,TK083,TCU,radio,1,2,83
TCU_SUNNER_ID_084,42.322386,-5.597633,TK084,TCU,radio,1,2,84
TCU_SUNNER_ID_085,42.321824,-5.597609,TK085,TCU,radio,1,2,85
TCU_SUNNER_ID_086,42.321263,-5.597586,TK086,TCU,radio,1,2,86
TCU_SUNNER_ID_087,42.322388,-5.597548,TK087,TCU,radio,1,2,87
TCU_SUNNER_ID_088,42.321826,-5.597525,TK088,TCU,radio,1,2,88
TCU_SUNNER_ID_089,42.321265,-5.597501,TK089,TCU,radio,1,2,89
TCU_SUNNER_ID_090,42.32239,-5.597463,TK090,TCU,radio,1,2,90
TCU_SUNNER_ID_091,42.321828,-5.59744,TK091,TCU,radio,1,2,91
TCU_SUNNER_ID_092,42.321267,-5.597417,TK092,TCU,radio,1,2,92
TCU_SUNNER_ID_093,42.322392,-5.597378,TK093,TCU,radio,1,2,93
TCU_SUNNER_ID_094,42.32183,-5.597355,TK094,TCU,radio,1,2,94
TCU_SUNNER_ID_095,42.321269,-5.597332,TK095,TCU,radio,1,2,95
TCU_SUNNER_ID_096,42.322394,-5.597293,TK096,TCU,radio,1,2,96
TCU_SUNNER_ID_097,42.321832,-5.59727,TK097,TCU,radio,1,2,97
TCU_SUNNER_ID_098,42.321271,-5.597247,TK098,TCU,radio,1,2,98
TCU_SUNNER_ID_099,42.322396,-5.597208,TK099,TCU,radio,1,2,99
TCU_SUNNER_ID_100,42.321834,-5.597185,TK100,TCU,radio,1,2,100
TCU_SUNNER_ID_101,42.321273,-5.597162,TK101,TCU,radio,1,2,101
TCU_SUNNER_ID_102,42.322397,-5.597123,TK102,TCU,radio,1,2,102
TCU_SUNNER_ID_103,42.321836,-5.5971,TK103,TCU,radio,1,2,103
TCU_SUNNER_ID_104,42.321274,-5.597077,TK104,TCU,radio,1,2,104
TCU_SUNNER_ID_105,42.322399,-5.597038,TK105,TCU,radio,1,2,105
TCU_SUNNER_ID_106,42.321838,-5.597015,TK106,TCU,radio,1,2,106
TCU_SUNNER_ID_107,42.321276,-5.596992,TK107,TCU,radio,1,2,107
TCU_SUNNER_ID_108,42.322401,-5.596954,TK108,TCU,radio,1,2,108
TCU_SUNNER_ID_109,42.32184,-5.59693,TK109,TCU,radio,1,2,109
TCU_SUNNER_ID_110,42.321278,-5.596907,TK110,TCU,radio,1,2,110
TCU_SUNNER_ID_111,42.322403,-5.596869,TK111,TCU,radio,1,2,111
TCU_SUNNER_ID_112,42.321842,-5.596846,TK112,TCU,radio,1,2,112
TCU_SUNNER_ID_113,42.32128,-5.596822,TK113,TCU,radio,1,2,113
TCU_SUNNER_ID_114,42.322405,-5.596784,TK114,TCU,radio,1,2,114
TCU_SUNNER_ID_115,42.321844,-5.596761,TK115,TCU,radio,1,2,115
TCU_SUNNER_ID_116,42.321282,-5.596738,TK116,TCU,radio,1,2,116
TCU_SUNNER_ID_117,42.322407,-5.596699,TK117,TCU,radio,1,2,117
TCU_SUNNER_ID_118,42.321846,-5.596676,TK118,TCU,radio,1,2,118
TCU_SUNNER_ID_119,42.321284,-5.596653,TK119,TCU,radio,1,2,119
TCU_SUNNER_ID_120,42.322409,-5.596614,TK120,TCU,radio,1,2,120
TCU_SUNNER_ID_052,42.321171,-5.601623,TK052,TCU,radio,3,2,52
TCU_SUNNER_ID_053,42.32061,-5.6016,TK053,TCU,radio,3,2,53
TCU_SUNNER_ID_054,42.321173,-5.601539,TK054,TCU,radio,3,2,54
TCU_SUNNER_ID_055,42.320612,-5.601515,TK055,TCU,radio,3,2,55
TCU_SUNNER_ID_056,42.321175,-5.601454,TK056,TCU,radio,3,2,56
TCU_SUNNER_ID_057,42.320614,-5.601431,TK057,TCU,radio,3,2,57
TCU_SUNNER_ID_058,42.320052,-5.601407,TK058,TCU,radio,3,2,58
TCU_SUNNER_ID_059,42.321177,-5.601369,TK059,TCU,radio,3,2,59
TCU_SUNNER_ID_060,42.320616,-5.601346,TK060,TCU,radio,3,2,60
TCU_SUNNER_ID_061,42.320054,-5.601323,TK061,TCU,radio,3,2,61
