node_id,lat,lon,etiqueta,rol,enlace,ncu,gw
TCU_SUNNER_ID_001,42.321755,-5.600665,TK001,TCU,radio,1,1
TCU_SUNNER_ID_002,42.321757,-5.60058,TK002,TCU,radio,1,1
TCU_SUNNER_ID_003,42.321759,-5.600495,TK003,TCU,radio,1,1
TCU_SUNNER_ID_004,42.321761,-5.60041,TK004,TCU,radio,1,1
TCU_SUNNER_ID_005,42.321763,-5.600325,TK005,TCU,radio,1,1
TCU_SUNNER_ID_006,42.321765,-5.60024,TK006,TCU,radio,1,1
TCU_SUNNER_ID_007,42.321767,-5.600155,TK007,TCU,radio,1,1
TCU_SUNNER_ID_008,42.321769,-5.60007,TK008,TCU,radio,1,1
TCU_SUNNER_ID_009,42.321208,-5.600011,TK009,TCU,radio,1,1
TCU_SUNNER_ID_010,42.32177,-5.599986,TK010,TCU,radio,1,1
TCU_SUNNER_ID_011,42.32121,-5.599926,TK011,TCU,radio,1,1
TCU_SUNNER_ID_012,42.321772,-5.599901,TK012,TCU,radio,1,1
TCU_SUNNER_ID_013,42.321212,-5.599841,TK013,TCU,radio,1,1
TCU_SUNNER_ID_014,42.321774,-5.599816,TK014,TCU,radio,1,1
TCU_SUNNER_ID_015,42.321214,-5.599756,TK015,TCU,radio,1,1
TCU_SUNNER_ID_016,42.321776,-5.599731,TK016,TCU,radio,1,1
TCU_SUNNER_ID_017,42.321216,-5.599672,TK017,TCU,radio,1,1
TCU_SUNNER_ID_018,42.321778,-5.599646,TK018,TCU,radio,1,1
TCU_SUNNER_ID_019,42.321218,-5.599587,TK019,TCU,radio,1,1
TCU_SUNNER_ID_020,42.322342,-5.599584,TK020,TCU,radio,1,1
TCU_SUNNER_ID_021,42.32178,-5.599561,TK021,TCU,radio,1,1
TCU_SUNNER_ID_022,42.321219,-5.599502,TK022,TCU,radio,1,1
TCU_SUNNER_ID_023,42.322344,-5.5995,TK023,TCU,radio,1,1
TCU_SUNNER_ID_024,42.321782,-5.599476,TK024,TCU,radio,1,1
TCU_SUNNER_ID_025,42.321221,-5.599417,TK025,TCU,radio,1,1
TCU_SUNNER_ID_026,42.322345,-5.599415,TK026,TCU,radio,1,1
TCU_SUNNER_ID_027,42.321784,-5.599392,TK027,TCU,radio,1,1
TCU_SUNNER_ID_028,42.321223,-5.599332,TK028,TCU,radio,1,1
TCU_SUNNER_ID_029,42.322347,-5.59933,TK029,TCU,radio,1,1
TCU_SUNNER_ID_030,42.321786,-5.599307,TK030,TCU,radio,1,1
TCU_SUNNER_ID_031,42.321225,-5.599247,TK031,TCU,radio,1,1
TCU_SUNNER_ID_032,42.322349,-5.599245,TK032,TCU,radio,1,1
TCU_SUNNER_ID_033,42.321788,-5.599222,TK033,TCU,radio,1,1
TCU_SUNNER_ID_034,42.321227,-5.599162,TK034,TCU,radio,1,1
TCU_SUNNER_ID_035,42.322351,-5.59916,TK035,TCU,radio,1,1
TCU_SUNNER_ID_036,42.32179,-5.599137,TK036,TCU,radio,1,1
TCU_SUNNER_ID_037,42.321229,-5.599077,TK037,TCU,radio,1,1
TCU_SUNNER_ID_038,42.322353,-5.599075,TK038,TCU,radio,1,1
TCU_SUNNER_ID_039,42.321792,-5.599052,TK039,TCU,radio,1,1
TCU_SUNNER_ID_040,42.321231,-5.598993,TK040,TCU,radio,1,1
TCU_SUNNER_ID_041,42.322355,-5.59899,TK041,TCU,radio,1,1
TCU_SUNNER_ID_042,42.321794,-5.598967,TK042,TCU,radio,1,1
TCU_SUNNER_ID_043,42.321233,-5.598908,TK043,TCU,radio,1,1
TCU_SUNNER_ID_044,42.322357,-5.598905,TK044,TCU,radio,1,1
TCU_SUNNER_ID_045,42.321796,-5.598882,TK045,TCU,radio,1,1
TCU_SUNNER_ID_046,42.321235,-5.598823,TK046,TCU,radio,1,1
TCU_SUNNER_ID_047,42.322359,-5.598821,TK047,TCU,radio,1,1
TCU_SUNNER_ID_048,42.321797,-5.598797,TK048,TCU,radio,1,1
TCU_SUNNER_ID_049,42.321237,-5.598738,TK049,TCU,radio,1,1
TCU_SUNNER_ID_050,42.322361,-5.598736,TK050,TCU,radio,1,1
TCU_SUNNER_ID_051,42.321799,-5.598713,TK051,TCU,radio,1,1
TCU_SUNNER_ID_052,42.321239,-5.598653,TK052,TCU,radio,1,1
TCU_SUNNER_ID_053,42.322363,-5.598651,TK053,TCU,radio,1,1
TCU_SUNNER_ID_054,42.321801,-5.598628,TK054,TCU,radio,1,1
TCU_SUNNER_ID_055,42.321241,-5.598568,TK055,TCU,radio,1,1
TCU_SUNNER_ID_056,42.322365,-5.598566,TK056,TCU,radio,1,1
