origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_061,TCU_SUNNER_ID_062,,,,,10.2,1,filas,TK0105,TK0106,61,62,38.840614,-7.001448,38.840659,-7.00155,65.3,53.5
TCU_SUNNER_ID_053,TCU_SUNNER_ID_071,,,,,18.0,3,filas,TK0097,TK0115,53,71,38.840181,-6.999075,38.840185,-6.999283,66.0,39.8
TCU_SUNNER_ID_047,TCU_SUNNER_ID_049,,,,,18.5,3,filas,TK0091,TK0093,47,49,38.840517,-7.00114,38.840559,-7.001346,65.9,39.6
TCU_SUNNER_ID_026,TCU_SUNNER_ID_029,,,,,27.0,5,filas,TK0043,TK0046,26,29,38.84097,-6.998638,38.840965,-6.998328,62.6,36.0
TCU_SUNNER_ID_047,TCU_SUNNER_ID_061,,,,,28.8,5,filas,TK0091,TK0105,47,61,38.840517,-7.00114,38.840614,-7.001448,61.8,35.5
TCU_SUNNER_ID_001,TCU_SUNNER_ID_012,,,,,33.8,1,diagonal,TK0003,TK0029,1,12,38.841292,-7.000289,38.840997,-7.000193,59.8,50.5
TCU_SUNNER_ID_039,TCU_SUNNER_ID_050,,,,,36.0,1,diagonal,TK0083,TK0094,39,50,38.840516,-7.00031,38.840201,-7.000215,59.0,49.7
TCU_SUNNER_ID_054,TCU_SUNNER_ID_058,,,,,36.0,7,filas,TK0098,TK0102,54,58,38.84018,-6.998972,38.840172,-6.998557,58.9,32.2
TCU_SUNNER_ID_001,TCU_SUNNER_ID_013,,,,,37.2,3,diagonal,TK0003,TK0030,1,13,38.841292,-7.000289,38.840995,-7.000089,58.5,34.5
TCU_SUNNER_ID_002,TCU_SUNNER_ID_012,,,,,37.2,3,diagonal,TK0019,TK0029,2,12,38.841294,-7.000392,38.840997,-7.000193,58.5,34.5
TCU_SUNNER_ID_039,TCU_SUNNER_ID_068,,,,,39.2,3,diagonal,TK0083,TK0112,39,68,38.840516,-7.00031,38.840199,-7.000112,57.8,34.0
TCU_SUNNER_ID_061,TCU_SUNNER_ID_065,,,,,40.2,4,filas,TK0105,TK0109,61,65,38.840614,-7.001448,38.840782,-7.001858,57.4,31.8
NCU 1,TCU_SUNNER_ID_073,,,,,41.6,3,diagonal,NCU 1,TK0117,,73,,,38.840196,-6.999904,49.2,37.2
TCU_SUNNER_ID_007,TCU_SUNNER_ID_075,,,,,45.0,9,filas,TK0024,TK0119,7,75,38.841303,-7.00091,38.841313,-7.001429,55.7,29.1
NCU 1,TCU_SUNNER_ID_016,,,,,48.9,1,eje,NCU 1,TK0033,,16,,,38.84099,-6.999779,51.4,42.0
TCU_SUNNER_ID_016,TCU_SUNNER_ID_021,,,,,54.0,13,filas,TK0033,TK0038,16,21,38.84099,-6.999779,38.840979,-6.999157,53.0,23.7
TCU_SUNNER_ID_009,TCU_SUNNER_ID_035,,,,,61.6,4,diagonal,TK0026,TK0057,9,35,38.841306,-7.001118,38.841833,-7.001341,47.0,26.7
TCU_SUNNER_ID_022,TCU_SUNNER_ID_029,,,,,63.0,13,filas,TK0039,TK0046,22,29,38.840977,-6.999053,38.840965,-6.998328,33.9,23.8
NCU 1,TCU_SUNNER_ID_041,,,,,66.7,15,filas,NCU 1,TK0085,,41,,,38.840544,-7.000517,38.5,-10.1
TCU_SUNNER_ID_009,TCU_SUNNER_ID_034,,,,,67.3,0,eje,TK0026,TK0056,9,34,38.841306,-7.001118,38.841913,-7.001132,49.5,49.5
TCU_SUNNER_ID_002,TCU_SUNNER_ID_038,,,,,70.9,14,diagonal,TK0019,TK0082,2,38,38.841294,-7.000392,38.840988,-6.999675,31.3,22.5
TCU_SUNNER_ID_051,TCU_SUNNER_ID_056,,,,,72.8,15,filas,TK0095,TK0100,51,56,38.840092,-6.999597,38.840176,-6.998764,30.1,21.5
TCU_SUNNER_ID_061,TCU_SUNNER_ID_075,,,,,77.7,0,eje,TK0105,TK0119,61,75,38.840614,-7.001448,38.841313,-7.001429,47.2,47.2
TCU_SUNNER_ID_002,TCU_SUNNER_ID_017,,,,,79.0,17,diagonal,TK0019,TK0034,2,17,38.841294,-7.000392,38.840986,-6.999571,28.3,20.6
TCU_SUNNER_ID_005,TCU_SUNNER_ID_041,,,,,85.3,3,diagonal,TK0022,TK0085,5,41,38.841299,-7.000703,38.840544,-7.000517,40.5,23.7
TCU_SUNNER_ID_001,TCU_SUNNER_ID_039,,,,,86.1,0,eje,TK0003,TK0083,1,39,38.841292,-7.000289,38.840516,-7.00031,45.5,45.5
TCU_SUNNER_ID_008,TCU_SUNNER_ID_048,,,,,88.0,3,diagonal,TK0025,TK0092,8,48,38.841304,-7.001014,38.840532,-7.001243,39.8,23.2
TCU_SUNNER_ID_013,TCU_SUNNER_ID_068,,,,,88.4,0,eje,TK0030,TK0112,13,68,38.840995,-7.000089,38.840199,-7.000112,45.1,45.1
TCU_SUNNER_ID_023,TCU_SUNNER_ID_054,,,,,88.4,0,eje,TK0040,TK0098,23,54,38.840976,-6.998949,38.84018,-6.998972,45.1,45.1
TCU_SUNNER_ID_001,TCU_SUNNER_ID_011,,,,,90.0,19,filas,TK0003,TK0028,1,11,38.841292,-7.000289,38.84131,-7.001325,24.7,18.1
TCU_SUNNER_ID_012,TCU_SUNNER_ID_072,,,,,90.2,3,diagonal,TK0029,TK0116,12,72,38.840997,-7.000193,38.840197,-7.000008,39.2,22.9
TCU_SUNNER_ID_041,TCU_SUNNER_ID_062,,,,,90.6,19,filas,TK0085,TK0106,41,62,38.840544,-7.000517,38.840659,-7.00155,24.6,18.0
TCU_SUNNER_ID_048,TCU_SUNNER_ID_050,,,,,96.5,19,diagonal,TK0092,TK0094,48,50,38.840532,-7.001243,38.840201,-7.000215,23.3,17.2
TCU_SUNNER_ID_060,TCU_SUNNER_ID_069,,,,,99.1,21,filas,TK0104,TK0113,60,69,38.840196,-6.998348,38.840188,-6.99949,22.5,16.5
TCU_SUNNER_ID_016,TCU_SUNNER_ID_067,,,,,99.3,0,eje,TK0033,TK0111,16,67,38.84099,-6.999779,38.840095,-6.999804,43.2,43.2
TCU_SUNNER_ID_003,TCU_SUNNER_ID_048,,,,,106.7,13,diagonal,TK0020,TK0092,3,48,38.841295,-7.000496,38.840532,-7.001243,22.4,17.2
TCU_SUNNER_ID_001,TCU_SUNNER_ID_074,,,,,108.0,23,filas,TK0003,TK0118,1,74,38.841292,-7.000289,38.841315,-7.001532,20.4,15.1
TCU_SUNNER_ID_040,TCU_SUNNER_ID_064,,,,,119.0,23,filas,TK0084,TK0108,40,64,38.840543,-7.000413,38.840761,-7.001755,18.2,14.1
NCU 1,TCU_SUNNER_ID_059,,,,,120.1,26,diagonal,NCU 1,TK0103,,59,,,38.840171,-6.998454,26.3,-13.4
TCU_SUNNER_ID_036,TCU_SUNNER_ID_062,,,,,130.9,0,eje,TK0058,TK0106,36,62,38.841835,-7.001445,38.840659,-7.00155,38.6,38.6
