node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,38.841781,-6.99948,TK0001,TCU,radio,2,2,1
TCU_SUNNER_ID_002,38.841779,-6.999376,TK0002,TCU,radio,2,2,2
TCU_SUNNER_ID_003,38.841778,-6.999272,TK0004,TCU,radio,2,2,3
TCU_SUNNER_ID_004,38.841776,-6.999169,TK0005,TCU,radio,2,2,4
TCU_SUNNER_ID_005,38.841774,-6.999065,TK0006,TCU,radio,2,2,5
TCU_SUNNER_ID_006,38.84177,-6.998858,TK0007,TCU,radio,2,2,6
TCU_SUNNER_ID_007,38.841769,-6.998752,TK0008,TCU,radio,2,2,7
TCU_SUNNER_ID_008,38.841767,-6.998648,TK0009,TCU,radio,2,2,8
TCU_SUNNER_ID_009,38.841765,-6.998544,TK0010,TCU,radio,2,2,9
TCU_SUNNER_ID_010,38.841763,-6.998441,TK0011,TCU,radio,2,2,10
TCU_SUNNER_ID_011,38.841761,-6.998337,TK0012,TCU,radio,2,2,11
TCU_SUNNER_ID_012,38.84176,-6.998233,TK0013,TCU,radio,2,2,12
TCU_SUNNER_ID_013,38.841786,-6.999787,TK0014,TCU,radio,2,2,13
TCU_SUNNER_ID_014,38.841785,-6.999683,TK0015,TCU,radio,2,2,14
TCU_SUNNER_ID_015,38.841788,-6.999891,TK0016,TCU,radio,2,2,15
TCU_SUNNER_ID_016,38.84179,-6.999994,TK0017,TCU,radio,2,2,16
TCU_SUNNER_ID_017,38.841792,-7.000098,TK0018,TCU,radio,2,2,17
TCU_SUNNER_ID_018,38.841758,-6.99813,TK0050,TCU,radio,2,2,18
TCU_SUNNER_ID_019,38.841772,-6.998964,TK0051,TCU,radio,2,2,19
TCU_SUNNER_ID_020,38.841761,-6.99707,TK0052,TCU,radio,2,2,20
TCU_SUNNER_ID_021,38.841907,-7.000821,TK0053,TCU,radio,2,2,21
TCU_SUNNER_ID_022,38.841909,-7.000924,TK0054,TCU,radio,2,2,22
TCU_SUNNER_ID_023,38.842207,-6.999468,TK0060,TCU,radio,2,2,23
TCU_SUNNER_ID_024,38.842193,-6.999364,TK0061,TCU,radio,2,2,24
TCU_SUNNER_ID_025,38.842155,-7.000814,TK0062,TCU,radio,2,2,25
TCU_SUNNER_ID_026,38.842145,-7.000918,TK0063,TCU,radio,2,2,26
TCU_SUNNER_ID_027,38.84221,-6.99962,TK0064,TCU,radio,2,2,27
TCU_SUNNER_ID_028,38.8422,-6.999724,TK0065,TCU,radio,2,2,28
TCU_SUNNER_ID_029,38.841783,-6.99958,TK0066,TCU,radio,2,2,29
TCU_SUNNER_ID_030,38.841992,-7.000196,TK0067,TCU,radio,2,2,30
TCU_SUNNER_ID_031,38.841993,-7.0003,TK0068,TCU,radio,2,2,31
TCU_SUNNER_ID_032,38.841995,-7.000403,TK0069,TCU,radio,2,2,32
TCU_SUNNER_ID_033,38.841997,-7.000507,TK0070,TCU,radio,2,2,33
TCU_SUNNER_ID_034,38.841999,-7.000611,TK0071,TCU,radio,2,2,34
TCU_SUNNER_ID_035,38.842001,-7.000714,TK0072,TCU,radio,2,2,35
TCU_SUNNER_ID_036,38.841711,-6.99759,TK0073,TCU,radio,2,2,36
TCU_SUNNER_ID_037,38.841713,-6.997693,TK0074,TCU,radio,2,2,37
TCU_SUNNER_ID_038,38.841714,-6.997797,TK0075,TCU,radio,2,2,38
TCU_SUNNER_ID_039,38.841716,-6.9979,TK0076,TCU,radio,2,2,39
TCU_SUNNER_ID_040,38.841718,-6.998004,TK0077,TCU,radio,2,2,40
TCU_SUNNER_ID_041,38.841704,-6.997175,TK0078,TCU,radio,2,2,41
TCU_SUNNER_ID_042,38.841705,-6.997279,TK0079,TCU,radio,2,2,42
TCU_SUNNER_ID_043,38.841707,-6.997382,TK0080,TCU,radio,2,2,43
TCU_SUNNER_ID_044,38.841709,-6.997486,TK0081,TCU,radio,2,2,44
HSU_02,38.842151,-7.001171,HSU 2,HSU,radio,2,2,
