node_id,lat,lon,etiqueta,rol,enlace,ncu,gw
TCU_SUNNER_ID_069,-16.605784,-71.79393,TR-01_1-069,TCU,radio,1,2
TCU_SUNNER_ID_070,-16.605785,-71.793814,TR-01_1-070,TCU,radio,1,2
TCU_SUNNER_ID_071,-16.605787,-71.793698,TR-01_1-071,TCU,radio,1,2
TCU_SUNNER_ID_072,-16.605789,-71.793582,TR-01_1-072,TCU,radio,1,2
TCU_SUNNER_ID_073,-16.60579,-71.793465,TR-01_1-073,TCU,radio,1,2
TCU_SUNNER_ID_074,-16.605792,-71.793349,TR-01_1-074,TCU,radio,1,2
TCU_SUNNER_ID_075,-16.605793,-71.793234,TR-01_1-075,TCU,radio,1,2
TCU_SUNNER_ID_076,-16.605795,-71.793118,TR-01_1-076,TCU,radio,1,2
TCU_SUNNER_ID_077,-16.605796,-71.793002,TR-01_1-077,TCU,radio,1,2
TCU_SUNNER_ID_078,-16.605798,-71.792886,TR-01_1-078,TCU,radio,1,2
TCU_SUNNER_ID_079,-16.605799,-71.79277,TR-01_1-079,TCU,radio,1,2
TCU_SUNNER_ID_080,-16.605801,-71.792654,TR-01_1-080,TCU,radio,1,2
TCU_SUNNER_ID_081,-16.605803,-71.792537,TR-01_1-081,TCU,radio,1,2
TCU_SUNNER_ID_082,-16.606559,-71.79401,TR-01_1-082,TCU,radio,1,2
TCU_SUNNER_ID_083,-16.606561,-71.793894,TR-01_1-083,TCU,radio,1,2
TCU_SUNNER_ID_084,-16.606563,-71.793778,TR-01_1-084,TCU,radio,1,2
TCU_SUNNER_ID_085,-16.606564,-71.793662,TR-01_1-085,TCU,radio,1,2
TCU_SUNNER_ID_086,-16.606566,-71.793546,TR-01_1-086,TCU,radio,1,2
TCU_SUNNER_ID_087,-16.606567,-71.79343,TR-01_1-087,TCU,radio,1,2
TCU_SUNNER_ID_088,-16.606569,-71.793314,TR-01_1-088,TCU,radio,1,2
TCU_SUNNER_ID_089,-16.60657,-71.793199,TR-01_1-089,TCU,radio,1,2
TCU_SUNNER_ID_090,-16.606572,-71.793082,TR-01_1-090,TCU,radio,1,2
TCU_SUNNER_ID_091,-16.606573,-71.792966,TR-01_1-091,TCU,radio,1,2
TCU_SUNNER_ID_092,-16.606575,-71.79285,TR-01_1-092,TCU,radio,1,2
TCU_SUNNER_ID_093,-16.606577,-71.792734,TR-01_1-093,TCU,radio,1,2
TCU_SUNNER_ID_094,-16.606578,-71.792618,TR-01_1-094,TCU,radio,1,2
TCU_SUNNER_ID_095,-16.606581,-71.792502,TR-01_1-095,TCU,radio,1,2
TCU_SUNNER_ID_096,-16.607238,-71.79402,TR-01_1-096,TCU,radio,1,2
TCU_SUNNER_ID_097,-16.607239,-71.793904,TR-01_1-097,TCU,radio,1,2
TCU_SUNNER_ID_098,-16.607241,-71.793788,TR-01_1-098,TCU,radio,1,2
TCU_SUNNER_ID_099,-16.607242,-71.793672,TR-01_1-099,TCU,radio,1,2
TCU_SUNNER_ID_100,-16.607244,-71.793556,TR-01_1-100,TCU,radio,1,2
TCU_SUNNER_ID_101,-16.607245,-71.79344,TR-01_1-101,TCU,radio,1,2
TCU_SUNNER_ID_102,-16.607247,-71.793324,TR-01_1-102,TCU,radio,1,2
TCU_SUNNER_ID_103,-16.607248,-71.793208,TR-01_1-103,TCU,radio,1,2
TCU_SUNNER_ID_104,-16.60725,-71.793092,TR-01_1-104,TCU,radio,1,2
TCU_SUNNER_ID_105,-16.607252,-71.792976,TR-01_1-105,TCU,radio,1,2
TCU_SUNNER_ID_106,-16.607253,-71.79286,TR-01_1-106,TCU,radio,1,2
TCU_SUNNER_ID_107,-16.607255,-71.792744,TR-01_1-107,TCU,radio,1,2
TCU_SUNNER_ID_108,-16.607256,-71.792628,TR-01_1-108,TCU,radio,1,2
TCU_SUNNER_ID_109,-16.607258,-71.792512,TR-01_1-109,TCU,radio,1,2
TCU_SUNNER_ID_110,-16.607922,-71.793682,TR-01_1-110,TCU,radio,1,2
TCU_SUNNER_ID_111,-16.607924,-71.793566,TR-01_1-111,TCU,radio,1,2
TCU_SUNNER_ID_112,-16.607925,-71.793449,TR-01_1-112,TCU,radio,1,2
TCU_SUNNER_ID_113,-16.607927,-71.793333,TR-01_1-113,TCU,radio,1,2
TCU_SUNNER_ID_114,-16.607928,-71.793218,TR-01_1-114,TCU,radio,1,2
TCU_SUNNER_ID_115,-16.60793,-71.793102,TR-01_1-115,TCU,radio,1,2
TCU_SUNNER_ID_116,-16.607931,-71.792986,TR-01_1-116,TCU,radio,1,2
TCU_SUNNER_ID_117,-16.607933,-71.79287,TR-01_1-117,TCU,radio,1,2
TCU_SUNNER_ID_118,-16.607935,-71.792754,TR-01_1-118,TCU,radio,1,2
TCU_SUNNER_ID_119,-16.607936,-71.792638,TR-01_1-119,TCU,radio,1,2
HSU_01,-16.607707,-71.794265,HSU 1 (US),HSU,radio,1,2
REP_01,-16.606013,-71.794077,REP 1 (SP),REP,radio,1,2
