node_id,lat,lon,etiqueta,rol,ncu,gw
TCU_SUNNER_ID_001,-16.600428,-71.804378,TR-04_1-001,TCU,5,1
TCU_SUNNER_ID_002,-16.600429,-71.804262,TR-04_1-002,TCU,5,1
TCU_SUNNER_ID_003,-16.600431,-71.804146,TR-04_1-003,TCU,5,1
TCU_SUNNER_ID_004,-16.600433,-71.80403,TR-04_1-004,TCU,5,1
TCU_SUNNER_ID_005,-16.600434,-71.803914,TR-04_1-005,TCU,5,1
TCU_SUNNER_ID_006,-16.600436,-71.803798,TR-04_1-006,TCU,5,1
TCU_SUNNER_ID_007,-16.600437,-71.803682,TR-04_1-007,TCU,5,1
TCU_SUNNER_ID_008,-16.600439,-71.803566,TR-04_1-008,TCU,5,1
TCU_SUNNER_ID_009,-16.60044,-71.80345,TR-04_1-009,TCU,5,1
TCU_SUNNER_ID_010,-16.601106,-71.804388,TR-04_1-010,TCU,5,1
TCU_SUNNER_ID_011,-16.601107,-71.804272,TR-04_1-011,TCU,5,1
TCU_SUNNER_ID_012,-16.601109,-71.804156,TR-04_1-012,TCU,5,1
TCU_SUNNER_ID_013,-16.601111,-71.80404,TR-04_1-013,TCU,5,1
TCU_SUNNER_ID_014,-16.601112,-71.803924,TR-04_1-014,TCU,5,1
TCU_SUNNER_ID_015,-16.601114,-71.803808,TR-04_1-015,TCU,5,1
TCU_SUNNER_ID_016,-16.601115,-71.803692,TR-04_1-016,TCU,5,1
TCU_SUNNER_ID_017,-16.601117,-71.803576,TR-04_1-017,TCU,5,1
TCU_SUNNER_ID_018,-16.601118,-71.803459,TR-04_1-018,TCU,5,1
TCU_SUNNER_ID_019,-16.60112,-71.803343,TR-04_1-019,TCU,5,1
TCU_SUNNER_ID_020,-16.601122,-71.803227,TR-04_1-020,TCU,5,1
TCU_SUNNER_ID_021,-16.601123,-71.803111,TR-04_1-021,TCU,5,1
TCU_SUNNER_ID_022,-16.601125,-71.802995,TR-04_1-022,TCU,5,1
TCU_SUNNER_ID_023,-16.601126,-71.802879,TR-04_1-023,TCU,5,1
TCU_SUNNER_ID_024,-16.601128,-71.802763,TR-04_1-024,TCU,5,1
TCU_SUNNER_ID_025,-16.601784,-71.804398,TR-04_1-025,TCU,5,1
TCU_SUNNER_ID_026,-16.601786,-71.804282,TR-04_1-026,TCU,5,1
TCU_SUNNER_ID_027,-16.601787,-71.804166,TR-04_1-027,TCU,5,1
TCU_SUNNER_ID_028,-16.601789,-71.80405,TR-04_1-028,TCU,5,1
TCU_SUNNER_ID_029,-16.60179,-71.803934,TR-04_1-029,TCU,5,1
TCU_SUNNER_ID_030,-16.601792,-71.803818,TR-04_1-030,TCU,5,1
TCU_SUNNER_ID_031,-16.601793,-71.803701,TR-04_1-031,TCU,5,1
TCU_SUNNER_ID_032,-16.601795,-71.803585,TR-04_1-032,TCU,5,1
TCU_SUNNER_ID_033,-16.601796,-71.803469,TR-04_1-033,TCU,5,1
