node_id,lat,lon,etiqueta,rol,enlace,ncu,gw
TCU_SUNNER_ID_001,-16.594917,-71.799132,TR-05_2-001,TCU,radio,8,1
TCU_SUNNER_ID_002,-16.594918,-71.799016,TR-05_2-002,TCU,radio,8,1
TCU_SUNNER_ID_003,-16.59492,-71.798899,TR-05_2-003,TCU,radio,8,1
TCU_SUNNER_ID_004,-16.595593,-71.799258,TR-05_2-004,TCU,radio,8,1
TCU_SUNNER_ID_005,-16.595595,-71.799141,TR-05_2-005,TCU,radio,8,1
TCU_SUNNER_ID_006,-16.595596,-71.799025,TR-05_2-006,TCU,radio,8,1
TCU_SUNNER_ID_007,-16.595598,-71.798909,TR-05_2-007,TCU,radio,8,1
TCU_SUNNER_ID_008,-16.595599,-71.798793,TR-05_2-008,TCU,radio,8,1
TCU_SUNNER_ID_009,-16.595601,-71.798677,TR-05_2-009,TCU,radio,8,1
TCU_SUNNER_ID_010,-16.595602,-71.798561,TR-05_2-010,TCU,radio,8,1
TCU_SUNNER_ID_011,-16.596303,-71.799674,TR-05_2-011,TCU,radio,8,1
TCU_SUNNER_ID_012,-16.596304,-71.799558,TR-05_2-012,TCU,radio,8,1
TCU_SUNNER_ID_013,-16.596306,-71.799442,TR-05_2-013,TCU,radio,8,1
TCU_SUNNER_ID_014,-16.596308,-71.799268,TR-05_2-014,TCU,radio,8,1
TCU_SUNNER_ID_015,-16.59631,-71.799152,TR-05_2-015,TCU,radio,8,1
TCU_SUNNER_ID_016,-16.596311,-71.799036,TR-05_2-016,TCU,radio,8,1
TCU_SUNNER_ID_017,-16.596313,-71.79892,TR-05_2-017,TCU,radio,8,1
TCU_SUNNER_ID_018,-16.596314,-71.798803,TR-05_2-018,TCU,radio,8,1
TCU_SUNNER_ID_019,-16.596316,-71.798687,TR-05_2-019,TCU,radio,8,1
TCU_SUNNER_ID_020,-16.596318,-71.798571,TR-05_2-020,TCU,radio,8,1
TCU_SUNNER_ID_021,-16.596319,-71.798455,TR-05_2-021,TCU,radio,8,1
TCU_SUNNER_ID_022,-16.596321,-71.79834,TR-05_2-022,TCU,radio,8,1
TCU_SUNNER_ID_023,-16.596322,-71.798224,TR-05_2-023,TCU,radio,8,1
TCU_SUNNER_ID_024,-16.596324,-71.798108,TR-05_2-024,TCU,radio,8,1
TCU_SUNNER_ID_025,-16.596981,-71.799684,TR-05_2-025,TCU,radio,8,1
TCU_SUNNER_ID_026,-16.596982,-71.799568,TR-05_2-026,TCU,radio,8,1
TCU_SUNNER_ID_027,-16.596984,-71.799452,TR-05_2-027,TCU,radio,8,1
TCU_SUNNER_ID_028,-16.596986,-71.799278,TR-05_2-028,TCU,radio,8,1
TCU_SUNNER_ID_029,-16.596988,-71.799162,TR-05_2-029,TCU,radio,8,1
TCU_SUNNER_ID_030,-16.596989,-71.799046,TR-05_2-030,TCU,radio,8,1
TCU_SUNNER_ID_031,-16.596991,-71.798929,TR-05_2-031,TCU,radio,8,1
TCU_SUNNER_ID_032,-16.596993,-71.798813,TR-05_2-032,TCU,radio,8,1
TCU_SUNNER_ID_033,-16.596994,-71.798697,TR-05_2-033,TCU,radio,8,1
TCU_SUNNER_ID_034,-16.596996,-71.798581,TR-05_2-034,TCU,radio,8,1
TCU_SUNNER_ID_035,-16.596997,-71.798465,TR-05_2-035,TCU,radio,8,1
TCU_SUNNER_ID_036,-16.596999,-71.79835,TR-05_2-036,TCU,radio,8,1
TCU_SUNNER_ID_037,-16.597,-71.798234,TR-05_2-037,TCU,radio,8,1
TCU_SUNNER_ID_038,-16.597002,-71.798118,TR-05_2-038,TCU,radio,8,1
TCU_SUNNER_ID_039,-16.597003,-71.798001,TR-05_2-039,TCU,radio,8,1
TCU_SUNNER_ID_040,-16.597664,-71.799288,TR-05_2-040,TCU,radio,8,1
TCU_SUNNER_ID_041,-16.597666,-71.799171,TR-05_2-041,TCU,radio,8,1
TCU_SUNNER_ID_042,-16.597668,-71.799055,TR-05_2-042,TCU,radio,8,1
TCU_SUNNER_ID_043,-16.597669,-71.798939,TR-05_2-043,TCU,radio,8,1
TCU_SUNNER_ID_044,-16.597671,-71.798823,TR-05_2-044,TCU,radio,8,1
TCU_SUNNER_ID_045,-16.597672,-71.798707,TR-05_2-045,TCU,radio,8,1
TCU_SUNNER_ID_046,-16.597674,-71.798591,TR-05_2-046,TCU,radio,8,1
TCU_SUNNER_ID_047,-16.597675,-71.798475,TR-05_2-047,TCU,radio,8,1
TCU_SUNNER_ID_048,-16.597677,-71.79836,TR-05_2-048,TCU,radio,8,1
TCU_SUNNER_ID_049,-16.597678,-71.798244,TR-05_2-049,TCU,radio,8,1
TCU_SUNNER_ID_050,-16.59768,-71.798127,TR-05_2-050,TCU,radio,8,1
TCU_SUNNER_ID_051,-16.597682,-71.798011,TR-05_2-051,TCU,radio,8,1
TCU_SUNNER_ID_052,-16.597759,-71.799695,TR-05_2-052,TCU,radio,8,1
TCU_SUNNER_ID_053,-16.597761,-71.799579,TR-05_2-053,TCU,radio,8,1
TCU_SUNNER_ID_054,-16.597762,-71.799463,TR-05_2-054,TCU,radio,8,1
TCU_SUNNER_ID_055,-16.598342,-71.799297,TR-05_2-055,TCU,radio,8,1
TCU_SUNNER_ID_056,-16.598344,-71.799181,TR-05_2-056,TCU,radio,8,1
TCU_SUNNER_ID_057,-16.598346,-71.799065,TR-05_2-057,TCU,radio,8,1
TCU_SUNNER_ID_058,-16.598347,-71.798949,TR-05_2-058,TCU,radio,8,1
TCU_SUNNER_ID_059,-16.598349,-71.798833,TR-05_2-059,TCU,radio,8,1
TCU_SUNNER_ID_060,-16.59835,-71.798717,TR-05_2-060,TCU,radio,8,1
TCU_SUNNER_ID_061,-16.598352,-71.798601,TR-05_2-061,TCU,radio,8,1
TCU_SUNNER_ID_062,-16.598353,-71.798485,TR-05_2-062,TCU,radio,8,1
TCU_SUNNER_ID_063,-16.598355,-71.798369,TR-05_2-063,TCU,radio,8,1
TCU_SUNNER_ID_064,-16.598357,-71.798253,TR-05_2-064,TCU,radio,8,1
TCU_SUNNER_ID_065,-16.598358,-71.798137,TR-05_2-065,TCU,radio,8,1
TCU_SUNNER_ID_066,-16.59836,-71.798021,TR-05_2-066,TCU,radio,8,1
TCU_SUNNER_ID_067,-16.598437,-71.799705,TR-05_2-067,TCU,radio,8,1
TCU_SUNNER_ID_068,-16.598439,-71.799589,TR-05_2-068,TCU,radio,8,1
TCU_SUNNER_ID_069,-16.59844,-71.799473,TR-05_2-069,TCU,radio,8,1
TCU_SUNNER_ID_070,-16.599115,-71.799715,TR-05_2-070,TCU,radio,8,2
