node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,-16.59003,-71.803994,TR-07_1-001,TCU,radio,12,1,1
TCU_SUNNER_ID_002,-16.590031,-71.803878,TR-07_1-002,TCU,radio,12,1,2
TCU_SUNNER_ID_003,-16.590033,-71.803762,TR-07_1-003,TCU,radio,12,1,3
TCU_SUNNER_ID_004,-16.590034,-71.803647,TR-07_1-004,TCU,radio,12,1,4
TCU_SUNNER_ID_005,-16.590036,-71.803531,TR-07_1-005,TCU,radio,12,1,5
TCU_SUNNER_ID_006,-16.590037,-71.803415,TR-07_1-006,TCU,radio,12,1,6
TCU_SUNNER_ID_009,-16.590708,-71.804004,TR-07_1-009,TCU,radio,12,1,9
TCU_SUNNER_ID_010,-16.590709,-71.803888,TR-07_1-010,TCU,radio,12,1,10
TCU_SUNNER_ID_011,-16.590711,-71.803772,TR-07_1-011,TCU,radio,12,1,11
TCU_SUNNER_ID_012,-16.590712,-71.803657,TR-07_1-012,TCU,radio,12,1,12
TCU_SUNNER_ID_013,-16.590714,-71.803541,TR-07_1-013,TCU,radio,12,1,13
TCU_SUNNER_ID_014,-16.590715,-71.803425,TR-07_1-014,TCU,radio,12,1,14
TCU_SUNNER_ID_020,-16.591386,-71.804014,TR-07_1-020,TCU,radio,12,1,20
TCU_SUNNER_ID_021,-16.591387,-71.803898,TR-07_1-021,TCU,radio,12,1,21
TCU_SUNNER_ID_022,-16.591389,-71.803782,TR-07_1-022,TCU,radio,12,1,22
TCU_SUNNER_ID_023,-16.59139,-71.803667,TR-07_1-023,TCU,radio,12,1,23
TCU_SUNNER_ID_024,-16.591392,-71.803551,TR-07_1-024,TCU,radio,12,1,24
TCU_SUNNER_ID_025,-16.591393,-71.803434,TR-07_1-025,TCU,radio,12,1,25
TCU_SUNNER_ID_035,-16.592155,-71.804026,TR-07_1-035,TCU,radio,12,1,35
TCU_SUNNER_ID_036,-16.592157,-71.80391,TR-07_1-036,TCU,radio,12,1,36
TCU_SUNNER_ID_037,-16.592158,-71.803794,TR-07_1-037,TCU,radio,12,1,37
TCU_SUNNER_ID_038,-16.59216,-71.803678,TR-07_1-038,TCU,radio,12,1,38
TCU_SUNNER_ID_039,-16.592161,-71.803562,TR-07_1-039,TCU,radio,12,1,39
TCU_SUNNER_ID_040,-16.592163,-71.803446,TR-07_1-040,TCU,radio,12,1,40
TCU_SUNNER_ID_041,-16.592164,-71.80333,TR-07_1-041,TCU,radio,12,1,41
TCU_SUNNER_ID_042,-16.592166,-71.803213,TR-07_1-042,TCU,radio,12,1,42
TCU_SUNNER_ID_043,-16.592167,-71.803097,TR-07_1-043,TCU,radio,12,1,43
TCU_SUNNER_ID_054,-16.592833,-71.804036,TR-07_1-054,TCU,radio,12,1,54
TCU_SUNNER_ID_055,-16.592835,-71.80392,TR-07_1-055,TCU,radio,12,1,55
TCU_SUNNER_ID_056,-16.592836,-71.803804,TR-07_1-056,TCU,radio,12,1,56
TCU_SUNNER_ID_057,-16.592838,-71.803688,TR-07_1-057,TCU,radio,12,1,57
TCU_SUNNER_ID_058,-16.592839,-71.803572,TR-07_1-058,TCU,radio,12,1,58
TCU_SUNNER_ID_059,-16.592841,-71.803455,TR-07_1-059,TCU,radio,12,1,59
TCU_SUNNER_ID_060,-16.592842,-71.803339,TR-07_1-060,TCU,radio,12,1,60
TCU_SUNNER_ID_061,-16.592844,-71.803223,TR-07_1-061,TCU,radio,12,1,61
TCU_SUNNER_ID_062,-16.592846,-71.803107,TR-07_1-062,TCU,radio,12,1,62
TCU_SUNNER_ID_063,-16.592847,-71.802991,TR-07_1-063,TCU,radio,12,1,63
TCU_SUNNER_ID_064,-16.592849,-71.802875,TR-07_1-064,TCU,radio,12,1,64
TCU_SUNNER_ID_065,-16.59285,-71.802759,TR-07_1-065,TCU,radio,12,1,65
TCU_SUNNER_ID_066,-16.592852,-71.802643,TR-07_1-066,TCU,radio,12,1,66
TCU_SUNNER_ID_079,-16.593511,-71.804046,TR-07_1-079,TCU,radio,12,1,79
TCU_SUNNER_ID_080,-16.593513,-71.80393,TR-07_1-080,TCU,radio,12,1,80
TCU_SUNNER_ID_081,-16.593514,-71.803814,TR-07_1-081,TCU,radio,12,1,81
TCU_SUNNER_ID_082,-16.593516,-71.803698,TR-07_1-082,TCU,radio,12,1,82
TCU_SUNNER_ID_083,-16.593517,-71.803581,TR-07_1-083,TCU,radio,12,1,83
TCU_SUNNER_ID_084,-16.593519,-71.803465,TR-07_1-084,TCU,radio,12,1,84
