node_id,lat,lon,etiqueta,ncu,gw
TCU_SUNNER_ID_001,-16.588055,-71.806187,TR-08_1-055,14,1
TCU_SUNNER_ID_002,-16.588056,-71.806061,TR-08_1-056,14,1
TCU_SUNNER_ID_003,-16.588058,-71.805945,TR-08_1-057,14,1
TCU_SUNNER_ID_004,-16.58806,-71.805829,TR-08_1-058,14,1
TCU_SUNNER_ID_005,-16.588061,-71.805712,TR-08_1-059,14,1
TCU_SUNNER_ID_006,-16.588329,-71.8056,TR-08_1-060,14,1
TCU_SUNNER_ID_007,-16.588331,-71.805484,TR-08_1-061,14,1
TCU_SUNNER_ID_008,-16.588332,-71.805368,TR-08_1-062,14,1
TCU_SUNNER_ID_009,-16.588334,-71.805252,TR-08_1-063,14,1
TCU_SUNNER_ID_010,-16.588335,-71.805136,TR-08_1-064,14,1
TCU_SUNNER_ID_011,-16.588337,-71.80502,TR-08_1-065,14,1
TCU_SUNNER_ID_012,-16.588338,-71.804904,TR-08_1-066,14,1
TCU_SUNNER_ID_013,-16.58834,-71.804787,TR-08_1-067,14,1
TCU_SUNNER_ID_014,-16.588342,-71.804671,TR-08_1-068,14,1
TCU_SUNNER_ID_015,-16.588343,-71.804555,TR-08_1-069,14,1
TCU_SUNNER_ID_016,-16.588561,-71.804442,TR-08_1-070,14,1
TCU_SUNNER_ID_017,-16.588563,-71.804326,TR-08_1-071,14,1
TCU_SUNNER_ID_018,-16.588565,-71.80421,TR-08_1-072,14,1
TCU_SUNNER_ID_019,-16.588566,-71.804094,TR-08_1-073,14,1
TCU_SUNNER_ID_020,-16.588568,-71.803978,TR-08_1-074,14,1
TCU_SUNNER_ID_021,-16.588569,-71.803862,TR-08_1-075,14,1
TCU_SUNNER_ID_022,-16.588699,-71.803748,TR-08_1-076,14,1
TCU_SUNNER_ID_023,-16.588701,-71.803631,TR-08_1-077,14,1
TCU_SUNNER_ID_024,-16.588702,-71.803515,TR-08_1-078,14,1
TCU_SUNNER_ID_025,-16.588704,-71.8034,TR-08_1-079,14,1
TCU_SUNNER_ID_026,-16.588705,-71.803284,TR-08_1-080,14,1
TCU_SUNNER_ID_027,-16.588707,-71.803168,TR-08_1-081,14,1
TCU_SUNNER_ID_028,-16.588708,-71.803052,TR-08_1-082,14,1
TCU_SUNNER_ID_029,-16.58871,-71.802936,TR-08_1-083,14,1
TCU_SUNNER_ID_030,-16.588733,-71.806197,TR-08_1-084,14,1
TCU_SUNNER_ID_031,-16.588734,-71.806071,TR-08_1-085,14,1
TCU_SUNNER_ID_032,-16.588736,-71.805954,TR-08_1-086,14,1
TCU_SUNNER_ID_033,-16.588738,-71.805838,TR-08_1-087,14,1
TCU_SUNNER_ID_034,-16.588739,-71.805722,TR-08_1-088,14,1
TCU_SUNNER_ID_035,-16.589007,-71.80561,TR-08_1-089,14,1
TCU_SUNNER_ID_036,-16.589009,-71.805494,TR-08_1-090,14,1
TCU_SUNNER_ID_037,-16.58901,-71.805378,TR-08_1-091,14,1
TCU_SUNNER_ID_038,-16.589012,-71.805262,TR-08_1-092,14,1
TCU_SUNNER_ID_039,-16.589013,-71.805146,TR-08_1-093,14,1
TCU_SUNNER_ID_040,-16.589015,-71.80503,TR-08_1-094,14,1
TCU_SUNNER_ID_041,-16.589017,-71.804913,TR-08_1-095,14,1
TCU_SUNNER_ID_042,-16.589018,-71.804797,TR-08_1-096,14,1
TCU_SUNNER_ID_043,-16.58902,-71.804681,TR-08_1-097,14,1
TCU_SUNNER_ID_044,-16.589021,-71.804565,TR-08_1-098,14,1
TCU_SUNNER_ID_045,-16.589476,-71.803094,TR-08_1-099,14,1
TCU_SUNNER_ID_046,-16.589478,-71.802978,TR-08_1-100,14,1
TCU_SUNNER_ID_047,-16.589479,-71.802862,TR-08_1-101,14,1
TCU_SUNNER_ID_048,-16.589481,-71.802746,TR-08_1-102,14,1
TCU_SUNNER_ID_049,-16.589483,-71.802629,TR-08_1-103,14,1
TCU_SUNNER_ID_050,-16.589484,-71.802513,TR-08_1-104,14,1
TCU_SUNNER_ID_051,-16.589486,-71.802397,TR-08_1-105,14,1
TCU_SUNNER_ID_052,-16.590155,-71.803104,TR-08_1-106,14,1
TCU_SUNNER_ID_053,-16.590157,-71.802988,TR-08_1-107,14,1
TCU_SUNNER_ID_054,-16.590158,-71.802872,TR-08_1-108,14,1
TCU_SUNNER_ID_055,-16.59016,-71.802755,TR-08_1-109,14,1
TCU_SUNNER_ID_056,-16.590162,-71.802639,TR-08_1-110,14,1
TCU_SUNNER_ID_057,-16.590163,-71.802523,TR-08_1-111,14,1
TCU_SUNNER_ID_058,-16.590165,-71.802407,TR-08_1-112,14,1
TCU_SUNNER_ID_059,-16.590166,-71.802291,TR-08_1-113,14,1
TCU_SUNNER_ID_060,-16.590168,-71.802175,TR-08_1-114,14,1
TCU_SUNNER_ID_061,-16.590841,-71.802533,TR-08_1-115,14,1
TCU_SUNNER_ID_062,-16.590843,-71.802417,TR-08_1-116,14,1
TCU_SUNNER_ID_063,-16.590844,-71.802301,TR-08_1-117,14,1
TCU_SUNNER_ID_064,-16.590846,-71.802185,TR-08_1-118,14,1
