tipo,nombre,lat,lon
NCU,NCU MU-01_1-21,-16.605571,-71.794138
NCU,NCU MU-02_2-19,-16.603194,-71.796447
NCU,NCU MU-02_1-18,-16.603161,-71.798886
NCU,NCU MU-03_1-20,-16.60527,-71.800811
NCU,NCU MU-04_1-17,-16.603099,-71.803489
NCU,NCU MU-04_2-16,-16.603074,-71.805346
NCU,NCU MU-05_2-15,-16.598969,-71.79686
NCU,NCU MU-05_1-14,-16.598943,-71.798833
NCU,NCU MU-03_2-13,-16.59758,-71.800849
NCU,NCU MU-06_1-12,-16.597557,-71.802591
NCU,NCU MU-06_2-11,-16.597527,-71.804801
NCU,NCU MU-07_1-10,-16.592722,-71.801667
NCU,NCU MU-07_2-09,-16.59199,-71.804488
NCU,NCU MU-08_1-07,-16.589179,-71.803799
NCU,NCU MU-08_1-08,-16.586539,-71.804882
NCU,NCU MU-08_2-06,-16.586493,-71.808256
NCU,NCU MU-09_1-05,-16.58645,-71.811502
NCU,NCU MU-09_2-04,-16.586412,-71.81428
NCU,NCU MU-10_1-03,-16.586377,-71.816845
NCU,NCU 20,-16.586379,-71.818675
NCU,NCU MU-10_2-01,-16.585425,-71.818707
HSU,HSU 1 (US),-16.607707,-71.794265
HSU,HSU 2 (US),-16.605066,-71.806231
HSU,HSU 3 (US),-16.596436,-71.797825
HSU,HSU 4 (US),-16.595663,-71.805882
HSU,HSU 5 (US),-16.584625,-71.806298
HSU,HSU 6 (US),-16.588859,-71.809334
HSU,HSU 7 (US),-16.589134,-71.815978
HSU,HSU 8 (US),-16.584232,-71.816949
REP,REP 1 (SP),-16.606013,-71.794077
REP,REP 2 (SP),-16.601701,-71.801815
REP,REP 3 (SP),-16.59985,-71.795553
REP,REP 5 (SP),-16.591401,-71.802844
REP,REP 6 (SP),-16.592854,-71.802307
REP,REP 7 (SP),-16.594381,-71.800932
REP,REP 8 (SP),-16.590836,-71.802892
REP,REP 10 (SP),-16.585818,-71.806657
REP,REP 11 (SP),-16.587822,-71.809013
