origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_011,TCU_SUNNER_ID_013,,,,,12.5,1,filas,TK011,TK013,11,13,33.879065,9.873689,33.879064,9.873824,65.7,54.9
TCU_SUNNER_ID_012,TCU_SUNNER_ID_014,,,,,12.5,1,filas,TK012,TK014,12,14,33.879475,9.873761,33.879474,9.873896,65.7,54.9
TCU_SUNNER_ID_007,TCU_SUNNER_ID_009,,,,,12.5,1,filas,TK007,TK009,7,9,33.879067,9.873419,33.879066,9.873554,65.7,54.9
TCU_SUNNER_ID_014,TCU_SUNNER_ID_016,,,,,12.5,1,filas,TK014,TK016,14,16,33.879474,9.873896,33.879472,9.874031,65.7,54.9
TCU_SUNNER_ID_011,TCU_SUNNER_ID_015,,,,,25.0,3,filas,TK011,TK015,11,15,33.879065,9.873689,33.879063,9.873959,63.4,38.5
TCU_SUNNER_ID_013,TCU_SUNNER_ID_017,,,,,25.0,3,filas,TK013,TK017,13,17,33.879064,9.873824,33.879062,9.874094,63.4,38.5
TCU_SUNNER_ID_012,TCU_SUNNER_ID_016,,,,,25.0,3,filas,TK012,TK016,12,16,33.879475,9.873761,33.879472,9.874031,63.4,38.5
NCU 1,TCU_SUNNER_ID_001,,,,,27.5,0,eje,NCU 1,TK001,,1,,,33.879071,9.872878,61.0,61.0
NCU 1,TCU_SUNNER_ID_002,,,,,27.6,0,eje,NCU 1,TK002,,2,,,33.87907,9.873013,60.9,60.9
NCU 1,TCU_SUNNER_ID_003,,,,,32.8,1,diagonal,NCU 1,TK003,,3,,,33.879069,9.873148,57.2,49.5
TCU_SUNNER_ID_006,TCU_SUNNER_ID_012,,,,,37.5,5,filas,TK006,TK012,6,12,33.879477,9.873355,33.879475,9.873761,58.4,33.3
TCU_SUNNER_ID_001,TCU_SUNNER_ID_005,,,,,37.5,3,filas,TK001,TK005,1,5,33.879071,9.872878,33.879068,9.873283,58.4,34.5
