node_id,lat,lon,etiqueta,rol,ncu,gw
TCU_SUNNER_ID_001,33.879071,9.872878,TK001,TCU,1,1
TCU_SUNNER_ID_002,33.87907,9.873013,TK002,TCU,1,1
TCU_SUNNER_ID_003,33.879069,9.873148,TK003,TCU,1,1
TCU_SUNNER_ID_004,33.879478,9.87322,TK004,TCU,1,1
TCU_SUNNER_ID_005,33.879068,9.873283,TK005,TCU,1,1
TCU_SUNNER_ID_006,33.879477,9.873355,TK006,TCU,1,1
TCU_SUNNER_ID_007,33.879067,9.873419,TK007,TCU,1,1
TCU_SUNNER_ID_008,33.879476,9.87349,TK008,TCU,1,1
TCU_SUNNER_ID_009,33.879066,9.873554,TK009,TCU,1,1
TCU_SUNNER_ID_010,33.879476,9.873626,TK010,TCU,1,1
TCU_SUNNER_ID_011,33.879065,9.873689,TK011,TCU,1,1
TCU_SUNNER_ID_012,33.879475,9.873761,TK012,TCU,1,1
TCU_SUNNER_ID_013,33.879064,9.873824,TK013,TCU,1,1
TCU_SUNNER_ID_014,33.879474,9.873896,TK014,TCU,1,1
TCU_SUNNER_ID_015,33.879063,9.873959,TK015,TCU,1,1
TCU_SUNNER_ID_016,33.879472,9.874031,TK016,TCU,1,1
TCU_SUNNER_ID_017,33.879062,9.874094,TK017,TCU,1,1
TCU_SUNNER_ID_018,33.879471,9.874166,TK018,TCU,1,1
TCU_SUNNER_ID_019,33.879061,9.87423,TK019,TCU,1,1
HSU_01,33.879337,9.872982,HSU1,HSU,1,1
