planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
ayora,3,43,TK 043-03,HD,HD-1,2TTx56,235,2.756,3.258,2.384,55,55,0.040887,1.530654,0.034886,1.523672,4.091,87.7,3.49,87.3,4.088,-3.486,-0.164,HD-1-0 (hermana),HD-2-0
ayora,3,44,TK 044-03,HD,HD-2,2TTx56,239,2.733,3.27,2.384,55,55,0.035016,1.469567,0.027423,1.441642,3.503,84.2,2.743,82.6,3.486,-2.721,-0.351,HD-1-1,HD-3-0
ayora,3,45,TK 045-03,HD,HD-3,2TTx56,243,2.752,3.235,2.384,55,55,0.035655,1.385791,0.028083,1.335177,3.567,79.4,2.809,76.5,3.505,-2.731,-0.658,HD-3-0 (hermana),HD-4-0
ayora,3,46,TK 046-03,HD,HD-4,2TTx56,247,2.752,3.26,2.384,55,55,0.031669,1.324705,0.031669,1.324705,3.168,75.9,3.168,75.9,3.073,-3.073,-0.771,HD-4-0 (hermana),HD-4-1 (hermana)
ayora,3,48,TK 048-03,HD,HD-5,2TTx56,251,2.735,3.247,2.384,55,55,0.027203,2.345723,0.027203,2.345723,2.721,134.4,2.721,134.4,1.943,-1.943,1.905,HD-5-0 (hermana),HD-5-1 (hermana)
ayora,3,47,TK 047-03,HD,HD-6,2TTx56,251,2.735,3.247,2.384,55,55,0.041766,1.314233,0.027793,1.178097,4.179,75.3,2.78,67.5,4.042,-2.569,-1.064,HD-4-1,HD-6-1 (hermana)
ayora,3,50,TK 050-03,HD,HD-7,2TTx56,255,2.714,3.29,2.384,55,55,0.053329,1.954769,0.04503,2.029818,5.338,112,4.506,116.3,4.95,-4.038,2,HD-5-1,HD-7-1 (hermana)
ayora,3,49,TK 049-03,HD,HD-8,2TTx56,255,2.714,3.29,2.384,55,55,0.043233,1.303761,0.042425,1.298525,4.326,74.7,4.245,74.4,4.174,-4.089,-1.138,HD-6-1,HD-8-1 (hermana)
ayora,3,52,TK 052-03,HD,HD-9,2TTx56,259,2.764,3.249,2.384,55,55,0.051155,1.933825,0.032808,2.158972,5.12,110.8,3.282,123.7,4.786,-2.73,1.821,HD-7-1,HD-9-1 (hermana)
ayora,3,51,TK 051-03,HD,HD-10,2TTx56,259,2.764,3.249,2.384,55,55,0.043123,1.364847,0.032099,1.293289,4.315,78.2,3.211,74.1,4.224,-3.088,-0.882,HD-8-1,HD-10-1 (hermana)
ayora,3,54,TK 054-03,HD,HD-11,2TTx56,263,2.703,3.316,2.384,55,55,0.042365,1.932079,0.032638,2.049017,4.239,110.7,3.265,117.4,3.964,-2.9,1.501,HD-9-1,HD-11-1 (hermana)
ayora,3,53,TK 053-03,HD,HD-12,2TTx56,263,2.703,3.316,2.384,55,55,0.041087,1.377065,0.041087,1.377065,4.111,78.9,4.111,78.9,4.034,-4.034,-0.79,HD-12-0 (hermana),HD-12-1 (hermana)
ayora,3,56,TK 056-03,HD,HD-13,2TTx56,267,2.729,3.279,2.384,55,55,0.03915,1.919862,0.034626,1.966986,3.917,110,3.464,112.7,3.682,-3.195,1.337,HD-11-1,HD-13-1 (hermana)
ayora,3,55,TK 055-03,HD,HD-14,2TTx56,267,2.729,3.279,2.384,55,55,0.053688,1.40499,0.043343,1.364847,5.374,80.5,4.337,78.2,5.3,-4.245,-0.888,HD-12-1,HD-14-1 (hermana)
ayora,3,58,TK 058-03,HD,HD-15,2TTx56,271,2.705,3.295,2.384,55,55,0.036664,1.834341,0.017078,2.164208,3.668,105.1,1.708,124,3.542,-1.415,0.956,HD-13-1,HD-17-0
ayora,3,57,TK 057-03,HD,HD-16,2TTx56,271,2.705,3.295,2.384,55,55,0.050387,1.406735,0.033208,1.319469,5.043,80.6,3.322,75.6,4.975,-3.218,-0.825,HD-14-1,HD-18-0
