planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
sanjose,1,1,TR-01_1-001,SJ,TR-01_1-001,2TTx64,444,6.21,6.144,2.382,55,55,0.01029,4.941027,0.020677,4.825835,1.029,283.1,2.068,276.5,-1.002,2.055,-0.233,TR-02_2-065-E,
sanjose,1,2,TR-01_1-002,SJ,TR-01_1-002,2TTx64,447,6.821,6.129,2.382,55,55,0.012669,4.846779,0.014759,4.827581,1.267,277.7,1.476,276.6,-1.256,1.466,-0.169,,TR-01_1-003-W
sanjose,1,3,TR-01_1-003,SJ,TR-01_1-003,2TTx64,448,6.129,6.167,2.382,55,55,0.012739,4.808382,0.016339,4.787438,1.274,275.5,1.634,274.3,-1.268,1.629,-0.122,TR-01_1-002-E,TR-01_1-004-W
sanjose,1,4,TR-01_1-004,SJ,TR-01_1-004,2TTx64,450,6.223,6.152,2.382,55,55,0.00847,5.54142,0.013749,5.183628,0.847,317.5,1.375,297,-0.572,1.225,-0.625,TR-01_1-003-E,TR-01_1-005-W
sanjose,1,5,TR-01_1-005,SJ,TR-01_1-005,2TTx64,452,6.25,6.164,2.382,55,55,0.016339,5.026548,0.012079,5.14174,1.634,288,1.208,294.6,-1.554,1.098,-0.504,TR-01_1-004-E,TR-01_1-006-W
sanjose,1,6,TR-01_1-006,SJ,TR-01_1-006,2TTx64,454,6.322,6.176,2.382,55,55,0.013389,5.201081,0.00767,5.670575,1.339,298,0.767,324.9,-1.183,0.441,-0.628,TR-01_1-005-E,TR-01_1-007-W
sanjose,1,7,TR-01_1-007,SJ,TR-01_1-007,2TTx64,456,6.222,6.174,2.382,55,55,0.01008,5.654867,0.035615,4.942772,1.008,324,3.563,283.2,-0.592,3.468,-0.815,TR-01_1-006-E,TR-01_1-008-W
sanjose,1,8,TR-01_1-008,SJ,TR-01_1-008,2TTx64,458,6.214,6.184,2.382,55,55,0.017158,0.764454,0.052332,4.951499,1.716,43.8,5.238,283.7,1.188,5.09,-1.238,TR-01_1-007-E,
sanjose,1,9,TR-01_1-009,SJ,TR-01_1-009,2TTx64,444,6.21,6.144,2.382,55,55,0.012319,5.372123,0.03154,4.953244,1.232,307.8,3.155,283.8,-0.973,3.063,-0.755,TR-02_2-083-E,
sanjose,1,10,TR-01_1-010,SJ,TR-01_1-010,2TTx64,447,6.821,6.129,2.382,55,55,0.015149,5.01084,0.017988,4.963716,1.515,287.1,1.799,284.4,-1.448,1.743,-0.446,,TR-01_1-011-W
sanjose,1,11,TR-01_1-011,SJ,TR-01_1-011,2TTx64,448,6.129,6.167,2.382,55,55,0.013389,5.098107,0.03152,4.872959,1.339,292.1,3.153,279.2,-1.241,3.112,-0.504,TR-01_1-010-E,TR-01_1-012-W
sanjose,1,12,TR-01_1-012,SJ,TR-01_1-012,2TTx64,450,6.223,6.152,2.382,55,55,0.014319,5.031784,0.017688,4.970698,1.432,288.3,1.769,284.8,-1.359,1.711,-0.451,TR-01_1-011-E,TR-01_1-013-W
sanjose,1,13,TR-01_1-013,SJ,TR-01_1-013,2TTx64,452,6.25,6.164,2.382,55,55,0.024195,5.094616,0.00906,0.061087,2.42,291.9,0.906,3.5,-2.245,-0.056,-0.904,TR-01_1-012-E,TR-01_1-014-W
sanjose,1,14,TR-01_1-014,SJ,TR-01_1-014,2TTx64,454,6.322,6.176,2.382,55,55,0.00957,6.066764,0.028103,5.050983,0.957,347.6,2.811,289.4,-0.206,2.651,-0.935,TR-01_1-013-E,TR-01_1-015-W
sanjose,1,15,TR-01_1-015,SJ,TR-01_1-015,2TTx64,456,6.222,6.174,2.382,55,55,0.025425,5.023058,0.027563,4.998623,2.543,287.8,2.757,286.4,-2.421,2.645,-0.778,TR-01_1-014-E,TR-01_1-016-W
sanjose,1,16,TR-01_1-016,SJ,TR-01_1-016,2TTx64,458,6.214,6.184,2.382,55,55,0.012989,5.120796,0.011549,5.176647,1.299,293.4,1.155,296.6,-1.192,1.033,-0.516,TR-01_1-015-E,TR-01_1-017-W
sanjose,1,17,TR-01_1-017,SJ,TR-01_1-017,2TTx64,460,6.164,6.161,2.382,55,55,0.012629,5.279621,0.030041,4.939282,1.263,302.5,3.005,283,-1.065,2.927,-0.678,TR-01_1-016-E,TR-01_1-018-W
sanjose,1,18,TR-01_1-018,SJ,TR-01_1-018,2TTx64,462,6.593,6.207,2.382,55,55,0.037462,5.157448,0.044002,5.087635,3.748,295.5,4.403,291.5,-3.382,4.096,-1.615,TR-01_1-017-E,
sanjose,1,19,TR-01_1-019,SJ,TR-01_1-019,2TTx64,444,6.21,6.144,2.382,55,55,0.013129,5.504768,0.029002,5.040511,1.313,315.4,2.901,288.8,-0.922,2.746,-0.935,TR-02_2-101-E,
sanjose,1,20,TR-01_1-020,SJ,TR-01_1-020,2TTx64,447,6.821,6.129,2.382,55,55,0.018678,5.373869,0.028123,5.133013,1.868,307.9,2.813,294.1,-1.474,2.569,-1.147,,TR-01_1-021-W
sanjose,1,21,TR-01_1-021,SJ,TR-01_1-021,2TTx64,448,6.129,6.167,2.382,55,55,0.020877,5.291838,0.033977,5.054474,2.088,303.2,3.399,289.6,-1.748,3.201,-1.142,TR-01_1-020-E,TR-01_1-022-W
sanjose,1,22,TR-01_1-022,SJ,TR-01_1-022,2TTx64,450,6.223,6.152,2.382,55,55,0.025564,5.075417,0.018398,5.229006,2.557,290.8,1.84,299.6,-2.39,1.6,-0.908,TR-01_1-021-E,TR-01_1-023-W
sanjose,1,23,TR-01_1-023,SJ,TR-01_1-023,2TTx64,452,6.25,6.164,2.382,55,55,0.022086,5.108579,0.016449,5.258677,2.209,292.7,1.645,301.3,-2.038,1.406,-0.853,TR-01_1-022-E,TR-01_1-024-W
sanjose,1,24,TR-01_1-024,SJ,TR-01_1-024,2TTx64,454,6.322,6.176,2.382,55,55,0.024045,5.365142,0.026084,5.305801,2.405,307.4,2.609,304,-1.911,2.162,-1.46,TR-01_1-023-E,TR-01_1-025-W
sanjose,1,25,TR-01_1-025,SJ,TR-01_1-025,2TTx64,456,6.222,6.174,2.382,55,55,0.024735,5.295329,0.013759,6.141814,2.474,303.4,1.376,351.9,-2.065,0.194,-1.362,TR-01_1-024-E,TR-01_1-026-W
sanjose,1,26,TR-01_1-026,SJ,TR-01_1-026,2TTx64,458,6.214,6.184,2.382,55,55,0.022066,5.654867,0.03087,5.32849,2.207,324,3.088,305.3,-1.298,2.52,-1.785,TR-01_1-025-E,TR-01_1-027-W
sanjose,1,27,TR-01_1-027,SJ,TR-01_1-027,2TTx64,460,6.164,6.161,2.382,55,55,0.023226,5.508259,0.047285,5.070181,2.323,315.6,4.732,290.5,-1.626,4.432,-1.659,TR-01_1-026-E,TR-01_1-028-W
sanjose,1,28,TR-01_1-028,SJ,TR-01_1-028,2TTx64,462,6.593,6.207,2.382,55,55,0.046437,4.911357,0.038771,4.949754,4.647,281.4,3.879,283.6,-4.556,3.77,-0.915,TR-01_1-027-E,
sanjose,1,29,TR-01_1-029,SJ,TR-01_1-029,2TTx64,464,12.393,6.185,2.382,55,55,0.028972,4.941027,0.027493,4.953244,2.898,283.1,2.75,283.8,-2.823,2.671,-0.655,,TR-01_1-030-W
sanjose,1,30,TR-01_1-030,SJ,TR-01_1-030,2TTx64,465,6.185,6.2,2.382,55,55,0.040787,4.949754,0.013969,5.471607,4.081,283.6,1.397,313.5,-3.966,1.014,-0.961,TR-01_1-029-E,TR-01_1-031-W
sanjose,1,31,TR-01_1-031,SJ,TR-01_1-031,2TTx64,467,6.281,6.031,2.382,55,55,0.011479,5.77704,0.028802,5.068436,1.148,331,2.881,290.4,-0.556,2.7,-1.005,TR-01_1-030-E,TR-01_1-032-W
sanjose,1,32,TR-01_1-032,SJ,TR-01_1-032,2TTx64,469,6.353,6.101,2.382,55,55,0.028982,5.042256,0.043383,4.930555,2.899,288.9,4.341,282.5,-2.742,4.238,-0.94,TR-01_1-031-E,TR-01_1-033-W
sanjose,1,33,TR-01_1-033,SJ,TR-01_1-033,2TTx64,471,5.459,6.526,2.382,55,55,0.037702,4.963716,0.012789,5.534439,3.772,284.4,1.279,317.1,-3.654,0.87,-0.937,TR-01_1-032-E,TR-01_1-034-W
