tracker;zona;id;tipo;pend_long_pct;este_pend_transv_pct;este_pend_vector_pct;este_azimut_deg;este_vecina_critica;este_es_hermana;este_n_candidatas;oeste_pend_transv_pct;oeste_pend_vector_pct;oeste_azimut_deg;oeste_vecina_critica;oeste_es_hermana;oeste_n_candidatas
1;SJ;TR-01_1-001;2TTx64;-0,233;2,055;2,068;276,500;;NO;0;-1,002;1,029;283,100;TR-02_2-065-E;NO;1
2;SJ;TR-01_1-002;2TTx64;-0,169;1,466;1,476;276,600;TR-01_1-003-W;NO;1;-1,256;1,267;277,700;;NO;0
3;SJ;TR-01_1-003;2TTx64;-0,122;1,629;1,634;274,300;TR-01_1-004-W;NO;1;-1,268;1,274;275,500;TR-01_1-002-E;NO;1
4;SJ;TR-01_1-004;2TTx64;-0,625;1,225;1,375;297,000;TR-01_1-005-W;NO;1;-0,572;0,847;317,500;TR-01_1-003-E;NO;1
5;SJ;TR-01_1-005;2TTx64;-0,504;1,098;1,208;294,600;TR-01_1-006-W;NO;1;-1,554;1,634;288,000;TR-01_1-004-E;NO;1
6;SJ;TR-01_1-006;2TTx64;-0,628;0,441;0,767;324,900;TR-01_1-007-W;NO;1;-1,183;1,339;298,000;TR-01_1-005-E;NO;1
7;SJ;TR-01_1-007;2TTx64;-0,815;3,468;3,563;283,200;TR-01_1-008-W;NO;1;-0,592;1,008;324,000;TR-01_1-006-E;NO;1
8;SJ;TR-01_1-008;2TTx64;-1,238;5,090;5,238;283,700;;NO;0;1,188;1,716;43,800;TR-01_1-007-E;NO;1
9;SJ;TR-01_1-009;2TTx64;-0,755;3,063;3,155;283,800;;NO;0;-0,973;1,232;307,800;TR-02_2-083-E;NO;1
10;SJ;TR-01_1-010;2TTx64;-0,446;1,743;1,799;284,400;TR-01_1-011-W;NO;1;-1,448;1,515;287,100;;NO;0
11;SJ;TR-01_1-011;2TTx64;-0,504;3,112;3,153;279,200;TR-01_1-012-W;NO;1;-1,241;1,339;292,100;TR-01_1-010-E;NO;1
12;SJ;TR-01_1-012;2TTx64;-0,451;1,711;1,769;284,800;TR-01_1-013-W;NO;1;-1,359;1,432;288,300;TR-01_1-011-E;NO;1
13;SJ;TR-01_1-013;2TTx64;-0,904;-0,056;0,906;3,500;TR-01_1-014-W;NO;1;-2,245;2,420;291,900;TR-01_1-012-E;NO;1
14;SJ;TR-01_1-014;2TTx64;-0,935;2,651;2,811;289,400;TR-01_1-015-W;NO;1;-0,206;0,957;347,600;TR-01_1-013-E;NO;1
15;SJ;TR-01_1-015;2TTx64;-0,778;2,645;2,757;286,400;TR-01_1-016-W;NO;1;-2,421;2,543;287,800;TR-01_1-014-E;NO;1
16;SJ;TR-01_1-016;2TTx64;-0,516;1,033;1,155;296,600;TR-01_1-017-W;NO;1;-1,192;1,299;293,400;TR-01_1-015-E;NO;1
17;SJ;TR-01_1-017;2TTx64;-0,678;2,927;3,005;283,000;TR-01_1-018-W;NO;1;-1,065;1,263;302,500;TR-01_1-016-E;NO;1
18;SJ;TR-01_1-018;2TTx64;-1,615;4,096;4,403;291,500;;NO;0;-3,382;3,748;295,500;TR-01_1-017-E;NO;1
19;SJ;TR-01_1-019;2TTx64;-0,935;2,746;2,901;288,800;;NO;0;-0,922;1,313;315,400;TR-02_2-101-E;NO;1
20;SJ;TR-01_1-020;2TTx64;-1,147;2,569;2,813;294,100;TR-01_1-021-W;NO;1;-1,474;1,868;307,900;;NO;0
21;SJ;TR-01_1-021;2TTx64;-1,142;3,201;3,399;289,600;TR-01_1-022-W;NO;1;-1,748;2,088;303,200;TR-01_1-020-E;NO;1
22;SJ;TR-01_1-022;2TTx64;-0,908;1,600;1,840;299,600;TR-01_1-023-W;NO;1;-2,390;2,557;290,800;TR-01_1-021-E;NO;1
23;SJ;TR-01_1-023;2TTx64;-0,853;1,406;1,645;301,300;TR-01_1-024-W;NO;1;-2,038;2,209;292,700;TR-01_1-022-E;NO;1
24;SJ;TR-01_1-024;2TTx64;-1,460;2,162;2,609;304,000;TR-01_1-025-W;NO;1;-1,911;2,405;307,400;TR-01_1-023-E;NO;1
25;SJ;TR-01_1-025;2TTx64;-1,362;0,194;1,376;351,900;TR-01_1-026-W;NO;1;-2,065;2,474;303,400;TR-01_1-024-E;NO;1
