node_id,lat,lon,etiqueta
TCU_SUNNER_ID_001,41.576893,-0.801975,1.1.1
TCU_SUNNER_ID_002,41.576890,-0.801831,1.1.2
TCU_SUNNER_ID_003,41.576887,-0.801687,1.1.3
TCU_SUNNER_ID_004,41.576885,-0.801544,1.1.4
TCU_SUNNER_ID_005,41.577323,-0.801385,1.1.5
TCU_SUNNER_ID_006,41.576882,-0.801400,1.1.6
TCU_SUNNER_ID_007,41.577320,-0.801241,1.2.1
TCU_SUNNER_ID_008,41.576879,-0.801256,1.2.2
TCU_SUNNER_ID_009,41.577461,-0.801092,1.2.3
TCU_SUNNER_ID_010,41.576876,-0.801112,1.2.4
TCU_SUNNER_ID_011,41.577459,-0.800948,1.2.5
TCU_SUNNER_ID_012,41.576874,-0.800968,1.2.6
TCU_SUNNER_ID_013,41.577456,-0.800805,1.3.1
TCU_SUNNER_ID_014,41.576871,-0.800824,1.3.2
TCU_SUNNER_ID_015,41.577453,-0.800661,1.3.3
TCU_SUNNER_ID_016,41.576868,-0.800681,1.3.4
TCU_SUNNER_ID_017,41.577450,-0.800517,1.3.5
TCU_SUNNER_ID_018,41.576865,-0.800537,1.3.6
TCU_SUNNER_ID_019,41.577448,-0.800373,1.4.1
TCU_SUNNER_ID_020,41.576863,-0.800393,1.4.2
TCU_SUNNER_ID_021,41.577445,-0.800229,1.4.3
TCU_SUNNER_ID_022,41.576860,-0.800249,1.4.4
TCU_SUNNER_ID_023,41.577442,-0.800085,1.4.5
TCU_SUNNER_ID_024,41.576857,-0.800105,1.4.6
TCU_SUNNER_ID_025,41.577439,-0.799941,1.5.1
TCU_SUNNER_ID_026,41.576854,-0.799961,1.5.2
TCU_SUNNER_ID_027,41.577437,-0.799798,1.5.3
TCU_SUNNER_ID_028,41.576852,-0.799817,1.5.4
TCU_SUNNER_ID_029,41.577434,-0.799654,1.5.5
TCU_SUNNER_ID_030,41.576849,-0.799674,1.5.6
TCU_SUNNER_ID_031,41.577431,-0.799510,1.6.1
TCU_SUNNER_ID_032,41.576846,-0.799530,1.6.2
TCU_SUNNER_ID_033,41.577428,-0.799366,1.6.3
TCU_SUNNER_ID_034,41.576843,-0.799386,1.6.4
TCU_SUNNER_ID_035,41.577426,-0.799222,1.6.5
TCU_SUNNER_ID_036,41.576841,-0.799242,1.6.6
TCU_SUNNER_ID_037,41.577423,-0.799078,1.7.1
TCU_SUNNER_ID_038,41.576838,-0.799098,1.7.2
TCU_SUNNER_ID_039,41.578005,-0.798915,1.7.3
TCU_SUNNER_ID_040,41.577420,-0.798935,1.7.4
TCU_SUNNER_ID_041,41.576835,-0.798954,1.7.5
TCU_SUNNER_ID_042,41.578002,-0.798771,1.8.1
TCU_SUNNER_ID_043,41.577417,-0.798791,1.8.2
TCU_SUNNER_ID_044,41.576832,-0.798811,1.8.3
TCU_SUNNER_ID_045,41.578000,-0.798627,1.8.4
TCU_SUNNER_ID_046,41.577415,-0.798647,1.8.5
TCU_SUNNER_ID_047,41.576830,-0.798667,1.8.6
TCU_SUNNER_ID_048,41.577997,-0.798483,1.9.1
TCU_SUNNER_ID_049,41.577412,-0.798503,1.9.2
TCU_SUNNER_ID_050,41.576827,-0.798523,1.9.3
TCU_SUNNER_ID_051,41.577994,-0.798339,1.9.4
TCU_SUNNER_ID_052,41.577409,-0.798359,1.9.5
