fila;punto;X;Y;Z_entregada;Z_esperada;desvio_m;alcance;llega_al_modelo
TR-02_1-058-E;18137;201366.923;8162220.836;1616.694;1579.604;+37.09;media fila (una mesa);si
TR-02_1-058-E;18138;201366.929;8162220.077;1616.710;1579.610;+37.10;media fila (una mesa);si
TR-02_2-058-E;18139;201627.287;8162220.971;1622.605;1585.295;+37.31;media fila (una mesa);si
TR-02_2-058-E;18274;201627.279;8162220.008;1622.616;1585.296;+37.32;media fila (una mesa);si
TR-03_2-003-E;8701;201036.457;8163055.141;1602.963;1566.113;+36.85;fila entera;si
TR-03_2-003-E;8702;201036.460;8163091.839;1602.414;1565.764;+36.65;fila entera;si
TR-03_2-003-E;8703;201036.468;8163092.895;1602.393;1565.763;+36.63;fila entera;si
TR-03_2-003-E;8704;201036.433;8163129.547;1600.840;1563.780;+37.06;fila entera;si
TR-03_2-015-W;8947;201092.309;8163054.377;1604.416;1567.736;+36.68;media fila (una mesa);si
TR-03_2-061-W;18266;201166.635;8162856.119;1606.436;1569.646;+36.79;media fila (una mesa);si
TR-03_2-063-W;10500;201191.418;8162892.995;1606.661;1570.341;+36.32;media fila (una mesa);si
TR-03_2-076-W;10290;201104.694;8162817.873;1604.759;1567.929;+36.83;media fila (una mesa);si
TR-03_2-086-W;10592;201228.647;8162817.871;1607.782;1570.902;+36.88;media fila (una mesa);si
TR-03_2-107-E;10639;201247.212;8162668.452;1609.042;1572.222;+36.82;media fila (una mesa);si
TR-04_2-065-E;4185;200726.627;8162290.840;1600.077;1563.207;+36.87;media fila (una mesa);si
TR-04_2-066-W;4184;200732.832;8162290.851;1600.168;1563.248;+36.92;media fila (una mesa);si
TR-05_1-034-E;5146;201601.495;8162742.911;1617.327;1580.627;+36.70;media fila (una mesa);si
TR-06_1-005-E;18226;200912.436;8163130.248;1599.985;1562.935;+37.05;fila entera;si
TR-06_1-005-E;18227;200912.460;8163167.057;1598.800;1562.420;+36.38;fila entera;si
TR-06_1-005-E;18228;200912.480;8163167.941;1598.788;1562.418;+36.37;fila entera;si
TR-06_1-005-E;18232;200912.443;8163204.686;1599.259;1562.819;+36.44;fila entera;si
TR-06_1-005-W;18225;200906.287;8163130.141;1599.940;1562.900;+37.04;fila entera;si
TR-06_1-005-W;18229;200906.411;8163167.556;1598.777;1562.517;+36.26;fila entera;si
TR-06_1-005-W;18230;200906.341;8163166.882;1598.782;1562.522;+36.26;fila entera;si
TR-06_1-005-W;18231;200906.299;8163204.548;1598.807;1562.367;+36.44;fila entera;si
TR-06_1-006-W;9575;200918.727;8163204.565;1599.421;1563.081;+36.34;media fila (una mesa);si
TR-06_1-018-W;9559;200906.317;8163129.458;1599.863;1562.903;+36.96;media fila (una mesa);si
TR-06_1-027-E;9379;200800.920;8162979.998;1597.279;1560.559;+36.72;media fila (una mesa);si
