caso;X_utm;Y_utm_centro;Y_utm_sur;Y_utm_norte;largo_m;n_puntos;tipo_medido;tracker_mas_cercano;tipo_en_el_plano;dx_al_tracker_m;dn_al_tracker_m;puntos
SIN TRACKER EN EL PLANO;199298.018;8164267.783;8164248.976;8164286.590;37.61;4;medio;TR-10_2-048;;6.22;0.08;1768 1769 1770 1772
SIN TRACKER EN EL PLANO;199347.570;8164317.583;8164280.431;8164354.735;74.30;4;completo;TR-10_2-026;;6.17;0.02;1807 1800 1799 1798
SIN TRACKER EN EL PLANO;199782.790;8164168.632;8164130.680;8164206.584;75.90;8;completo;TR-09_2-036;;6.19;19.13;2753 2754 2755 2756 2757 2759 2758 2760
SIN TRACKER EN EL PLANO;199995.022;8164138.831;8164120.079;8164157.582;37.50;4;medio;TR-09_1-014;;6.22;0.03;17065 17067 17066 17068
SIN TRACKER EN EL PLANO;200179.466;8163957.960;8163808.124;8164107.796;299.67;16;completo;TR-08_2-055;;6.17;37.44;2392 2394 2393 2487 2488 2490 2489 2583 2584 2586 2585 2706 2705 2704 2703 2633
SIN TRACKER EN EL PLANO;200415.216;8164155.747;8164118.567;8164192.927;74.36;4;completo;TR-08_2-026;;6.22;0.05;18208 18210 18209 18192
SIN TRACKER EN EL PLANO;200514.423;8164266.621;8164229.477;8164303.764;74.29;4;completo;TR-08_2-014;;6.22;0.08;11168 11169 11170 11171
SIN TRACKER EN EL PLANO;200614.533;8164070.510;8164033.341;8164107.679;74.34;4;completo;TR-08_1-031;;6.23;0.01;17040 17039 17038 17037
SIN TRACKER EN EL PLANO;200675.168;8164232.288;8164195.073;8164269.504;74.43;4;completo;TR-08_1-009;;6.27;0.01;16927 16929 16928 16930
SIN TRACKER EN EL PLANO;200676.987;8163244.704;8163207.485;8163281.924;74.44;4;completo;TR-07_2-114;;6.19;0.10;15725 15723 15724 15722
SIN TRACKER EN EL PLANO;200857.178;8163948.702;8163911.492;8163985.912;74.42;4;completo;TR-08_1-054;;6.28;0.00;16708 16710 16709 16711
SIN TRACKER EN EL PLANO;200862.939;8163630.201;8163517.959;8163742.443;224.48;12;completo;TR-07_1-014;;6.24;0.10;18129 18120 18119 18122 18121 18124 18123 18125 18126 18128 18127 18283
SIN TRACKER EN EL PLANO;200875.311;8162592.032;8162516.201;8162667.863;151.66;8;completo;TR-06_1-119;;6.21;38.57;170 171 172 173 9847 9848 9849 9850
SIN TRACKER EN EL PLANO;200949.670;8162478.363;8162441.156;8162515.569;74.41;4;completo;TR-04_1-024;;6.17;0.06;25 27 26 28
SIN TRACKER EN EL PLANO;200949.687;8163338.104;8163244.257;8163431.952;187.69;10;completo;TR-07_1-091;;6.19;18.30;1267 1265 1264 1263 1262 1261 1260 1259 1258 1257
SIN TRACKER EN EL PLANO;201024.041;8163167.598;8163130.280;8163204.916;74.64;4;completo;TR-03_2-001;;6.14;0.20;8677 8678 8679 8680
SIN TRACKER EN EL PLANO;201057.519;8163617.833;8163580.638;8163655.029;74.39;4;completo;TR-07_1-019;;6.32;0.13;1147 1146 1145 1144
SIN TRACKER EN EL PLANO;201093.837;8161891.851;8161817.056;8161966.647;149.59;8;completo;TR-03_1-117;;6.24;37.45;14407 14408 14409 14410 14411 14412 14413 14414
